model,kind,samples,segments,coefficient_error_J_m,stiffness_error_J_m,force_residual,shape_error_over_span,swept_area_over_span_sq
historical_candidate,angular,32,,1.4666354802192897e-18,1.5353588293090493e-15,,,
historical_candidate,angular,64,,1.3958672836832342e-24,6.084869832910783e-21,,,
historical_candidate,angular,128,,0.0,0.0,,,
historical_candidate,graph_angle_0.35,128,32,,,3.71508379615193e-14,3.281531876049605e-05,0.05335355240555166
historical_candidate,graph_angle_0.35,128,64,,,1.0539485950644689e-13,8.222201598665994e-06,0.05341718262641125
historical_candidate,graph_angle_0.35,128,128,,,1.3862869185921056e-13,2.0566978158449716e-06,0.0534331172836922
historical_candidate,graph_angle_0.35,128,256,,,1.152220679978555e-13,5.142461469258515e-07,0.05343710264430899
historical_candidate,graph_angle_0.8,128,32,,,3.1502578323738817e-15,0.0002033254467273002,0.11925655465047563
historical_candidate,graph_angle_0.8,128,64,,,8.88872309090516e-15,5.134471382733703e-05,0.11949662119699932
historical_candidate,graph_angle_0.8,128,128,,,2.3109986146963024e-14,1.2870957395642432e-05,0.11955719819295309
historical_candidate,graph_angle_0.8,128,256,,,4.1642037040823254e-14,3.219952133037307e-06,0.11957238039439982
historical_candidate,graph_angle_1.2,128,32,,,1.0188132282262785e-10,0.003634475436871954,0.16595047150722433
historical_candidate,graph_angle_1.2,128,64,,,4.497166528061314e-13,0.001465222430809247,0.16824663713932272
historical_candidate,graph_angle_1.2,128,128,,,2.193384363025075e-14,0.00045217666185178485,0.16929688756273079
historical_candidate,graph_angle_1.2,128,256,,,3.897750178172288e-14,0.00011771275111264897,0.1696421159850059
historical_candidate,graph_angle_1.4,128,32,,,7.06518177295834e-14,0.013484996723820098,0.1771454036735375
historical_candidate,graph_angle_1.4,128,64,,,7.695233339433116e-15,0.0061516947806147014,0.18457371498805922
historical_candidate,graph_angle_1.4,128,128,,,7.278466024329688e-12,0.002106924508022697,0.18866785569131225
historical_candidate,graph_angle_1.4,128,256,,,4.225265970436709e-14,0.0006650833265974514,0.19012787580748597
v10_exchange_rejected,angular,32,,5.549494474680517e-18,5.8077695983452855e-15,,,
v10_exchange_rejected,angular,64,,1.1502980393315541e-23,4.8127255044107537e-20,,,
v10_exchange_rejected,angular,128,,0.0,0.0,,,
v10_exchange_rejected,graph_angle_0.35,128,32,,,6.417089082333405e-13,3.834382311373298e-05,0.052576481593590456
v10_exchange_rejected,graph_angle_0.35,128,64,,,2.181865799144589e-12,9.624147785885544e-06,0.0526438262014956
v10_exchange_rejected,graph_angle_0.35,128,128,,,3.2277791550683332e-12,2.4084452797014e-06,0.052660712008921716
v10_exchange_rejected,graph_angle_0.35,128,256,,,2.8874264090816837e-12,6.022621713878973e-07,0.05266493659688413
v10_exchange_rejected,graph_angle_0.8,128,32,,,5.10702591327572e-15,0.00020396568357591572,0.11553703536724887
v10_exchange_rejected,graph_angle_0.8,128,64,,,9.742207041085749e-15,5.121303774925083e-05,0.11577597473662453
v10_exchange_rejected,graph_angle_0.8,128,128,,,2.1385671011842078e-14,1.2839237310851602e-05,0.11583604647073184
v10_exchange_rejected,graph_angle_0.8,128,256,,,4.383299279098196e-14,3.2121048533398447e-06,0.11585110330282652
v10_exchange_rejected,graph_angle_1.2,128,32,,,2.400857290751901e-15,0.0037333960432080556,0.16081383388255277
v10_exchange_rejected,graph_angle_1.2,128,64,,,2.9760152675528673e-12,0.0015943289364880502,0.16307456357243935
v10_exchange_rejected,graph_angle_1.2,128,128,,,2.0681373280595494e-14,0.0004944499074306499,0.16420970413962865
v10_exchange_rejected,graph_angle_1.2,128,256,,,4.781071372139678e-14,0.00012395590773882305,0.1645907589576145
v10_exchange_rejected,graph_angle_1.4,128,32,,,7.48331951960779e-13,0.01442820931576424,0.17222498049794452
v10_exchange_rejected,graph_angle_1.4,128,64,,,2.888661532196579e-14,0.005959450764826704,0.18076765747486045
v10_exchange_rejected,graph_angle_1.4,128,128,,,6.720190376396928e-12,0.0020333578421300297,0.18474997671178459
v10_exchange_rejected,graph_angle_1.4,128,256,,,4.879950610270356e-14,0.0006329873768067977,0.1861683461037537
v11_cubic_5pct_not_adopted,angular,32,,1.7095987179005156e-18,1.7740563024908505e-15,,,
v11_cubic_5pct_not_adopted,angular,64,,1.1890721305449773e-24,5.840308714930652e-21,,,
v11_cubic_5pct_not_adopted,angular,128,,0.0,0.0,,,
v11_cubic_5pct_not_adopted,graph_angle_0.35,128,32,,,4.674038933671909e-14,3.297611872772478e-05,0.05322670556015479
v11_cubic_5pct_not_adopted,graph_angle_0.35,128,64,,,1.230682222796986e-13,8.26009371907302e-06,0.053290322623860416
v11_cubic_5pct_not_adopted,graph_angle_0.35,128,128,,,1.5479284520836245e-13,2.066024682133256e-06,0.05330625148716399
v11_cubic_5pct_not_adopted,graph_angle_0.35,128,256,,,1.2446987884828786e-13,5.16568699951392e-07,0.05331023523994391
v11_cubic_5pct_not_adopted,graph_angle_0.8,128,32,,,6.328271240363392e-15,0.00021150202126507542,0.11946427210442809
v11_cubic_5pct_not_adopted,graph_angle_0.8,128,64,,,3.094746681142624e-14,5.359047957491735e-05,0.1197101099015138
v11_cubic_5pct_not_adopted,graph_angle_0.8,128,128,,,1.536964999715451e-13,1.3446800556637962e-05,0.1197723308956862
v11_cubic_5pct_not_adopted,graph_angle_0.8,128,256,,,2.8334973256605167e-13,3.3648585408166055e-06,0.11978793869216811
v11_cubic_5pct_not_adopted,graph_angle_1.2,128,32,,,1.4567375083984757e-12,0.00270481457898827,0.15230057806912406
v11_cubic_5pct_not_adopted,graph_angle_1.2,128,64,,,1.2483070133129104e-14,0.001449454900512577,0.1536705301024753
v11_cubic_5pct_not_adopted,graph_angle_1.2,128,128,,,2.1673635108854228e-14,0.0007766894238315876,0.15437407679833887
v11_cubic_5pct_not_adopted,graph_angle_1.2,128,256,,,4.5745312052258846e-11,0.00037614568030570775,0.15478281411684033
v11_cubic_5pct_not_adopted,graph_angle_1.4,128,32,,,1.927647902411067e-10,0.012329786271593833,0.15711942038743537
v11_cubic_5pct_not_adopted,graph_angle_1.4,128,64,,,8.48626724447854e-15,0.009546535882571995,0.1600078325952272
v11_cubic_5pct_not_adopted,graph_angle_1.4,128,128,,,6.976450667162126e-12,0.0018820102143206436,0.1676598531950966
v11_cubic_5pct_not_adopted,graph_angle_1.4,128,256,,,4.5867823428302756e-14,0.0009916006668617783,0.16858102570992547
v11_bulk_exact_not_adopted,angular,32,,9.822769774067204e-25,4.9396641242252585e-21,,,
v11_bulk_exact_not_adopted,angular,64,,7.237830359838992e-25,5.401851291489263e-21,,,
v11_bulk_exact_not_adopted,angular,128,,0.0,0.0,,,
v11_bulk_exact_not_adopted,graph_angle_0.35,128,32,,,9.625633623500107e-14,9.306746262425389e-06,0.05833188397013291
v11_bulk_exact_not_adopted,graph_angle_0.35,128,64,,,1.145195049900849e-13,2.3274707180569105e-06,0.05838131496780046
v11_bulk_exact_not_adopted,graph_angle_0.35,128,128,,,8.973377596532828e-14,5.819167453105218e-07,0.058393675178704495
v11_bulk_exact_not_adopted,graph_angle_0.35,128,256,,,5.6746274346153314e-14,1.454822551478507e-07,0.05839676538541364
v11_bulk_exact_not_adopted,graph_angle_0.8,128,32,,,2.5951463200613034e-15,0.00019577356020208207,0.1337134497164873
v11_bulk_exact_not_adopted,graph_angle_0.8,128,64,,,4.628242233906121e-15,4.93513820704951e-05,0.1339598315357243
v11_bulk_exact_not_adopted,graph_angle_0.8,128,128,,,1.1223660889569942e-14,1.2364324363442622e-05,0.13402190205759895
v11_bulk_exact_not_adopted,graph_angle_0.8,128,256,,,2.244905650261586e-14,3.0927526694730175e-06,0.13403745054910016
v11_bulk_exact_not_adopted,graph_angle_1.2,128,32,,,5.611913711511818e-12,0.002744319893049316,0.19387345675719883
v11_bulk_exact_not_adopted,graph_angle_1.2,128,64,,,8.014422459012849e-15,0.00083594042636387,0.19595263948322167
v11_bulk_exact_not_adopted,graph_angle_1.2,128,128,,,2.757863382107928e-14,0.00022687306486555335,0.19660882514255618
v11_bulk_exact_not_adopted,graph_angle_1.2,128,256,,,2.00750874257416e-13,5.8242649851873474e-05,0.19678975673889304
v11_bulk_exact_not_adopted,graph_angle_1.4,128,32,,,6.050715484207103e-15,0.01077001584038637,0.21399913530474426
v11_bulk_exact_not_adopted,graph_angle_1.4,128,64,,,1.9810073026427233e-10,0.004967419428447667,0.21998556424347948
v11_bulk_exact_not_adopted,graph_angle_1.4,128,128,,,3.479855292809475e-13,0.0019413448306409352,0.2230711686208776
v11_bulk_exact_not_adopted,graph_angle_1.4,128,256,,,5.160455396335806e-14,0.0006360003575250696,0.22439529908633218
source_elastic_comparator_0K,angular,32,,9.822769774067204e-25,5.629739550247622e-21,,,
source_elastic_comparator_0K,angular,64,,7.237830359838992e-25,5.2413007044715485e-21,,,
source_elastic_comparator_0K,angular,128,,0.0,0.0,,,
source_elastic_comparator_0K,graph_angle_0.35,128,32,,,9.55208134811869e-14,9.306746264516502e-06,0.058331883970142266
source_elastic_comparator_0K,graph_angle_0.35,128,64,,,1.140407213107153e-13,2.3274707198833253e-06,0.058381314967810044
source_elastic_comparator_0K,graph_angle_0.35,128,128,,,9.004949563795606e-14,5.819167470707622e-07,0.0583936751787141
source_elastic_comparator_0K,graph_angle_0.35,128,256,,,5.679311188000469e-14,1.4548225688162125e-07,0.058396765385423266
source_elastic_comparator_0K,graph_angle_0.8,128,32,,,2.9837243786801082e-15,0.00019577356020306145,0.13371344971649302
source_elastic_comparator_0K,graph_angle_0.8,128,64,,,4.9682480351975755e-15,4.935138207038922e-05,0.13395983153573038
source_elastic_comparator_0K,graph_angle_0.8,128,128,,,1.0755285551056204e-14,1.2364324363230864e-05,0.13402190205760503
source_elastic_comparator_0K,graph_angle_0.8,128,256,,,2.383510055992133e-14,3.0927526691289104e-06,0.13403745054910637
source_elastic_comparator_0K,graph_angle_1.2,128,32,,,5.611983100450857e-12,0.002744319893045187,0.1938734567572185
source_elastic_comparator_0K,graph_angle_1.2,128,64,,,1.0949574580365606e-14,0.000835940426348094,0.1959526394832543
source_elastic_comparator_0K,graph_angle_1.2,128,128,,,2.0837498393433407e-14,0.0002268730648673533,0.1966088251425716
source_elastic_comparator_0K,graph_angle_1.2,128,256,,,2.0056525884548648e-13,5.824264985144996e-05,0.19678975673891075
source_elastic_comparator_0K,graph_angle_1.4,128,32,,,3.094746681142624e-15,0.010770015840411411,0.2139991353047154
source_elastic_comparator_0K,graph_angle_1.4,128,64,,,1.9810131313136026e-10,0.004967419428429773,0.21998556424349733
source_elastic_comparator_0K,graph_angle_1.4,128,128,,,3.480549182199866e-13,0.0019413448306082716,0.22307116862090906
source_elastic_comparator_0K,graph_angle_1.4,128,256,,,4.6074255521943996e-14,0.0006360003575170229,0.2243952990863397
