profile,target,upper_error_dual,lower_error_dual,absolute_dual_weight
K_only,v31_K0_H00,-0.0,-0.0,0.0
K_only,v31_K0_H11,-0.0,-0.0,0.0
K_only,v31_K0_H22,-0.742655190230824,-0.0,0.742655190230824
K_only,v31_K0_H01,-0.0,-0.0,0.0
K_only,v31_K0_H02,-0.0,-0.0,0.0
K_only,v31_K0_H12,-0.0,-0.0,0.0
K_only,v31_K1_H00,-0.0,-0.0,0.0
K_only,v31_K1_H11,-0.0,-0.0,0.0
K_only,v31_K1_H22,-0.2573448097691759,-0.0,0.2573448097691759
K_only,v31_K1_H01,-0.0,-0.0,0.0
K_only,v31_K1_H02,-0.0,-0.0,0.0
K_only,v31_K1_H12,-0.0,-0.0,0.0
L_only,v31_L2_H00,-0.0,-0.0,0.0
L_only,v31_L2_H11,-0.0,-0.0,0.0
L_only,v31_L2_H22,-0.8459680160008014,-0.0,0.8459680160008014
L_only,v31_L2_H01,-0.0,-0.0,0.0
L_only,v31_L2_H02,-0.0,-0.0,0.0
L_only,v31_L2_H12,-0.0,-0.0,0.0
L_only,v31_L3_H00,-0.0,-0.0,0.0
L_only,v31_L3_H11,-0.0,-0.0,0.0
L_only,v31_L3_H22,-0.0,-0.15403198399919857,0.15403198399919857
L_only,v31_L3_H01,-0.0,-0.0,0.0
L_only,v31_L3_H02,-0.0,-0.0,0.0
L_only,v31_L3_H12,-0.0,-0.0,0.0
finite_q_only,v31_K0_H00,-0.0,-0.0,0.0
finite_q_only,v31_K0_H11,-0.0,-0.0,0.0
finite_q_only,v31_K0_H22,-0.0,-0.0,0.0
finite_q_only,v31_K0_H01,-0.0,-0.0,0.0
finite_q_only,v31_K0_H02,-0.0,-0.0,0.0
finite_q_only,v31_K0_H12,-0.0,-0.0,0.0
finite_q_only,v31_K1_H00,-0.0,-0.0,0.0
finite_q_only,v31_K1_H11,-0.0,-0.0,0.0
finite_q_only,v31_K1_H22,-0.3652233454646119,-0.0,0.3652233454646119
finite_q_only,v31_K1_H01,-0.0,-0.0,0.0
finite_q_only,v31_K1_H02,-0.0,-0.0,0.0
finite_q_only,v31_K1_H12,-0.0,-0.0,0.0
finite_q_only,v31_L2_H00,-0.0,-0.0,0.0
finite_q_only,v31_L2_H11,-0.0,-0.0,0.0
finite_q_only,v31_L2_H22,-0.1491964784961439,-0.0,0.1491964784961439
finite_q_only,v31_L2_H01,-0.0,-0.0,0.0
finite_q_only,v31_L2_H02,-0.0,-0.0,0.0
finite_q_only,v31_L2_H12,-0.0,-0.0,0.0
finite_q_only,v31_L3_H00,-0.0,-0.0,0.0
finite_q_only,v31_L3_H11,-0.0,-0.0,0.0
finite_q_only,v31_L3_H22,-0.0,-0.4855801760392442,0.4855801760392442
finite_q_only,v31_L3_H01,-0.0,-0.0,0.0
finite_q_only,v31_L3_H02,-0.0,-0.0,0.0
finite_q_only,v31_L3_H12,-0.0,-0.0,0.0
interface_only,saddle_Haa,-0.0,-0.0,0.0
interface_only,saddle_Hxx,-0.05108170313502336,-0.0,0.05108170313502336
interface_only,fault_Haa,-0.0,-0.0,0.0
interface_only,fault_Hxx,-0.0,-0.0,0.0
interface_only,saddle_normal_path_coupling,-0.0,-0.0,0.0
interface_only,new_direct_017_Haa,-0.0,-0.0,0.0
interface_only,new_direct_039_Haa,-0.0,-0.0,0.0
interface_only,new_raised_direct_Haa,-0.0,-0.0,0.0
interface_only,new_off_path_positive_Haa,-0.0,-0.0,0.0
interface_only,new_off_path_negative_Haa,-0.0,-0.0,0.0
interface_only,new_shockley_058_Haa,-0.0,-0.0,0.0
interface_only,v16_direct011_Haa,-0.0,-0.0,0.0
interface_only,v16_direct031_Haa,-0.0,-0.0,0.0
interface_only,v16_raised043_Haa,-0.0,-0.0,0.0
interface_only,v16_off_plus_Haa,-0.0,-0.0,0.0
interface_only,v16_off_minus_Haa,-0.0,-0.0,0.0
interface_only,v16_shockley043_Haa,-0.0,-0.0,0.0
interface_only,v16_opening1.21_Haa,-0.0,-0.0,0.0
interface_only,v16_opening1.62_Haa,-0.0,-0.0,0.0
interface_only,v16_opening1.93_Haa,-0.0,-0.0,0.0
interface_only,v16_opening2.71_Haa,-0.0,-0.0,0.0
interface_only,v16_opening4.3_Haa,-0.0,-0.0,0.0
interface_only,v16_opening6.2_Haa,-0.0,-0.0,0.0
interface_only,v17_near_0.985_Haa,-0.0,-0.0,0.0
interface_only,v17_near_1.015_Haa,-0.0,-0.0,0.0
interface_only,v17_near_1.065_Haa,-0.0,-0.0,0.0
interface_only,v17_near_1.095_Haa,-0.0,-0.0,0.0
interface_only,v17_direct023_Haa,-0.0,-0.0,0.0
interface_only,v17_direct023_Hxx,-0.0,-0.0,0.0
interface_only,v17_direct047_Haa,-0.0,-0.0,0.0
interface_only,v17_direct047_Hxx,-0.0,-0.0,0.0
interface_only,v17_off_plus_Haa,-0.0,-0.0,0.0
interface_only,v17_off_plus_Hxx,-0.0,-0.0,0.0
interface_only,v17_off_minus_Haa,-0.0,-0.0,0.0
interface_only,v17_off_minus_Hxx,-0.0,-0.0,0.0
interface_only,v17_shockley067_Haa,-0.0,-0.0,0.0
interface_only,v17_shockley067_Hxx,-0.0,-0.0,0.0
interface_only,v17_compression_Haa,-0.0,-0.0,0.0
interface_only,v17_compression_Hxx,-0.0,-0.0,0.0
interface_only,v17_opening1.045_Haa,-0.0,-0.0,0.0
interface_only,v17_opening1.045_Hxx,-0.0,-0.0,0.0
interface_only,v17_opening1.255_Haa,-0.0,-0.0,0.0
interface_only,v17_opening1.255_Hxx,-0.0,-0.0,0.0
interface_only,v17_opening1.555_Haa,-0.0,-0.0,0.0
interface_only,v17_opening1.555_Hxx,-0.0,-0.0,0.0
interface_only,v17_opening1.855_Haa,-0.0,-0.0,0.0
interface_only,v17_opening1.855_Hxx,-0.0,-0.0,0.0
interface_only,v17_opening2.455_Haa,-0.0,-0.0,0.0
interface_only,v17_opening2.455_Hxx,-0.0,-0.0,0.0
interface_only,v17_opening3.75_Haa,-0.0,-0.0,0.0
interface_only,v17_opening3.75_Hxx,-0.0,-0.0,0.0
interface_only,v19_new_0_Haa,-0.0,-0.0,0.0
interface_only,v19_new_0_Hxx,-0.0,-0.0,0.0
interface_only,v19_new_1_Haa,-0.0,-0.0,0.0
