axis,dt_ps,prefix_ps,nw,parts,block,drag_J_s_m2,mobility_m2_J_s,objective
0,0.0025,1000,2.0,1,0,1.3525435747151403e-11,73934771396.22733,0.07971211961987879
0,0.0025,1000,2.0,2,0,1.3044562545045862e-11,76660294014.97911,0.1526518981385816
0,0.0025,1000,2.0,2,1,1.2913328236872695e-11,77439369747.03406,0.02193240014189072
0,0.0025,1000,2.0,4,0,1.3679021027184873e-11,73104646744.28525,0.08530327024033318
0,0.0025,1000,2.0,4,1,1.3147693547111916e-11,76058967789.04347,0.2260765320010939
0,0.0025,1000,2.0,4,2,1.3277200234164594e-11,75317083599.2081,0.34006538905204586
0,0.0025,1000,2.0,4,3,1.1372692105395345e-11,87929928176.42427,0.011843608596268311
0,0.0025,1000,3.0,1,0,1.3713557005774409e-11,72920541299.30891,0.084198909678915
0,0.0025,1000,3.0,2,0,1.2765981531326367e-11,78333185548.33452,0.1579081197809444
0,0.0025,1000,3.0,2,1,1.31262924121817e-11,76182974491.10321,0.011801131301634554
0,0.0025,1000,3.0,4,0,1.3249615244503451e-11,75473889735.3903,0.05359541211308852
0,0.0025,1000,3.0,4,1,1.3536587194331667e-11,73873863895.23215,0.3876654747456435
0,0.0025,1000,3.0,4,2,1.2817583118775043e-11,78017828379.4557,0.5073249906529116
0,0.0025,1000,3.0,4,3,1.1304056030070217e-11,88463821953.80788,0.006466710192730503
0,0.0025,2000,2.0,1,0,1.2956675735676182e-11,77180290716.58418,0.0990322587886493
0,0.0025,2000,2.0,2,0,1.3580516769440933e-11,73634900422.2147,0.08926612595772201
0,0.0025,2000,2.0,2,1,1.2738325484974882e-11,78503253915.08646,0.17897982645287447
0,0.0025,2000,2.0,4,0,1.3130804396246991e-11,76156796630.51086,0.16534846330616093
0,0.0025,2000,2.0,4,1,1.296464309592029e-11,77132859933.08058,0.016495794485759805
0,0.0025,2000,2.0,4,2,1.2891344810133185e-11,77571426001.57234,0.16823087224263955
0,0.0025,2000,2.0,4,3,1.181589073254276e-11,84631791426.93388,0.140835441874711
0,0.0025,2000,3.0,1,0,1.284352975468761e-11,77860215929.7386,0.0806793325108569
0,0.0025,2000,3.0,2,0,1.3809522549167796e-11,72413799712.45009,0.10040722317898255
0,0.0025,2000,3.0,2,1,1.3083905874559819e-11,76429776367.0394,0.23547719910145884
0,0.0025,2000,3.0,4,0,1.2905811023272716e-11,77484475651.83821,0.17662888265008148
0,0.0025,2000,3.0,4,1,1.3177997201288817e-11,75884065288.93475,0.007146707994086465
0,0.0025,2000,3.0,4,2,1.2698148585859883e-11,78751637944.57071,0.19908968072665073
0,0.0025,2000,3.0,4,3,1.141702368794699e-11,87588501813.80504,0.06084791929573129
0,0.0025,5000,2.0,1,0,1.3643464007418686e-11,73295168987.60066,0.10301007051009647
0,0.0025,5000,2.0,2,0,1.297086116818119e-11,77095883383.0632,0.09915675122067452
0,0.0025,5000,2.0,2,1,1.3620447111544827e-11,73419028891.672,0.04279625859083537
0,0.0025,5000,2.0,4,0,1.3220757097805407e-11,75638633446.03737,0.05868375040048082
0,0.0025,5000,2.0,4,1,1.3123423001945024e-11,76199631746.36601,0.12391763409230283
0,0.0025,5000,2.0,4,2,1.3978288633661726e-11,71539515759.59424,0.0161765333493733
0,0.0025,5000,2.0,4,3,1.3152076539075057e-11,76033620776.83946,0.10676063743071376
0,0.0025,5000,3.0,1,0,1.3800008493744352e-11,72463723515.33751,0.11263884013792996
0,0.0025,5000,3.0,2,0,1.2908326014389104e-11,77469378979.52725,0.1114572652899059
0,0.0025,5000,3.0,2,1,1.3709001109866524e-11,72944774895.39983,0.03993123457359771
0,0.0025,5000,3.0,4,0,1.3438379261698832e-11,74413735505.30257,0.06766151903818605
0,0.0025,5000,3.0,4,1,1.2790385854499176e-11,78183724195.32892,0.05391092447687716
0,0.0025,5000,3.0,4,2,1.3779146670686562e-11,72573434618.22472,0.003927270444582949
0,0.0025,5000,3.0,4,3,1.3108217163370238e-11,76288025101.87367,0.13249407140407468
0,0.005,1000,2.0,1,0,1.350617372105142e-11,74040214545.83754,0.06493602260406911
0,0.005,1000,2.0,2,0,1.463479750345126e-11,68330292903.89392,0.029860189997207534
0,0.005,1000,2.0,2,1,1.2030452315440205e-11,83122394219.2575,0.15671107087062303
