seed,axis,parts,duration_ps,temporal_blocks,planes,rms_loss_A2_eV,max_abs_loss_A2_eV,rms_times_sqrt_duration,max_abs_mean_over_planes_A2_eV,independent_sample_count,confidence_interval
35461,0,1,1900.0,1,6,4.845823422495266e-06,9.456661926779589e-06,0.00021122454596899268,1.1293772630057338e-20,,False
35461,0,2,950.0,2,6,8.937053531279811e-06,1.749871363851824e-05,0.000275458489667523,2.710505431213761e-20,,False
35461,0,4,475.0,4,6,1.229712802939887e-05,2.7868954767927417e-05,0.0002680096918796557,8.329157314667287e-21,,False
35461,0,5,380.0,5,6,1.1636042088066114e-05,2.3818162447932274e-05,0.00022682821843984376,3.783413831069208e-20,,False
35461,0,10,190.0,10,6,1.5577145195283514e-05,4.547006961885457e-05,0.00021471612879017592,3.162256336416055e-20,,False
35461,0,19,100.0,19,6,1.772304601200334e-05,5.98234728481523e-05,0.0001772304601200334,4.206930304696358e-20,,False
35461,0,20,95.0,20,6,2.041714292039389e-05,5.370061651061275e-05,0.00019900169315365153,5.1951354098263756e-20,,False
35461,0,38,50.0,38,6,2.6457285627701972e-05,7.218323541629564e-05,0.0001870812607913745,4.0657581468206416e-20,,False
35461,0,76,25.0,76,6,3.6601218062277495e-05,0.00010937321866898935,0.00018300609031138748,4.7151500730489384e-20,,False
35461,1,1,1900.0,1,6,1.7992723353249823e-05,2.7665015601645383e-05,0.0007842846281590027,3.783413831069208e-20,,False
35461,1,2,950.0,2,6,4.2301095408186126e-05,7.239371337718348e-05,0.0013038073243757462,1.0390270819652751e-19,,False
35461,1,4,475.0,4,6,5.2774842321629675e-05,0.0001330117987774823,0.0011502010222063863,1.197139898786078e-19,,False
35461,1,5,380.0,5,6,5.7007607795726324e-05,0.00012887554241215916,0.0011112828585489454,8.809142651444724e-20,,False
35461,1,10,190.0,10,6,8.583362231367028e-05,0.0001969076896117816,0.0011831348345401303,6.66332585173383e-20,,False
35461,1,19,100.0,19,6,0.0001241151321207887,0.00030754910704623,0.001241151321207887,4.381983780462247e-19,,False
35461,1,20,95.0,20,6,0.00012827034176747697,0.00044214433582900973,0.0012502246417459575,2.394279797572156e-19,,False
35461,1,38,50.0,38,6,0.0001914425180874562,0.0006771007767665981,0.0013537030274706856,3.7947076036992655e-19,,False
35461,1,76,25.0,76,6,0.0002706065080035659,0.0008261575926825128,0.0013530325400178296,3.6140072416183483e-19,,False
49277,0,1,1900.0,1,6,4.7774415909716235e-06,8.573087568576314e-06,0.00020824385103713485,2.159934015498466e-20,,False
49277,0,2,950.0,2,6,6.416291394472427e-06,1.1948379165551558e-05,0.00019776338259607586,8.329157314667287e-21,,False
49277,0,4,475.0,4,6,1.0654113995283367e-05,2.415955620167666e-05,0.00023220103119201286,2.879912020664621e-20,,False
49277,0,5,380.0,5,6,1.0576288496441294e-05,2.5140442032919497e-05,0.00020616981781236419,4.5175090520229353e-20,,False
49277,0,10,190.0,10,6,1.5747947818688654e-05,3.502995493408021e-05,0.00021707048047817727,4.319868030996932e-20,,False
49277,0,19,100.0,19,6,1.8641076660657928e-05,4.703832147512182e-05,0.00018641076660657927,3.077553041690625e-20,,False
49277,0,20,95.0,20,6,1.9019355097185917e-05,4.919013035797913e-05,0.00018537774270316521,2.992849746965195e-20,,False
49277,0,38,50.0,38,6,2.5381427675864846e-05,8.154309524493585e-05,0.00017947379625799946,3.7269449679189215e-20,,False
49277,0,76,25.0,76,6,3.7741070673090064e-05,0.000132567055787311,0.00018870535336545032,5.449245294002665e-20,,False
49277,1,1,1900.0,1,6,2.8201760768329724e-05,5.34813091675271e-05,0.0012292862521905926,1.072908399855447e-20,,False
49277,1,2,950.0,2,6,3.704181458886526e-05,8.24440562951647e-05,0.0011417054027349077,1.0051457640751031e-19,,False
49277,1,4,475.0,4,6,6.861320502518849e-05,0.00012045070912336646,0.0014953901344861688,1.7166534397687153e-19,,False
49277,1,5,380.0,5,6,7.892199239355397e-05,0.00019128669226081238,0.0015384728582850957,2.846030702774449e-19,,False
49277,1,10,190.0,10,6,0.00010920235758624989,0.0002638378338691757,0.0015052506208120579,2.600391148070702e-19,,False
49277,1,19,100.0,19,6,0.00014333827726842522,0.00039755610091357933,0.0014333827726842523,3.2977816079767425e-19,,False
49277,1,20,95.0,20,6,0.00014140376457448612,0.00041397152441192465,0.0013782334128892993,2.439454888092385e-19,,False
49277,1,38,50.0,38,6,0.00018598970304575517,0.000565149438101485,0.0013151458025452577,2.7556805217339903e-19,,False
49277,1,76,25.0,76,6,0.00025714471326919534,0.0008563573795648696,0.0012857235663459767,2.529805069132844e-19,,False
