case,seed,axis,sign,analyzed_duration_ps,first_window_mean_K,last_window_mean_K,last_minus_first_window_K,mean_temperature_K,temperature_linear_trend_K_ns,internal_energy_change_eV,internal_energy_range_eV,work_eV,max_work_residual_eV,endpoint_work_residual_eV
seed35461_null,35461,,0,1900.0,293.09938164396027,293.1352201919271,0.035838547966818624,293.10099403153646,0.0007421309393632086,0.00021258440847304882,0.004484315543777484,,,
seed35461_axis0_sign-1,35461,0,-1,1900.0,293.2135053225953,293.45655056420503,0.24304524160970686,293.3581017740249,0.1483728588104271,0.07486251185673609,0.24553732634922198,0.07524909365232524,0.002504943147886074,-0.00038658179558914707
seed35461_axis0_sign+1,35461,0,1,1900.0,293.18126880256887,293.6289037028434,0.44763490027452235,293.3614754401271,0.19548324528289698,0.09888819723892084,0.2777420983270531,0.09940145357454208,0.002425463942925782,-0.0005132563356212427
seed35461_axis1_sign-1,35461,1,-1,1900.0,293.1315795747831,293.7235129458996,0.5919333711165109,293.46881301805485,0.3031511738311168,0.1266016212489376,0.2860311234649089,0.1270830727370248,0.002584946048911789,-0.0004814514880872034
seed35461_axis1_sign+1,35461,1,1,1900.0,293.26413202811193,293.8396076055534,0.5754755774414662,293.45880985728604,0.3198836148743655,0.13885414467176815,0.3015674944572311,0.138914626383133,0.002375755169249545,-6.048171136485703e-05
seed49277_null,49277,,0,1900.0,300.15827899041636,300.1723098746431,0.01403088422671317,300.1642456787363,-0.008208125481503297,-0.0004495692191994749,0.005017905082695506,,,
seed49277_axis0_sign-1,49277,0,-1,1900.0,300.2342688472639,300.44868671556304,0.2144178682991651,300.3520245203601,0.15496768267099847,0.09153304434994425,0.2338750559138134,0.09158427485316997,0.002527389023765342,-5.123050322572431e-05
seed49277_axis0_sign+1,49277,0,1,1900.0,300.1947107245791,299.82622164691657,-0.36848907766255934,299.91872930555326,-0.2265593196980368,-0.11665376515111348,0.2942839848633412,-0.1168512845928033,0.0026204748811203063,0.0001975194416898307
seed49277_axis1_sign-1,49277,1,-1,1900.0,300.2393471116924,300.9951818335831,0.7558347218907215,300.7256802973101,0.3856824564172434,0.2012833259159379,0.3394247830228778,0.20063238090467006,0.0025487220847025607,0.0006509450112678339
seed49277_axis1_sign+1,49277,1,1,1900.0,300.08364675379636,300.70973832286404,0.6260915690676825,300.35419701868955,0.370731799843594,0.15777682498946888,0.3223439465464253,0.15732213787575802,0.0030330997083294177,0.00045468711371085546
