study,cutoff_ps,half,axis,fit_modes,heldout_modes,coefficient_per_ps,heldout_rmse_per_ps,minimum_per_mode_coefficient,maximum_per_mode_coefficient
nve_1000ps_dt5,6.4,0,normal,"1,2,3","4,5,6",0.18836205868798103,0.19718821261997707,0.15308455782649216,0.35258110553765487
nve_1000ps_dt5,6.4,0,direct110,"1,2,3","4,5,6",0.13265461715044632,0.11946606727594576,0.0919628834591946,0.24913092300151676
nve_1000ps_dt5,6.4,0,transverse,"1,2,3","4,5,6",0.1427342990344255,0.17313657963132004,0.09047409673617475,0.21024561443551623
nve_1000ps_dt5,6.4,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.13796511280669457,0.14574587302089234,0.09164229107789454,0.22969392217367315
nve_1000ps_dt5,6.4,1,normal,"1,2,3","4,5,6",0.21467385993596644,0.10688576174000791,0.15675039637434385,0.4422085856546058
nve_1000ps_dt5,6.4,1,direct110,"1,2,3","4,5,6",0.13679398521755898,0.14654424617060763,0.08706936346414926,0.19419001044938708
nve_1000ps_dt5,6.4,1,transverse,"1,2,3","4,5,6",0.1408657356974636,0.14780819403181258,0.09337983660644719,0.18073265237251201
nve_1000ps_dt5,6.4,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.13947657991939355,0.14802203404213102,0.09462539204516225,0.1874849728483815
nve_1000ps_dt5,12.8,0,normal,"1,2,3","4,5,6",0.18905634375326924,0.193946252677559,0.1563515533965327,0.3488698122707488
nve_1000ps_dt5,12.8,0,direct110,"1,2,3","4,5,6",0.12904152420352452,0.10264757630589158,0.09183560950458679,0.23894831425723295
nve_1000ps_dt5,12.8,0,transverse,"1,2,3","4,5,6",0.13926112796596843,0.16323556240764062,0.08737690118054643,0.21122761934501774
nve_1000ps_dt5,12.8,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.13570892288819492,0.13352005236948825,0.09097285708194205,0.22677484529725545
nve_1000ps_dt5,12.8,1,normal,"1,2,3","4,5,6",0.21078550348831296,0.118103600604866,0.15348391802334174,0.4367444250747817
nve_1000ps_dt5,12.8,1,direct110,"1,2,3","4,5,6",0.13723486714778801,0.15322441020073016,0.08551618509321088,0.17554420056853715
nve_1000ps_dt5,12.8,1,transverse,"1,2,3","4,5,6",0.15258518349504563,0.198522661675027,0.08993875786178122,0.16715076593212433
nve_1000ps_dt5,12.8,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.14637522438282272,0.17843785961521622,0.0934211202399077,0.17214149940820062
nve_1000ps_dt5,25.6,0,normal,"1,2,3","4,5,6",0.18931425283730757,0.19306629253859434,0.15702166730777184,0.3724155995278888
nve_1000ps_dt5,25.6,0,direct110,"1,2,3","4,5,6",0.13184659453288314,0.11268174815974834,0.09143362454127289,0.22014373041139534
nve_1000ps_dt5,25.6,0,transverse,"1,2,3","4,5,6",0.13624987425468707,0.1519950296849501,0.08825250338554123,0.2242929404480269
nve_1000ps_dt5,25.6,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.13558905414353006,0.13275015254354958,0.09098770540845728,0.23037885981363854
nve_1000ps_dt5,25.6,1,normal,"1,2,3","4,5,6",0.20840328955039944,0.1255947490551596,0.15045781592488425,0.4372557760797975
nve_1000ps_dt5,25.6,1,direct110,"1,2,3","4,5,6",0.1354935842533214,0.14815391817821633,0.0850638573083413,0.1624278425424673
nve_1000ps_dt5,25.6,1,transverse,"1,2,3","4,5,6",0.15446699541866205,0.2036979164505837,0.08973490083473903,0.15740138662942052
nve_1000ps_dt5,25.6,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.147595303453688,0.18219896643807132,0.09345889657113844,0.16190547436916727
nvt_1000ps_dt5,6.4,0,normal,"1,2,3","4,5,6",0.1924368171809728,0.2542830214985327,0.1505553726023795,0.34880783502645857
nvt_1000ps_dt5,6.4,0,direct110,"1,2,3","4,5,6",0.1469679680816142,0.20594883218757618,0.08046563371294685,0.21799634916902405
nvt_1000ps_dt5,6.4,0,transverse,"1,2,3","4,5,6",0.1328144120241721,0.15507450727837185,0.06819060982427735,0.16202167489484784
nvt_1000ps_dt5,6.4,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.13933762709066755,0.17461346708792108,0.07421835822970821,0.18141375061744566
nvt_1000ps_dt5,6.4,1,normal,"1,2,3","4,5,6",0.18074885168361818,0.21954765412874566,0.13007101799095752,0.3745457617101654
nvt_1000ps_dt5,6.4,1,direct110,"1,2,3","4,5,6",0.1362108377165907,0.18259897727443042,0.07507757034564277,0.1799973026462969
nvt_1000ps_dt5,6.4,1,transverse,"1,2,3","4,5,6",0.14486493966306307,0.21224920569488587,0.06483097757341541,0.2045301680879949
nvt_1000ps_dt5,6.4,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.14004519821106856,0.19576052184591894,0.06962749051414753,0.19246022494865267
nvt_1000ps_dt5,12.8,0,normal,"1,2,3","4,5,6",0.1992274761939809,0.2330658399226509,0.1560199204604855,0.3632979751258162
nvt_1000ps_dt5,12.8,0,direct110,"1,2,3","4,5,6",0.14221264271875206,0.19874636587720024,0.07954687485178136,0.22550644077454235
nvt_1000ps_dt5,12.8,0,transverse,"1,2,3","4,5,6",0.1407140168933538,0.18485849562867293,0.06581081562905916,0.16837347970216415
nvt_1000ps_dt5,12.8,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.14112633431751004,0.1877633167966951,0.07211244822068928,0.17952898602097148
nvt_1000ps_dt5,12.8,1,normal,"1,2,3","4,5,6",0.18086552326137037,0.21953873600692742,0.1289240027393371,0.380918141728401
nvt_1000ps_dt5,12.8,1,direct110,"1,2,3","4,5,6",0.1369194823396718,0.21826657438567004,0.0645748208024167,0.17067826720267762
nvt_1000ps_dt5,12.8,1,transverse,"1,2,3","4,5,6",0.14247684312661452,0.22836691580392798,0.055366666440456326,0.19463667407412907
nvt_1000ps_dt5,12.8,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.139185809893651,0.22049416295487648,0.05979709520230023,0.18304549889243832
nvt_1000ps_dt5,25.6,0,normal,"1,2,3","4,5,6",0.20093384197357664,0.22787073666997593,0.15749891681527659,0.36639677045865854
nvt_1000ps_dt5,25.6,0,direct110,"1,2,3","4,5,6",0.14018831311007277,0.1917064211322076,0.07926880092545696,0.23924857835081756
nvt_1000ps_dt5,25.6,0,transverse,"1,2,3","4,5,6",0.1406643990656035,0.18554983191961666,0.06560631221993889,0.16889253217576014
nvt_1000ps_dt5,25.6,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.14005775573932713,0.18498382122616563,0.07175853434485932,0.17221592684503054
nvt_1000ps_dt5,25.6,1,normal,"1,2,3","4,5,6",0.18163430273601397,0.21679422518725677,0.12934582083700777,0.3827330984998028
nvt_1000ps_dt5,25.6,1,direct110,"1,2,3","4,5,6",0.1384958651267118,0.24013467133524377,0.0581590487649117,0.1736650548103859
nvt_1000ps_dt5,25.6,1,transverse,"1,2,3","4,5,6",0.13708187533376473,0.21335750117686678,0.054355811243442326,0.18422373624327848
nvt_1000ps_dt5,25.6,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.1380759673382978,0.22573772307769596,0.05603752779314295,0.18125773381801638
nve_1000ps_dt2p5,6.4,0,normal,"1,2,3","4,5,6",0.20053685890715786,0.13421885030930963,0.14904598859579632,0.3964868356231115
nve_1000ps_dt2p5,6.4,0,direct110,"1,2,3","4,5,6",0.12575235107063554,0.10951498419286707,0.09071846286170483,0.18030453014190903
nve_1000ps_dt2p5,6.4,0,transverse,"1,2,3","4,5,6",0.12893366125291209,0.10837009885699445,0.09591644318015696,0.20957627072910806
nve_1000ps_dt2p5,6.4,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.12797484119090494,0.11024712071458843,0.09331397947108842,0.19407767777576193
nve_1000ps_dt2p5,6.4,1,normal,"1,2,3","4,5,6",0.20484975936516317,0.16757054051702425,0.14398792604872906,0.45992416104072537
nve_1000ps_dt2p5,6.4,1,direct110,"1,2,3","4,5,6",0.13576130671515788,0.15010634582973523,0.08844096457395506,0.19232593662370415
nve_1000ps_dt2p5,6.4,1,transverse,"1,2,3","4,5,6",0.1537005350239772,0.2290248901879289,0.08026785890123574,0.17245536636328623
nve_1000ps_dt2p5,6.4,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.1446531637987964,0.1880909234214817,0.08498020091285288,0.18166438799792195
nve_1000ps_dt2p5,12.8,0,normal,"1,2,3","4,5,6",0.2026002136943122,0.12741369343572456,0.1499063947581686,0.40493449393704223
nve_1000ps_dt2p5,12.8,0,direct110,"1,2,3","4,5,6",0.11913410540012001,0.09813218597226231,0.08317949037289556,0.17249264176431195
nve_1000ps_dt2p5,12.8,0,transverse,"1,2,3","4,5,6",0.12473074881740526,0.10468991728878042,0.09045850804109269,0.19857645653016895
nve_1000ps_dt2p5,12.8,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.12316723743137657,0.10408708399009636,0.08688646363132464,0.18463251239440556
nve_1000ps_dt2p5,12.8,1,normal,"1,2,3","4,5,6",0.1999523656369737,0.18411223791788955,0.13676971182084788,0.44709743529192403
nve_1000ps_dt2p5,12.8,1,direct110,"1,2,3","4,5,6",0.13025859765576123,0.13308991583224658,0.08512738212948875,0.18383044989190908
nve_1000ps_dt2p5,12.8,1,transverse,"1,2,3","4,5,6",0.15229773294220042,0.23093081623895062,0.07803480395094517,0.16880179107783921
nve_1000ps_dt2p5,12.8,1,transverse_symmetry_pooled,"1,2,3","4,5,6",0.1420436804949179,0.18228060213640085,0.08512214227997272,0.17581619908944507
nve_1000ps_dt2p5,25.6,0,normal,"1,2,3","4,5,6",0.20431751885992033,0.12184161161016961,0.1515120794960351,0.4085100999465934
nve_1000ps_dt2p5,25.6,0,direct110,"1,2,3","4,5,6",0.11509200230358384,0.09426946158505474,0.07855384481272382,0.1751546779324042
nve_1000ps_dt2p5,25.6,0,transverse,"1,2,3","4,5,6",0.12183191007773064,0.09483199003739685,0.09062044691735341,0.1935857261277351
nve_1000ps_dt2p5,25.6,0,transverse_symmetry_pooled,"1,2,3","4,5,6",0.12128538609704444,0.10073221668042634,0.08518635062094933,0.18377378837430486
nve_1000ps_dt2p5,25.6,1,normal,"1,2,3","4,5,6",0.19936782178264703,0.18611198969974974,0.13618536232720194,0.4359030347860738
nve_1000ps_dt2p5,25.6,1,direct110,"1,2,3","4,5,6",0.13051229926374086,0.13677602344001707,0.08335844360627584,0.1731087313620562
