study,cutoff_ps,half,axis,temperature_K,variance_m2,correlation_integral_m2_s,integral_time_s,friction_J_s_per_m2,mobility_m2_per_J_s,cell_extensivity_hypothesis_mobility_m2_per_J_s,production_certified
nve_1000ps_dt5,6.4,0,normal,303.13807107456125,1.7544464238583624e-25,1.0301783720897205e-40,5.871814368797661e-16,1.4007349736334069e-11,71391092449.5639,41121269250948.81,False
nve_1000ps_dt5,6.4,0,direct110,303.13807107456125,8.362950131886924e-25,1.2806114221609285e-39,1.5312914724650947e-15,7.663411076490725e-12,130490194251.45154,75162351888836.1,False
nve_1000ps_dt5,6.4,0,transverse,303.13807107456125,8.190299683084715e-25,1.2177703532171854e-39,1.4868446825361293e-15,7.597830078866081e-12,131616525984.38245,75811118967004.28,False
nve_1000ps_dt5,6.4,0,transverse_symmetry_pooled,303.13807107456125,8.27662490748582e-25,1.2532741821802549e-39,1.514233393670803e-15,7.65708223561011e-12,130598048868.979,75224476148531.9,False
nve_1000ps_dt5,6.4,1,normal,303.141549148292,1.7522390287907315e-25,1.0392612758211895e-40,5.931047412740329e-16,1.4166637940455115e-11,70588378428.47237,40658905974800.086,False
nve_1000ps_dt5,6.4,1,direct110,303.141549148292,8.599326476936079e-25,1.2450685444047095e-39,1.447867513512901e-15,7.046819292509386e-12,141907995436.03708,81739005371157.36,False
nve_1000ps_dt5,6.4,1,transverse,303.141549148292,8.503739070298283e-25,1.2393204617521479e-39,1.4573829835405293e-15,7.17286268536164e-12,139414351544.85773,80302666489838.05,False
nve_1000ps_dt5,6.4,1,transverse_symmetry_pooled,303.141549148292,8.55153277361718e-25,1.2447723102530625e-39,1.4556130967460947e-15,7.124111996832953e-12,140368371587.16107,80852182034204.78,False
nve_1000ps_dt5,12.8,0,normal,303.13807107456125,1.7544464238583624e-25,1.0206894418753328e-40,5.81772933043257e-16,1.3878328619469639e-11,72054786092.69414,41503556789391.82,False
nve_1000ps_dt5,12.8,0,direct110,303.13807107456125,8.362950131886924e-25,1.264295511378097e-39,1.5117817175035997e-15,7.565773706362322e-12,132174188498.27153,76132332575004.4,False
nve_1000ps_dt5,12.8,0,transverse,303.13807107456125,8.190299683084715e-25,1.1986768844477246e-39,1.4635323868836343e-15,7.47870340531614e-12,133713017591.9482,77018698132962.16,False
nve_1000ps_dt5,12.8,0,transverse_symmetry_pooled,303.13807107456125,8.27662490748582e-25,1.2429482628420222e-39,1.5017573911291227e-15,7.593994353760045e-12,131683005466.66406,75849411148798.5,False
