dt_ps,prefix_ps,parts,block,nw,lower_cycle_THz,upper_cycle_THz,axis,mobility_m2_per_J_s,normalized_collective_energy_mobility_m2_per_J_s,temperature_K
0.0025,1000,1,0,2.0,0.005,0.01,normal,91270921571.74048,13143012706330.629,299.0688819657627
0.0025,1000,1,0,2.0,0.005,0.01,direct110,158639269485.17862,22844054805865.723,299.0688819657627
0.0025,1000,1,0,2.0,0.005,0.01,transverse,290560237847.42255,41840674250028.84,299.0688819657627
0.0025,1000,1,0,2.0,0.01,0.02,normal,74394812307.96497,10712852972346.955,299.0688819657627
0.0025,1000,1,0,2.0,0.01,0.02,direct110,181719501495.65927,26167608215374.934,299.0688819657627
0.0025,1000,1,0,2.0,0.01,0.02,transverse,205114600923.4632,29536502532978.7,299.0688819657627
0.0025,1000,1,0,2.0,0.02,0.04,normal,74198436727.8477,10684574888810.068,299.0688819657627
0.0025,1000,1,0,2.0,0.02,0.04,direct110,171227307274.1494,24656732247477.516,299.0688819657627
0.0025,1000,1,0,2.0,0.02,0.04,transverse,207957841481.78775,29945929173377.438,299.0688819657627
0.0025,1000,1,0,2.0,0.04,0.08,normal,69464479982.74683,10002885117515.543,299.0688819657627
0.0025,1000,1,0,2.0,0.04,0.08,direct110,211735167690.8823,30489864147487.05,299.0688819657627
0.0025,1000,1,0,2.0,0.04,0.08,transverse,235164108344.07556,33863631601546.883,299.0688819657627
0.0025,1000,1,0,2.0,0.08,0.16,normal,79581647798.66005,11459757283007.047,299.0688819657627
0.0025,1000,1,0,2.0,0.08,0.16,direct110,222391544075.7627,32024382346909.83,299.0688819657627
0.0025,1000,1,0,2.0,0.08,0.16,transverse,260090322744.27542,37453006475175.664,299.0688819657627
0.0025,1000,1,0,3.0,0.005,0.01,normal,91914176347.74072,13235641394074.664,299.0688819657627
0.0025,1000,1,0,3.0,0.005,0.01,direct110,159811458396.19247,23012850009051.715,299.0688819657627
0.0025,1000,1,0,3.0,0.005,0.01,transverse,318342056190.4122,45841256091419.35,299.0688819657627
0.0025,1000,1,0,3.0,0.01,0.02,normal,74539604966.63033,10733703115194.768,299.0688819657627
0.0025,1000,1,0,3.0,0.01,0.02,direct110,186839030919.59692,26904820452421.957,299.0688819657627
0.0025,1000,1,0,3.0,0.01,0.02,transverse,198441165464.08716,28575527826828.55,299.0688819657627
0.0025,1000,1,0,3.0,0.02,0.04,normal,77056051576.93301,11096071427078.354,299.0688819657627
0.0025,1000,1,0,3.0,0.02,0.04,direct110,174260066505.6931,25093449576819.81,299.0688819657627
0.0025,1000,1,0,3.0,0.02,0.04,transverse,207757731776.5973,29917113375830.008,299.0688819657627
0.0025,1000,1,0,3.0,0.04,0.08,normal,68513580817.21562,9865955637679.049,299.0688819657627
0.0025,1000,1,0,3.0,0.04,0.08,direct110,206239390601.9472,29698472246680.4,299.0688819657627
0.0025,1000,1,0,3.0,0.04,0.08,transverse,234748393367.5969,33803768644933.953,299.0688819657627
0.0025,1000,1,0,3.0,0.08,0.16,normal,78734266474.6482,11337734372349.34,299.0688819657627
0.0025,1000,1,0,3.0,0.08,0.16,direct110,219033373352.5285,31540805762764.105,299.0688819657627
0.0025,1000,1,0,3.0,0.08,0.16,transverse,259534419279.92392,37372956376309.05,299.0688819657627
0.0025,1000,2,0,2.0,0.01,0.02,normal,64869553158.70099,9341215654852.941,299.0821823607191
0.0025,1000,2,0,2.0,0.01,0.02,direct110,196763731075.4511,28333977274864.96,299.0821823607191
0.0025,1000,2,0,2.0,0.01,0.02,transverse,176356900401.81284,25395393657861.047,299.0821823607191
0.0025,1000,2,0,2.0,0.02,0.04,normal,62493001615.30206,8998992232603.496,299.0821823607191
0.0025,1000,2,0,2.0,0.02,0.04,direct110,239034617162.48578,34420984871397.953,299.0821823607191
0.0025,1000,2,0,2.0,0.02,0.04,transverse,221254975639.93262,31860716492150.297,299.0821823607191
0.0025,1000,2,0,2.0,0.04,0.08,normal,72671989025.55164,10464766419679.436,299.0821823607191
0.0025,1000,2,0,2.0,0.04,0.08,direct110,290767378152.1116,41870502453904.06,299.0821823607191
0.0025,1000,2,0,2.0,0.04,0.08,transverse,262371716599.40738,37781527190314.664,299.0821823607191
0.0025,1000,2,0,2.0,0.08,0.16,normal,84376662687.98448,12150239427069.766,299.0821823607191
0.0025,1000,2,0,2.0,0.08,0.16,direct110,237869296996.7397,34253178767530.516,299.0821823607191
0.0025,1000,2,0,2.0,0.08,0.16,transverse,262164935574.3037,37751750722699.734,299.0821823607191
0.0025,1000,2,0,3.0,0.01,0.02,normal,63997936863.841805,9215702908393.22,299.0821823607191
0.0025,1000,2,0,3.0,0.01,0.02,direct110,183620349560.78793,26441330336753.46,299.0821823607191
0.0025,1000,2,0,3.0,0.01,0.02,transverse,189509097570.30585,27289310050124.043,299.0821823607191
0.0025,1000,2,0,3.0,0.02,0.04,normal,60549502279.9392,8719128328311.245,299.0821823607191
0.0025,1000,2,0,3.0,0.02,0.04,direct110,236557811306.39694,34064324828121.16,299.0821823607191
0.0025,1000,2,0,3.0,0.02,0.04,transverse,240499062733.79544,34631865033666.543,299.0821823607191
