lower_cycle_THz,axis,dt2p5_full_min,dt2p5_full_max,dt5_full_min,dt5_full_max,relative_dt_change_of_taper_mean,dt2p5_all_blocks_min,dt2p5_all_blocks_max,dt5_all_blocks_min,dt5_all_blocks_max
0.001,normal,60084060580.1122,62993241865.03212,62964678384.03676,67494387110.09769,0.05997663990304132,60084060580.1122,62993241865.03212,62964678384.03676,67494387110.09769
0.001,direct110,200233428392.12717,202216758448.45572,252549429264.4622,272465973178.12106,0.30454754304922327,200233428392.12717,202216758448.45572,252549429264.4622,272465973178.12106
0.001,transverse,221922350585.33966,223085448237.42487,227298326743.19446,246916984923.54028,0.06563371006359113,221922350585.33966,223085448237.42487,227298326743.19446,246916984923.54028
0.002,normal,69420136351.74022,70308525930.71994,51332837094.54194,55870240403.41263,0.23277675641634232,51555423588.51627,90321146985.71172,47881328566.04061,119187452229.66357
0.002,direct110,212933632139.5751,215755593159.9941,235937148625.17728,236909441801.35898,0.10300553995988528,149060001151.7106,226992648375.11182,210194112432.9143,314807215207.7152
0.002,transverse,173331614868.1029,179036300499.94373,166138250191.93948,167950513100.11206,0.05187518862749643,125484954831.7316,273157495332.92264,112585940023.50868,234109195653.94482
0.005,normal,70209770208.16423,70826475500.22946,74524515550.2214,79143887494.74571,0.08956674415945284,54158630165.75299,99638113979.77385,39536821910.47318,84444164299.74065
0.005,direct110,142821688174.909,147888423232.67728,218147368511.1745,222992933706.4365,0.5174577178676664,114857772589.9215,279773206294.3393,175957305111.7121,280742859152.34924
0.005,transverse,198714807903.23856,214366927609.16568,177807827112.8871,183496522602.93396,0.12534416640899484,137773647542.9866,282748192207.57465,148251218345.05847,364852859911.0081
0.01,normal,74744118820.68604,75141472085.36702,69450410968.24747,69810997739.43056,0.07088194491646728,63795910550.00551,104267396435.0594,61159883059.26163,80515040509.80482
0.01,direct110,189471277286.90198,191838671871.3142,218152603060.21503,220769619957.46664,0.15109040292982365,176521021239.272,270390111458.38733,196494973097.81387,255284073593.83185
0.01,transverse,206759000213.35864,209264734696.98712,195109692166.38266,196053422682.33185,0.05975769643765353,185981940450.35846,276579057381.5746,179121921570.44876,209048101222.24988
0.02,normal,71921184274.54092,72146275286.79698,72446577639.28523,72859514090.08134,0.008597584574616094,58374640765.17869,88610552931.67052,63079561560.83765,90477107282.26488
0.02,direct110,200431156627.45795,202969608163.2254,179906169555.27695,181675889566.73862,0.10366540998098177,169227798203.61395,262934488026.92358,162458881146.71738,235688458616.1476
0.02,transverse,188902888475.9095,189331011708.7254,190315814391.75555,195318075101.79703,0.019564585049900128,185545766386.4314,202802841942.8234,176958674388.63065,222966921061.73764
0.04,normal,67015450648.90071,67889242578.61984,69567633535.69011,71163623193.48892,0.0431902209053009,67015450648.90071,76255382800.0228,64539907769.37725,81778111576.13446
0.04,direct110,202342160621.8834,203684422218.4824,216102050561.34824,221363095140.96436,0.07742981418117464,192403269831.6096,236440981768.2389,186717234131.59586,235254552417.97913
0.04,transverse,205787664071.38007,205855372893.12534,216864820727.75314,217703048319.15216,0.05569104788325774,173999203712.9248,229001661055.42053,209242666540.79843,232787847480.5425
0.08,normal,78406441974.415,79129115901.16447,80104988547.75327,80544198852.6833,0.0197646142042182,73578165716.45633,83133714710.81488,70358876997.79474,85181410090.49284
0.08,direct110,226506576670.17007,227522468112.0195,238257263895.89603,238735710812.75204,0.050578107701182276,206028824483.7141,255697758390.4489,218548245262.22284,253105654113.16577
0.08,transverse,236037301861.78104,238710987434.0105,236569727791.08517,237715238258.70157,0.0009759345245709514,211996482706.14758,249750266788.78122,224143863939.46393,250836455722.08972
