axis,frequency_per_ps,cutoff_ps,real_A2_eV,imag_A2_eV,endpoint_error_A2_eV
0,0.05,2.0,0.002357144816131811,-2.645148515210987e-06,0.0007084323084335
0,0.05,5.0,0.002359367391257301,-1.5380539643593404e-06,6.877515691943359e-05
0,0.05,10.0,0.0023579012086276645,-1.3751574823502105e-06,3.594968941895469e-05
0,0.05,20.0,0.0023579605086172083,-1.5151455114249422e-06,1.0064305778759354e-05
0,0.05,40.0,0.002357927657712179,-1.4096244360709834e-06,1.1163906022048455e-05
1,0.05,2.0,0.01185136444545458,-0.00011410731698113985,0.002163237469681162
1,0.05,5.0,0.011955914980734079,-1.4286735794531005e-05,0.0002873452904168856
1,0.05,10.0,0.011922172764793782,8.322221250167716e-07,0.001281497990774282
1,0.05,20.0,0.011922470813116997,-9.135751493175876e-06,0.00014417444381001755
1,0.05,40.0,0.011922292816584324,-1.3499694987489752e-05,0.00015551547603488523
0,1.0,2.0,0.0024439502297914084,-5.1376202722927194e-05,0.0007084323084335
0,1.0,5.0,0.0024218117398506597,1.0252068618570884e-05,6.877515691943379e-05
0,1.0,10.0,0.002419624192376109,-2.508873391928883e-05,3.594968941895469e-05
0,1.0,20.0,0.0024175147198738814,-2.123222272352846e-05,1.0064305778759354e-05
0,1.0,40.0,0.0024192853124368257,-1.9647022719318167e-05,1.1163906022048455e-05
1,1.0,2.0,0.013941539127524216,-0.003324698189558191,0.002163237469681162
1,1.0,5.0,0.013870738228766815,0.0005926822600864783,0.00028734529041688547
1,1.0,10.0,0.01396809294758584,-0.0006838761649348827,0.001281497990774282
1,1.0,20.0,0.013632662250475169,-0.00017763935609122714,0.00014417444381001755
1,1.0,40.0,0.013706807833930041,-0.00027809589244166854,0.00015551547603488523
0,2.0,2.0,0.002777677494196607,-0.00010986269573758816,0.0007084323084335
0,2.0,5.0,0.0026782249877530927,3.5188303291123426e-05,6.877515691943379e-05
0,2.0,10.0,0.002667487635726728,-4.8401449718272096e-05,3.594968941895469e-05
0,2.0,20.0,0.002660726733652895,-3.640952045191952e-05,1.0064305778759354e-05
0,2.0,40.0,0.00266118503220817,-3.134386237387041e-05,1.1163906022048455e-05
1,2.0,2.0,0.04634549504850882,-0.033593880719803446,0.0021632374696811587
1,2.0,5.0,0.052579094274576146,0.007964090143740067,0.0002873452904168872
1,2.0,10.0,0.051024784981187385,-0.0106395855315905,0.0012814979907742837
1,2.0,20.0,0.04468174133691945,-0.003764854738490886,0.00014417444381001405
1,2.0,40.0,0.045871614892204524,-0.004851221873973079,0.00015551547603488523
