axis,frequency_per_ps,duration_ps,block,site,real_A,imag_A
0,0.05,180.0,0,0,-4.4349078781562754e-05,2.2359914479177374e-05
0,0.05,180.0,0,1,-6.277220987692914e-05,-3.0087919566598765e-05
0,0.05,180.0,0,2,2.185368279282603e-05,-8.06942779311209e-05
0,0.05,180.0,0,3,0.00011563090874781235,1.9495859184940454e-05
0,0.05,180.0,0,4,-6.398237151508783e-06,2.6859309632699097e-05
0,0.05,180.0,0,5,-2.3965065730637833e-05,4.206711420090258e-05
0,0.05,180.0,1,0,-1.3507615940097312e-07,2.2883335401956125e-05
0,0.05,180.0,1,1,-6.161296064386526e-05,1.5008580333699625e-05
0,0.05,180.0,1,2,2.342792684648618e-05,-3.266600290376276e-05
0,0.05,180.0,1,3,3.1788627000257894e-05,-6.277436293655363e-05
0,0.05,180.0,1,4,-5.939975957972346e-05,7.550588643788667e-05
0,0.05,180.0,1,5,6.59312425362458e-05,-1.7957436333226086e-05
0,0.05,180.0,2,0,-8.530518650013268e-05,4.184223047718269e-05
0,0.05,180.0,2,1,9.414219441177937e-05,3.4590696016540727e-06
0,0.05,180.0,2,2,7.293717058717593e-05,4.192294298368366e-05
0,0.05,180.0,2,3,-7.177038965520567e-05,2.6981536510831372e-05
0,0.05,180.0,2,4,-1.766132964627308e-06,-0.00014653128416314794
0,0.05,180.0,2,5,-8.237655878989485e-06,3.2325504589795945e-05
0,0.05,180.0,3,0,3.380439929906279e-05,1.0741261224261322e-05
0,0.05,180.0,3,1,7.951052175822926e-06,-1.5897471743357912e-05
0,0.05,180.0,3,2,-4.7628155917981616e-05,3.4140649967172465e-05
0,0.05,180.0,3,3,-1.420474128901322e-05,-2.8258856294365655e-05
0,0.05,180.0,3,4,-2.9031895690970503e-05,-4.966080074389184e-05
0,0.05,180.0,3,5,4.9109341423079506e-05,4.8935217590181744e-05
0,0.05,180.0,4,0,5.043442525672896e-06,1.9827421518482584e-06
0,0.05,180.0,4,1,-1.9745664497585627e-05,4.9777212198692335e-05
0,0.05,180.0,4,2,-1.2837209875045497e-06,-6.17752925320659e-05
0,0.05,180.0,4,3,4.259841513070031e-05,-4.7390839772541496e-06
0,0.05,180.0,4,4,-4.1938213071913985e-05,1.675283386157299e-05
0,0.05,180.0,4,5,1.5325740900631e-05,-1.9984117027933375e-06
0,0.05,180.0,5,0,-3.5339221979631855e-05,-4.009488582291437e-05
0,0.05,180.0,5,1,3.649395142276802e-05,-5.5114471147970296e-05
0,0.05,180.0,5,2,-3.22196188665514e-06,4.803017916996606e-05
0,0.05,180.0,5,3,8.055531254513093e-05,1.3633358856825152e-06
0,0.05,180.0,5,4,1.003590247926005e-05,3.267387002067667e-05
0,0.05,180.0,5,5,-8.852398258087178e-05,1.3141971894559801e-05
0,0.05,180.0,6,0,2.0060697441982498e-05,-0.00011718554287228605
0,0.05,180.0,6,1,-7.319938048867197e-05,0.00010394255086702767
0,0.05,180.0,6,2,-1.0523987107611694e-05,-6.0777275281168806e-06
0,0.05,180.0,6,3,4.096122242369041e-05,3.97298903683566e-05
0,0.05,180.0,6,4,-1.7535325173448878e-05,-1.8233323591994583e-05
0,0.05,180.0,6,5,4.023677290405969e-05,-2.1758472429867396e-06
0,0.05,180.0,7,0,1.955777254532262e-05,-1.2923559585372151e-05
0,0.05,180.0,7,1,-7.930263425482498e-05,-3.82654125198192e-05
0,0.05,180.0,7,2,-2.0545013869125375e-05,3.532834996493808e-05
0,0.05,180.0,7,3,0.00010398785509151609,2.135066971792799e-05
0,0.05,180.0,7,4,-3.074960724887857e-05,4.1021383342915746e-05
0,0.05,180.0,7,5,7.05162773599029e-06,-4.651143092059036e-05
0,0.05,180.0,8,0,-5.065288884524393e-05,-4.297392249616329e-05
0,0.05,180.0,8,1,1.9360583111326813e-05,4.6199083370312176e-05
0,0.05,180.0,8,2,-2.9930314332953634e-05,2.0577588156342737e-05
0,0.05,180.0,8,3,-6.19182932598085e-05,-1.9121133858914372e-05
0,0.05,180.0,8,4,0.00012940498292453203,2.8244787685623374e-05
0,0.05,180.0,8,5,-6.264069597852675e-06,-3.292640285720063e-05
0,0.05,180.0,9,0,-2.320789338903629e-05,-1.958827327680469e-05
0,0.05,180.0,9,1,-6.265471934691016e-05,-6.784656515350016e-05
0,0.05,180.0,9,2,-2.759923169345546e-05,-1.7852159488007386e-05
0,0.05,180.0,9,3,-6.151758181328947e-06,0.00012815344027243986
0,0.05,180.0,9,4,8.796997162694638e-05,-2.8416463725138147e-05
0,0.05,180.0,9,5,3.164363098378429e-05,5.550021371010548e-06
0,0.05,180.0,10,0,-6.264697431490199e-05,1.1907519800109625e-05
0,0.05,180.0,10,1,-2.3843866230852722e-05,6.637372351534045e-05
0,0.05,180.0,10,2,0.00010425331049363182,2.314828692575921e-05
0,0.05,180.0,10,3,-7.089561996345276e-05,-1.0697240334207406e-05
0,0.05,180.0,10,4,2.9952738461887682e-05,-6.022801212310374e-05
0,0.05,180.0,10,5,2.3180411553687775e-05,-3.05042777838984e-05
0,0.05,180.0,11,0,-5.984380577430993e-06,6.749925953905618e-06
0,0.05,180.0,11,1,9.448416191396794e-05,-6.789053556687433e-05
0,0.05,180.0,11,2,8.934302625820826e-05,-2.2935575286543497e-05
0,0.05,180.0,11,3,-9.350150944480383e-05,2.0943070824963796e-05
0,0.05,180.0,11,4,-4.388669691545833e-05,1.8308829970649772e-05
0,0.05,180.0,11,5,-4.045460123448331e-05,4.482428410389876e-05
0,0.05,180.0,12,0,-5.323183007514548e-06,-6.401683984117464e-05
0,0.05,180.0,12,1,-9.102846905529991e-05,-3.520950935627833e-05
0,0.05,180.0,12,2,2.4596070308178526e-05,-3.028268847202217e-05
0,0.05,180.0,12,3,-6.693176728654301e-06,-7.719341531791152e-06
0,0.05,180.0,12,4,6.727159241858718e-06,6.60739498486154e-05
0,0.05,180.0,12,5,7.172159924143157e-05,7.115442935265088e-05
0,0.05,180.0,13,0,4.2447089280587896e-06,-4.202046169919568e-05
0,0.05,180.0,13,1,-3.014276878988605e-05,0.00014272037227331693
0,0.05,180.0,13,2,-7.182924203703373e-05,8.07531600176926e-05
0,0.05,180.0,13,3,-2.8914229359335555e-05,-1.835460983841465e-05
0,0.05,180.0,13,4,5.482500080313218e-05,-0.00014446033136122625
0,0.05,180.0,13,5,7.18165304550644e-05,-1.8638129392172697e-05
0,0.05,180.0,14,0,-4.186707921372634e-05,-2.232915595314409e-05
0,0.05,180.0,14,1,-2.1532583222939493e-05,-2.5379068946875816e-05
0,0.05,180.0,14,2,5.047148641538406e-05,6.765939323451142e-05
0,0.05,180.0,14,3,-8.080077298260548e-05,-4.9961444510958856e-05
0,0.05,180.0,14,4,8.105852366671968e-05,-3.842027503448622e-05
0,0.05,180.0,14,5,1.267042533716769e-05,6.843055121095314e-05
0,0.05,180.0,15,0,-1.2340488060762971e-05,6.535210319415072e-06
0,0.05,180.0,15,1,-1.0608512892122508e-05,3.566350551517099e-05
0,0.05,180.0,15,2,-8.0528217594182e-05,4.498186610488478e-05
0,0.05,180.0,15,3,-3.29539082545358e-05,-8.24933069515416e-05
0,0.05,180.0,15,4,5.964408183896522e-05,-3.3567052753312466e-05
0,0.05,180.0,15,5,7.678704496263809e-05,2.8879777765383082e-05
0,0.05,180.0,16,0,-4.2641097215441325e-05,-1.1029902420967538e-05
0,0.05,180.0,16,1,-2.9642365764665556e-05,6.781887637043914e-05
