decay,weight,point_index,unit_coefficient_tail
3.0,-3.0,0,9.597841007068601e-14
3.0,-3.0,1,1.3476154581203553e-13
3.0,-3.0,2,1.167046723707589e-13
3.0,-3.0,3,2.1870098786233008e-13
3.0,-3.0,4,1.460206413690809e-13
3.0,-3.0,5,3.106741782662685e-13
3.0,-3.0,6,6.23577065380273e-14
3.0,-3.0,7,3.38724777784351e-13
3.0,-1.0,0,6.213739327673711e-15
3.0,-1.0,1,1.0294557425824315e-13
3.0,-1.0,2,1.3845298566681472e-14
3.0,-1.0,3,1.7810071345449726e-13
3.0,-1.0,4,4.2086497472307874e-14
3.0,-1.0,5,1.5584500863768254e-13
3.0,-1.0,6,8.388787139819867e-14
3.0,-1.0,7,2.1293123527635423e-13
3.0,-0.3,0,5.875808780181598e-15
3.0,-0.3,1,4.14828341501551e-14
3.0,-0.3,2,9.692009452482296e-15
3.0,-0.3,3,6.447625437388985e-14
3.0,-0.3,4,2.2155753924202254e-14
3.0,-0.3,5,5.274932968598436e-14
3.0,-0.3,6,3.6157107645101145e-14
3.0,-0.3,7,7.438178306447117e-14
3.0,1.0,0,4.442028201224107e-14
3.0,1.0,1,2.0388997304569302e-13
3.0,1.0,2,6.65921545902809e-14
3.0,1.0,3,2.83301097621552e-13
3.0,1.0,4,1.3284654206764104e-13
3.0,1.0,5,2.1294812382510812e-13
3.0,1.0,6,1.8856164497573808e-13
3.0,1.0,7,3.1295421129125896e-13
5.0,-3.0,0,1.5785690814383551e-25
5.0,-3.0,1,6.43442587428836e-25
5.0,-3.0,2,2.2667104570100053e-25
5.0,-3.0,3,7.613330055534596e-25
5.0,-3.0,4,4.659277495733784e-25
5.0,-3.0,5,3.9605311581385724e-25
5.0,-3.0,6,6.004292404765351e-25
5.0,-3.0,7,7.739481855300944e-25
5.0,-1.0,0,1.7299645303724276e-26
5.0,-1.0,1,1.3962799151357577e-25
5.0,-1.0,2,3.0160212890248736e-26
5.0,-1.0,3,2.3288009374177806e-25
5.0,-1.0,4,6.859487430149236e-26
5.0,-1.0,5,2.0974631642371094e-25
5.0,-1.0,6,1.2074756110728264e-25
5.0,-1.0,7,2.758470899571207e-25
5.0,-0.3,0,1.253134813304258e-26
5.0,-0.3,1,7.906982712300745e-26
5.0,-0.3,2,2.014837282008575e-26
5.0,-0.3,3,1.2096309315979123e-25
5.0,-0.3,4,4.408839532717264e-26
5.0,-0.3,5,9.8809117205088e-26
5.0,-0.3,6,6.99177856651282e-26
5.0,-0.3,7,1.3880625792618718e-25
5.0,1.0,0,8.721825998872706e-26
5.0,1.0,1,4.9373684550343e-25
5.0,1.0,2,1.358774410141643e-25
5.0,1.0,3,7.19537856001376e-25
5.0,1.0,4,2.9249899846077743e-25
5.0,1.0,5,5.515103381187077e-25
5.0,1.0,6,4.4163820237341045e-25
5.0,1.0,7,8.096769084242729e-25
