label,eta,max_excluded_q_error,positive_LJ,exact_residual,duality_gap,conditional_rank,coefficient_count,material_accepted
baseline,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,3,10,False
positive_cross_square_t-100,12.507317854923205,2.1008672167611926,True,6.394884621840902e-14,1.4210854715202004e-14,4,11,False
positive_cross_square_t-10,12.507115627778639,2.1008274959483733,True,9.414691248821327e-14,5.1514348342607263e-14,4,11,False
positive_cross_square_t-1,12.502799229558134,2.099255436891278,True,6.750155989720952e-14,-1.7763568394002505e-14,4,11,False
positive_cross_square_t-0.1,12.506381793159235,2.100588546298094,True,2.6645352591003757e-14,1.7763568394002505e-14,4,11,False
positive_cross_square_t0.1,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
positive_cross_square_t1,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
positive_cross_square_t10,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
positive_cross_square_t100,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
cross_square_cone_capacity_NOT_model_selection,12.502764206661753,2.0992490878739183,True,8.704148513061227e-14,2.113864638886298e-13,4,18,False
