model,role,order,radius_A,reference,prediction,error
LJ_only,fit,0,2.1,1.0557462688917805,1.6003539108771507,0.5446076419853703
LJ_only,fit,0,2.35,0.4243090888718944,0.29366505513834446,-0.13064403373354994
LJ_only,fit,0,2.6,0.07840391033983327,0.025999347647005143,-0.05240456269282812
LJ_only,fit,0,2.85,-0.03977715496730979,-0.024266672929815113,0.015510482037494677
LJ_only,fit,0,3.1,-0.06718805223508954,-0.027433591348011595,0.039754460887077944
LJ_only,fit,0,3.35,-0.06342222424710821,-0.021776983621986316,0.04164524062512189
LJ_only,fit,0,3.6,-0.05323359500405456,-0.015888873244364915,0.03734472175968964
LJ_only,fit,0,3.85,-0.05122341565930674,-0.011338117280724917,0.039885298378581825
LJ_only,fit,0,4.1,-0.055315255640364255,-0.008085088122816476,0.04723016751754778
LJ_only,fit,0,4.35,-0.05294899043649517,-0.0058107958204653195,0.047138194616029847
LJ_only,fit,0,4.6,-0.04427558739789523,-0.00422359474874574,0.04005199264914949
LJ_only,fit,0,4.85,-0.0285316461202155,-0.003108381285356958,0.025423264834858544
LJ_only,fit,0,5.1,-0.010704825445008928,-0.0023165721214149487,0.00838825332359398
LJ_only,fit,0,5.35,0.001256832735030885,-0.0017476587639098276,-0.0030044914989407123
LJ_only,fit,0,5.6,0.004756619554422246,-0.0013338591522964903,-0.006090478706718736
LJ_only,fit,0,5.85,0.0017291231994778177,-0.0010292289180909835,-0.0027583521175688014
LJ_only,fit,0,6.1,-6.213530858619344e-05,-0.0008023467133873517,-0.0007402114048011583
LJ_only,fit,1,2.1,-2.860621826340706,-10.531874168425796,-7.67125234208509
LJ_only,fit,1,2.35,-2.0386596659733605,-2.1307194874448476,-0.09205982147148717
LJ_only,fit,1,2.6,-0.8152085543622667,-0.4310227934968887,0.384185760865378
LJ_only,fit,1,2.85,-0.23628296699121218,-0.06139159127377363,0.17489137571743854
LJ_only,fit,1,3.1,-0.017140494979552588,0.015396187886333623,0.03253668286588621
LJ_only,fit,1,3.35,0.033159186952258515,0.025248147646897947,-0.007911039305360568
