case,species,dopant_count,arrangement,chemical_concentration_cm3,atomic_site_fraction,initial_nearest_plane_dopants,fixed_material_volume_A3,rigid_work_J_m2,work_change_from_pure_percent,sampled_peak_traction_GPa,sampled_peak_change_from_pure_percent,bulk_sigma_zz_GPa,force_max_eV_A,plateau_8_to_10_eV
Si_00_pure,Si,0,pure,0.0,0.0,0,4421.423122164499,2.185817269750397,0.0,19.181956194545787,0.0,7.450442745659559e-08,2.7668022134698763e-14,0.0
B_01_interface_cluster,B,1,interface_cluster,2.2617152269074216e+20,0.004629629629629629,1,4421.423122164499,2.227941673815404,1.9271695144863266,19.208571527097316,0.13875192019829896,0.3082636158599781,0.000181748925106031,0.0
B_02_interface_cluster,B,2,interface_cluster,4.523430453814843e+20,0.009259259259259259,2,4421.423122164499,2.301107256646805,5.274456766899527,19.832752457216095,3.3927523140489413,0.6040244467906887,0.00017133430026659808,0.0
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.018518518518518517,2,4421.423122164499,2.373171671513686,8.571366159289418,20.163571295571614,5.117387877806445,1.201681844864158,0.0001640574842884968,0.0
B_08_interface_cluster,B,8,interface_cluster,1.8093721815259373e+21,0.037037037037037035,2,4421.423122164499,2.2241642793870025,1.754355689621967,19.255730490163504,0.3846025653978513,1.833342804786996,0.0001798790058866244,0.0
B_01_interface_spread,B,1,interface_spread,2.2617152269074216e+20,0.004629629629629629,1,4421.423122164499,2.227941673815404,1.9271695144863266,19.208571527097316,0.13875192019829896,0.3082636158599781,0.000181748925106031,0.0
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.009259259259259259,2,4421.423122164499,2.2681068779504687,3.764706654068517,19.212644870514264,0.15998720702532498,0.6203493424526617,0.00017849158425073587,0.0
B_04_interface_spread,B,4,interface_spread,9.046860907629686e+20,0.018518518518518517,4,4421.423122164499,2.354883200419856,7.734678145752105,19.28440171339315,0.5340723219694032,1.2387941547520183,0.0001954405455487581,0.0
B_08_interface_spread,B,8,interface_spread,1.8093721815259373e+21,0.037037037037037035,8,4421.423122164499,2.540511938397104,16.227096086911708,19.670368087420545,2.5462048183262587,2.4176211505953034,0.00017810911483549235,0.0
B_01_bulk_spread,B,1,bulk_spread,2.2617152269074216e+20,0.004629629629629629,0,4421.423122164499,2.18270903771744,-0.14219999429833097,19.184620055831353,0.013887328583939151,0.3082636158599886,0.00018174892507920968,0.0
B_02_bulk_spread,B,2,bulk_spread,4.523430453814843e+20,0.009259259259259259,1,4421.423122164499,2.225599359360938,1.8200098499122852,19.218699357176032,0.19155065446709862,0.612156564956037,0.00019064071886072513,0.0
B_04_bulk_spread,B,4,bulk_spread,9.046860907629686e+20,0.018518518518518517,1,4421.423122164499,2.1865832243727836,0.03504202446320548,19.11534386073933,-0.3472655923664192,1.2200723422005715,0.00017988444733110486,0.0
B_08_bulk_spread,B,8,bulk_spread,1.8093721815259373e+21,0.037037037037037035,2,4421.423122164499,2.213413909263894,1.2625318637293326,19.143658536062343,-0.19965460297700632,2.42916539805756,0.00018558961058875897,0.0
P_01_interface_cluster,P,1,interface_cluster,2.2617152269074216e+20,0.004629629629629629,1,4421.423122164499,2.1146421225248404,-3.256225861628592,18.702057700542152,-2.5018224895127728,0.08401140518771032,0.00013833270394573297,0.0
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.009259259259259259,2,4421.423122164499,2.028146253789741,-7.2133667412491835,17.750836432350287,-7.460760246144371,0.13418222979546593,0.00019494106819569016,0.0
P_04_interface_cluster,P,4,interface_cluster,9.046860907629686e+20,0.018518518518518517,2,4421.423122164499,2.0496192958035144,-6.230986269151173,17.95145378733677,-6.414895304363688,0.28230602020915446,0.0001858624792958345,0.0
P_08_interface_cluster,P,8,interface_cluster,1.8093721815259373e+21,0.037037037037037035,2,4421.423122164499,2.0892648466509414,-4.417222996434688,18.250095623388038,-4.858005939053889,0.4792378088557137,0.00016913403420374285,0.0
P_01_interface_spread,P,1,interface_spread,2.2617152269074216e+20,0.004629629629629629,1,4421.423122164499,2.1146421225248404,-3.256225861628592,18.702057700542152,-2.5018224895127728,0.08401140518771032,0.00013833270394573297,0.0
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.009259259259259259,2,4421.423122164499,2.0414085523403007,-6.606623499986641,18.200683057441534,-5.115605140331148,0.16804464866169133,0.00017517500445461527,0.0
P_04_interface_spread,P,4,interface_spread,9.046860907629686e+20,0.018518518518518517,4,4421.423122164499,1.8850806356573027,-13.758544149824381,17.230135683753502,-10.175294380805989,0.3359436516993326,0.0001758172090137768,0.0
P_08_interface_spread,P,8,interface_spread,1.8093721815259373e+21,0.037037037037037035,8,4421.423122164499,1.5869322739628204,-27.398676187418193,15.58877533851514,-18.732087695270284,0.6796127390541596,0.00017144154502828378,0.0
P_01_bulk_spread,P,1,bulk_spread,2.2617152269074216e+20,0.004629629629629629,0,4421.423122164499,2.1850021993796456,-0.0372890443328,19.183011531926873,0.005501719274003669,0.08401140518769598,0.00013833270395962723,0.0
P_02_bulk_spread,P,2,bulk_spread,4.523430453814843e+20,0.009259259259259259,1,4421.423122164499,2.113745563542061,-3.2972429674583914,18.701045481737516,-2.507099421616932,0.16716118328511437,0.00018902976742911197,0.0
P_04_bulk_spread,P,4,bulk_spread,9.046860907629686e+20,0.018518518518518517,1,4421.423122164499,2.0910544833908555,-4.335348049032595,18.750339924945354,-2.2501160216555904,0.33569841065297823,0.00017777996875417156,0.0
P_08_bulk_spread,P,8,bulk_spread,1.8093721815259373e+21,0.037037037037037035,2,4421.423122164499,2.008857190611228,-8.095831320766179,18.215431487638043,-5.038718142743792,0.6617506358610178,0.0001826068336699698,0.0
