case,opening_A,opening_error_A,energy_error_eV,derivative_error_eV_A
Si_00_pure,-0.25,0.0,0.0,0.0
Si_00_pure,-0.1,0.0,0.0,0.0
Si_00_pure,-0.03,0.0,0.0,0.0
Si_00_pure,0.0013126369022513774,0.0,0.0,0.0
Si_00_pure,0.001240238090936445,0.0,0.0,0.0
Si_00_pure,0.0012400557575011069,0.0,0.0,0.0
Si_00_pure,0.0011400557575011068,0.0,0.0,0.0
Si_00_pure,0.001340055757501107,0.0,0.0,0.0
Si_00_pure,3.862053314236412,0.0,0.0,0.0
Si_00_pure,3.431026657118206,0.0,0.0,0.0
Si_00_pure,3.4424155916272783,0.0,0.0,0.0
Si_00_pure,3.433946280960621,0.0,0.0,0.0
Si_00_pure,3.433897801775988,0.0,0.0,0.0
Si_00_pure,3.433897529455543,0.0,0.0,0.0
Si_00_pure,3.43389762945726,0.0,0.0,0.0
Si_00_pure,3.4337975294555427,0.0,0.0,0.0
Si_00_pure,3.433997529455543,0.0,0.0,0.0
B_01_interface_cluster,-0.25,0.0,0.0,0.0
B_01_interface_cluster,-0.1,0.0,0.0,0.0
B_01_interface_cluster,-0.03,0.0,0.0,0.0
B_01_interface_cluster,-0.0024001236691038015,0.0,0.0,0.0
B_01_interface_cluster,-0.002543732525430588,0.0,0.0,0.0
B_01_interface_cluster,-0.002543632525429316,0.0,0.0,0.0
B_01_interface_cluster,-0.002643632525429316,0.0,0.0,0.0
B_01_interface_cluster,-0.002443632525429316,0.0,0.0,0.0
B_01_interface_cluster,3.8699964399847064,0.0,0.0,0.0
B_01_interface_cluster,3.4349982199923534,0.0,0.0,0.0
B_01_interface_cluster,3.55317391207514,0.0,0.0,0.0
B_01_interface_cluster,3.481009673299074,0.0,0.0,0.0
B_01_interface_cluster,3.47401716022967,0.0,0.0,0.0
B_01_interface_cluster,3.4734489005929605,0.0,0.0,0.0
B_01_interface_cluster,3.4734505365735333,0.0,0.0,0.0
B_01_interface_cluster,3.4734504365717966,0.0,0.0,0.0
B_01_interface_cluster,3.473350536573533,0.0,0.0,0.0
B_01_interface_cluster,3.4735505365735335,0.0,0.0,0.0
B_02_interface_cluster,-0.25,0.0,0.0,0.0
B_02_interface_cluster,-0.1,0.0,0.0,0.0
B_02_interface_cluster,-0.03,0.0,0.0,0.0
B_02_interface_cluster,-0.005713957102618751,0.0,0.0,0.0
B_02_interface_cluster,-0.006007919491438129,0.0,0.0,0.0
B_02_interface_cluster,-0.006007710324739097,0.0,0.0,0.0
B_02_interface_cluster,-0.006007810324742101,0.0,0.0,0.0
B_02_interface_cluster,-0.006107710324739097,0.0,0.0,0.0
B_02_interface_cluster,-0.005907710324739097,0.0,0.0,0.0
B_02_interface_cluster,3.862270475093182,0.0,0.0,0.0
B_02_interface_cluster,3.431135237546591,0.0,0.0,0.0
B_02_interface_cluster,3.5679562080901697,0.0,0.0,0.0
B_02_interface_cluster,3.489395741437815,0.0,0.0,0.0
B_02_interface_cluster,3.479810637457214,0.0,0.0,0.0
B_02_interface_cluster,3.4788460982725944,0.0,0.0,0.0
B_02_interface_cluster,3.4788508558139193,0.0,0.0,0.0
B_02_interface_cluster,3.47885075581218,0.0,0.0,0.0
B_02_interface_cluster,3.478750855813919,0.0,0.0,0.0
B_02_interface_cluster,3.4789508558139195,0.0,0.0,0.0
B_04_interface_cluster,-0.25,0.0,0.0,0.0
B_04_interface_cluster,-0.1,0.0,0.0,0.0
B_04_interface_cluster,-0.03,0.0,0.0,0.0
B_04_interface_cluster,-0.012734456486943858,0.0,0.0,0.0
B_04_interface_cluster,-0.013183631062521963,0.0,0.0,0.0
B_04_interface_cluster,-0.013183154368153068,0.0,0.0,0.0
B_04_interface_cluster,-0.01318325436815966,0.0,0.0,0.0
B_04_interface_cluster,-0.013283154368153067,0.0,0.0,0.0
B_04_interface_cluster,-0.013083154368153068,0.0,0.0,0.0
B_04_interface_cluster,3.8730695337840952,0.0,0.0,0.0
B_04_interface_cluster,3.4365347668920476,0.0,0.0,0.0
B_04_interface_cluster,3.617885770602157,0.0,0.0,0.0
B_04_interface_cluster,3.5282928563470386,0.0,0.0,0.0
B_04_interface_cluster,3.5009712174297336,0.0,0.0,0.0
B_04_interface_cluster,3.5055115629367117,0.0,0.0,0.0
B_04_interface_cluster,3.5052545128702617,0.0,0.0,0.0
B_04_interface_cluster,3.505251816757506,0.0,0.0,0.0
B_04_interface_cluster,3.5052519167592586,0.0,0.0,0.0
B_04_interface_cluster,3.5051518167575058,0.0,0.0,0.0
B_04_interface_cluster,3.505351816757506,0.0,0.0,0.0
B_08_interface_cluster,-0.25,0.0,0.0,0.0
B_08_interface_cluster,-0.1,0.0,0.0,0.0
B_08_interface_cluster,-0.03,0.0,0.0,0.0
B_08_interface_cluster,-0.021625913742772365,0.0,0.0,0.0
B_08_interface_cluster,-0.021976812491350035,0.0,0.0,0.0
B_08_interface_cluster,-0.021982563855644607,0.0,0.0,0.0
B_08_interface_cluster,-0.021982463855633617,0.0,0.0,0.0
B_08_interface_cluster,-0.022082563855644607,0.0,0.0,0.0
B_08_interface_cluster,-0.021882563855644608,0.0,0.0,0.0
B_08_interface_cluster,3.869897290467841,0.0,0.0,0.0
B_08_interface_cluster,3.4349486452339204,0.0,0.0,0.0
B_08_interface_cluster,3.482493891227586,0.0,0.0,0.0
B_08_interface_cluster,3.4477529313163626,0.0,0.0,0.0
B_08_interface_cluster,3.4468039095690166,0.0,0.0,0.0
B_08_interface_cluster,3.446780265570003,0.0,0.0,0.0
B_08_interface_cluster,3.446780365571726,0.0,0.0,0.0
B_08_interface_cluster,3.4466802655700026,0.0,0.0,0.0
B_08_interface_cluster,3.446880265570003,0.0,0.0,0.0
B_01_interface_spread,-0.25,0.0,0.0,0.0
B_01_interface_spread,-0.1,0.0,0.0,0.0
B_01_interface_spread,-0.03,0.0,0.0,0.0
B_01_interface_spread,-0.0024001236691038015,0.0,0.0,0.0
B_01_interface_spread,-0.002543732525430588,0.0,0.0,0.0
B_01_interface_spread,-0.002543632525429316,0.0,0.0,0.0
B_01_interface_spread,-0.002643632525429316,0.0,0.0,0.0
B_01_interface_spread,-0.002443632525429316,0.0,0.0,0.0
B_01_interface_spread,3.8699964399847064,0.0,0.0,0.0
B_01_interface_spread,3.4349982199923534,0.0,0.0,0.0
B_01_interface_spread,3.55317391207514,0.0,0.0,0.0
B_01_interface_spread,3.481009673299074,0.0,0.0,0.0
B_01_interface_spread,3.47401716022967,0.0,0.0,0.0
B_01_interface_spread,3.4734489005929605,0.0,0.0,0.0
B_01_interface_spread,3.4734505365735333,0.0,0.0,0.0
B_01_interface_spread,3.4734504365717966,0.0,0.0,0.0
B_01_interface_spread,3.473350536573533,0.0,0.0,0.0
B_01_interface_spread,3.4735505365735335,0.0,0.0,0.0
B_02_interface_spread,-0.25,0.0,0.0,0.0
B_02_interface_spread,-0.1,0.0,0.0,0.0
B_02_interface_spread,-0.03,0.0,0.0,0.0
B_02_interface_spread,-0.005944021105928573,0.0,0.0,0.0
B_02_interface_spread,-0.0062561336880987365,0.0,0.0,0.0
B_02_interface_spread,-0.006255883509444376,0.0,0.0,0.0
B_02_interface_spread,-0.006255983509447504,0.0,0.0,0.0
B_02_interface_spread,-0.006355883509444376,0.0,0.0,0.0
B_02_interface_spread,-0.006155883509444376,0.0,0.0,0.0
B_02_interface_spread,3.8763969638604387,0.0,0.0,0.0
B_02_interface_spread,3.438198481930219,0.0,0.0,0.0
B_02_interface_spread,3.6224846674020084,0.0,0.0,0.0
B_02_interface_spread,3.5327830477729942,0.0,0.0,0.0
B_02_interface_spread,3.5072344176609866,0.0,0.0,0.0
B_02_interface_spread,3.510957520369321,0.0,0.0,0.0
B_02_interface_spread,3.510767470325236,0.0,0.0,0.0
B_02_interface_spread,3.5107659220933205,0.0,0.0,0.0
B_02_interface_spread,3.510766022095076,0.0,0.0,0.0
B_02_interface_spread,3.5106659220933203,0.0,0.0,0.0
B_02_interface_spread,3.5108659220933207,0.0,0.0,0.0
B_04_interface_spread,-0.25,0.0,0.0,0.0
B_04_interface_spread,-0.1,0.0,0.0,0.0
B_04_interface_spread,-0.03,0.0,0.0,0.0
B_04_interface_spread,-0.012745990902290482,0.0,0.0,0.0
B_04_interface_spread,-0.013228263482067558,0.0,0.0,0.0
B_04_interface_spread,-0.013227621606212464,0.0,0.0,0.0
B_04_interface_spread,-0.013227721606219078,0.0,0.0,0.0
B_04_interface_spread,-0.013327621606212463,0.0,0.0,0.0
B_04_interface_spread,-0.013127621606212465,0.0,0.0,0.0
B_04_interface_spread,3.886740425467895,0.0,0.0,0.0
B_04_interface_spread,3.4433702127339476,0.0,0.0,0.0
B_04_interface_spread,3.7072954815491044,0.0,0.0,0.0
B_04_interface_spread,3.575332847141526,0.0,0.0,0.0
B_04_interface_spread,3.584214899420923,0.0,0.0,0.0
B_04_interface_spread,3.5812829322389463,0.0,0.0,0.0
B_04_interface_spread,3.5812357529115593,0.0,0.0,0.0
B_04_interface_spread,3.5812358529133497,0.0,0.0,0.0
B_04_interface_spread,3.581135752911559,0.0,0.0,0.0
B_04_interface_spread,3.5813357529115595,0.0,0.0,0.0
B_08_interface_spread,-0.25,0.0,0.0,0.0
B_08_interface_spread,-0.1,0.0,0.0,0.0
B_08_interface_spread,-0.03,0.0,0.0,0.0
B_08_interface_spread,-0.024714022102232086,0.0,0.0,0.0
B_08_interface_spread,-0.024994806850495824,0.0,0.0,0.0
B_08_interface_spread,-0.024997980152261772,0.0,0.0,0.0
B_08_interface_spread,-0.024997880152249272,0.0,0.0,0.0
B_08_interface_spread,-0.02509798015226177,0.0,0.0,0.0
B_08_interface_spread,-0.024897980152261773,0.0,0.0,0.0
B_08_interface_spread,3.8951761548641803,0.0,0.0,0.0
B_08_interface_spread,3.44758807743209,0.0,0.0,0.0
B_08_interface_spread,3.7738526888854063,0.0,0.0,0.0
B_08_interface_spread,3.6087291819059946,0.0,0.0,0.0
