       Step     Time          Energy          fmax
LBFGS:    0 02:01:02    -1162.775529        1.584815
LBFGS:    1 02:01:05    -1162.911763        1.386456
LBFGS:    2 02:01:08    -1163.261642        0.721701
LBFGS:    3 02:01:11    -1163.426660        0.277452
LBFGS:    4 02:01:13    -1163.454920        0.255474
LBFGS:    5 02:01:16    -1163.472961        0.198319
LBFGS:    6 02:01:19    -1163.500383        0.146578
LBFGS:    7 02:01:21    -1163.508947        0.098724
LBFGS:    8 02:01:24    -1163.513150        0.079038
LBFGS:    9 02:01:27    -1163.517257        0.070390
LBFGS:   10 02:01:29    -1163.520670        0.067538
LBFGS:   11 02:01:32    -1163.522507        0.035549
LBFGS:   12 02:01:35    -1163.523584        0.033254
LBFGS:   13 02:01:38    -1163.524645        0.037347
LBFGS:   14 02:01:40    -1163.525761        0.039691
LBFGS:   15 02:01:43    -1163.526581        0.031315
LBFGS:   16 02:01:46    -1163.527141        0.030446
LBFGS:   17 02:01:48    -1163.527678        0.022395
LBFGS:   18 02:01:51    -1163.528264        0.030904
LBFGS:   19 02:01:53    -1163.528755        0.023506
LBFGS:   20 02:01:56    -1163.529084        0.019344
LBFGS:   21 02:01:59    -1163.529331        0.016878
LBFGS:   22 02:02:01    -1163.529561        0.018950
LBFGS:   23 02:02:04    -1163.529735        0.012387
LBFGS:   24 02:02:07    -1163.529833        0.008839
LBFGS:   25 02:02:10    -1163.529896        0.007796
LBFGS:   26 02:02:13    -1163.529950        0.008634
LBFGS:   27 02:02:15    -1163.529990        0.006756
LBFGS:   28 02:02:18    -1163.530012        0.003853
LBFGS:   29 02:02:21    -1163.530024        0.003414
LBFGS:   30 02:02:24    -1163.530036        0.004711
LBFGS:   31 02:02:27    -1163.530046        0.003586
LBFGS:   32 02:02:30    -1163.530052        0.002056
LBFGS:   33 02:02:33    -1163.530055        0.001773
LBFGS:   34 02:02:35    -1163.530058        0.001828
LBFGS:   35 02:02:38    -1163.530060        0.001473
LBFGS:   36 02:02:40    -1163.530062        0.001081
LBFGS:   37 02:02:43    -1163.530062        0.000968
LBFGS:   38 02:02:46    -1163.530063        0.000925
LBFGS:   39 02:02:49    -1163.530064        0.000772
LBFGS:   40 02:02:51    -1163.530064        0.000501
LBFGS:   41 02:02:53    -1163.530064        0.000403
LBFGS:   42 02:02:56    -1163.530064        0.000439
LBFGS:   43 02:02:59    -1163.530064        0.000342
LBFGS:   44 02:03:02    -1163.530064        0.000229
LBFGS:   45 02:03:06    -1163.530064        0.000182
