       Step     Time          Energy          fmax
LBFGS:    0 02:36:12    -1162.775529        1.584815
LBFGS:    1 02:36:17    -1162.911763        1.386456
LBFGS:    2 02:36:22    -1163.261642        0.721701
LBFGS:    3 02:36:27    -1163.426660        0.277452
LBFGS:    4 02:36:32    -1163.454920        0.255474
LBFGS:    5 02:36:38    -1163.472961        0.198319
LBFGS:    6 02:36:44    -1163.500383        0.146578
LBFGS:    7 02:36:52    -1163.508947        0.098724
LBFGS:    8 02:37:02    -1163.513150        0.079038
LBFGS:    9 02:37:09    -1163.517257        0.070390
LBFGS:   10 02:37:17    -1163.520670        0.067538
LBFGS:   11 02:37:25    -1163.522507        0.035549
LBFGS:   12 02:37:33    -1163.523584        0.033254
LBFGS:   13 02:37:41    -1163.524645        0.037347
LBFGS:   14 02:37:49    -1163.525761        0.039691
LBFGS:   15 02:37:57    -1163.526581        0.031315
LBFGS:   16 02:38:06    -1163.527141        0.030446
LBFGS:   17 02:38:16    -1163.527678        0.022395
LBFGS:   18 02:38:26    -1163.528264        0.030904
LBFGS:   19 02:38:32    -1163.528755        0.023506
LBFGS:   20 02:38:38    -1163.529084        0.019344
LBFGS:   21 02:38:43    -1163.529331        0.016878
LBFGS:   22 02:38:49    -1163.529561        0.018950
LBFGS:   23 02:38:54    -1163.529735        0.012387
LBFGS:   24 02:39:00    -1163.529833        0.008839
LBFGS:   25 02:39:06    -1163.529896        0.007796
LBFGS:   26 02:39:14    -1163.529950        0.008634
LBFGS:   27 02:39:21    -1163.529990        0.006756
LBFGS:   28 02:39:31    -1163.530012        0.003853
LBFGS:   29 02:39:38    -1163.530024        0.003414
LBFGS:   30 02:39:44    -1163.530036        0.004711
LBFGS:   31 02:39:50    -1163.530046        0.003586
LBFGS:   32 02:39:56    -1163.530052        0.002056
LBFGS:   33 02:40:01    -1163.530055        0.001773
LBFGS:   34 02:40:08    -1163.530058        0.001828
LBFGS:   35 02:40:14    -1163.530060        0.001473
LBFGS:   36 02:40:20    -1163.530062        0.001081
LBFGS:   37 02:40:26    -1163.530062        0.000968
LBFGS:   38 02:40:32    -1163.530063        0.000925
LBFGS:   39 02:40:38    -1163.530064        0.000772
LBFGS:   40 02:40:44    -1163.530064        0.000501
LBFGS:   41 02:40:49    -1163.530064        0.000403
LBFGS:   42 02:40:54    -1163.530064        0.000439
LBFGS:   43 02:41:00    -1163.530064        0.000342
LBFGS:   44 02:41:05    -1163.530064        0.000229
LBFGS:   45 02:41:10    -1163.530064        0.000182
