       Step     Time          Energy          fmax
LBFGS:    0 03:44:33    -1162.702091        1.584732
LBFGS:    1 03:44:39    -1162.974530        1.386374
LBFGS:    2 03:44:44    -1163.674165        0.721585
LBFGS:    3 03:44:49    -1164.004004        0.277431
LBFGS:    4 03:44:55    -1164.060410        0.255426
LBFGS:    5 03:45:00    -1164.096449        0.198235
LBFGS:    6 03:45:05    -1164.150923        0.145994
LBFGS:    7 03:45:10    -1164.167717        0.098043
LBFGS:    8 03:45:15    -1164.175700        0.078586
LBFGS:    9 03:45:20    -1164.183190        0.067016
LBFGS:   10 03:45:25    -1164.188966        0.061171
LBFGS:   11 03:45:29    -1164.191639        0.031521
LBFGS:   12 03:45:34    -1164.192889        0.026017
LBFGS:   13 03:45:39    -1164.193920        0.026773
LBFGS:   14 03:45:43    -1164.194808        0.024688
LBFGS:   15 03:45:48    -1164.195283        0.018725
LBFGS:   16 03:45:52    -1164.195525        0.016752
LBFGS:   17 03:45:56    -1164.195731        0.012854
LBFGS:   18 03:46:00    -1164.195931        0.012884
LBFGS:   19 03:46:03    -1164.196075        0.008625
LBFGS:   20 03:46:07    -1164.196166        0.008585
LBFGS:   21 03:46:11    -1164.196239        0.007262
LBFGS:   22 03:46:16    -1164.196302        0.007025
LBFGS:   23 03:46:20    -1164.196344        0.006109
LBFGS:   24 03:46:24    -1164.196372        0.004696
LBFGS:   25 03:46:28    -1164.196395        0.004200
LBFGS:   26 03:46:33    -1164.196416        0.004142
LBFGS:   27 03:46:36    -1164.196431        0.003167
LBFGS:   28 03:46:41    -1164.196440        0.002773
LBFGS:   29 03:46:44    -1164.196448        0.002243
LBFGS:   30 03:46:48    -1164.196455        0.002583
LBFGS:   31 03:46:52    -1164.196460        0.001635
LBFGS:   32 03:46:56    -1164.196463        0.001447
LBFGS:   33 03:47:00    -1164.196465        0.001150
LBFGS:   34 03:47:04    -1164.196467        0.001259
LBFGS:   35 03:47:08    -1164.196468        0.000879
LBFGS:   36 03:47:11    -1164.196469        0.000839
LBFGS:   37 03:47:15    -1164.196470        0.000688
LBFGS:   38 03:47:19    -1164.196471        0.000716
LBFGS:   39 03:47:23    -1164.196471        0.000489
LBFGS:   40 03:47:27    -1164.196472        0.000482
LBFGS:   41 03:47:30    -1164.196472        0.000371
LBFGS:   42 03:47:34    -1164.196472        0.000349
LBFGS:   43 03:47:38    -1164.196472        0.000220
LBFGS:   44 03:47:42    -1164.196472        0.000227
LBFGS:   45 03:47:46    -1164.196472        0.000191
