case,species,count,arrangement,chemical_concentration_cm3,opening_A,energy_eV,delta_energy_eV,area_A2,separation_work_J_m2,conjugate_force_eV_A,rigid_traction_GPa,affine_stress_zz_GPa,nonaffine_correction_GPa,total_force_norm_eV_A
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.0,-1163.6674361396997,0.0,155.52997112368598,0.0,0.13070177511547015,0.13464114253952808,0.13418222979546593,0.00045891274406216595,1.0090505991698728e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.03,-1163.6305356428722,0.036900496827456664,155.52997112368598,0.003801268229705118,2.2833561391226187,2.3521767713139994,0.34264618709789335,2.009530584216106,4.931215618043959e-16
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.1,-1163.3204832617716,0.34695287792806084,155.52997112368598,0.03574100799345788,6.387078346468815,6.579585665904655,0.7580657153448643,5.821519950559791,1.3853732283409751e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.2,-1162.452841327263,1.2145948124366441,155.52997112368598,0.12512028480453077,10.734959271202197,11.058512251367937,1.2275422842004091,9.830969967167526,2.4908397868530048e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.35,-1160.4802355957195,3.187200543980225,155.52997112368598,0.32832631566402526,15.20418152420566,15.66243740751715,1.7409779580347553,13.921459449482395,1.8633334889853758e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.5,-1158.0128260176557,5.654610122044005,155.52997112368598,0.5825040759966472,17.23147759839764,17.750836432350287,1.9932295870119787,15.757606845338307,2.2888791419948754e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.7,-1154.6485861357535,9.018850003946227,155.52997112368598,0.9290679241740606,15.704816232792957,16.17816130720854,1.840213225572914,14.337948081635625,1.6276333078927026e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,0.9,-1151.89155563469,11.775880505009809,155.52997112368598,1.2130806977967434,11.789802396759393,12.145148477230313,1.376664617607682,10.76848385962263,1.115585730768326e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,1.1,-1149.8754298998279,13.792006239871853,155.52997112368598,1.4207698988082462,8.625721174842994,8.885701461837284,0.9772247611880899,7.908476700649195,2.309573545685616e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,1.4,-1147.7113537641926,15.956082375507094,155.52997112368598,1.6437000642073296,6.033607171685512,6.215460826853558,0.6218379674405233,5.593622859413035,5.528249472009482e-16
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,1.8,-1145.8641591371936,17.803277002506093,155.52997112368598,1.8339869940155118,3.267683782629632,3.366172169907013,0.19944357335503946,3.1667285965519736,1.5751003854707747e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,2.3,-1144.8348322138859,18.832603925813828,155.52997112368598,1.9400220902323855,1.2746858745376848,1.3131050620783613,-0.11728462764256067,1.4303896897209218,2.3625295736451257e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,3.0,-1144.1333016424226,19.534134497277137,155.52997112368598,2.012289569067146,0.6300576911306175,0.6490477066948616,-0.22658384203841392,0.8756315487332754,8.546993768257159e-16
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,4.0,-1143.9793741874412,19.688061952258522,155.52997112368598,2.028146253789741,-2.220446049250313e-16,-2.2873705636692416e-16,-0.3454836359176102,0.34548363591761,1.2443729728894474e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,6.0,-1143.9793741874412,19.688061952258522,155.52997112368598,2.028146253789741,-3.3306690738754696e-16,-3.4310558455038624e-16,-0.32541377810343086,0.3254137781034305,7.630560352534436e-16
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,8.0,-1143.9793741874412,19.688061952258522,155.52997112368598,2.028146253789741,5.551115123125783e-17,5.718426409173104e-17,-0.3075476972991178,0.30754769729911785,1.2443729728894474e-15
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,10.0,-1143.9793741874412,19.688061952258522,155.52997112368598,2.028146253789741,-3.3306690738754696e-16,-3.4310558455038624e-16,-0.2915413052299489,0.2915413052299486,1.2443729728894474e-15
