case,species,count,arrangement,chemical_concentration_cm3,opening_A,energy_eV,delta_energy_eV,area_A2,separation_work_J_m2,conjugate_force_eV_A,rigid_traction_GPa,affine_stress_zz_GPa,nonaffine_correction_GPa,total_force_norm_eV_A
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.0,-1163.782588411666,0.0,155.52997112368598,0.0,0.16354088675574024,0.16847002900509334,0.16804464866169133,0.00042538034340199336,9.826324852181947e-16
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.03,-1163.744696032518,0.03789237914793375,155.52997112368598,0.003903446007149846,2.3178540827772043,2.3877144871928704,0.37773214580960773,2.009982341383263,1.0768418993684672e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.1,-1163.4313032054924,0.351285206173543,155.52997112368598,0.036187298508114356,6.45479120213837,6.649339395292863,0.7981343742331256,5.851205021059737,2.688514272965105e-16
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.2,-1162.5520682140054,1.230520197660553,155.52997112368598,0.12676082263198943,10.907449357632796,11.23620121001628,1.2792277769754636,9.956973433040815,1.262498611126384e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.35,-1160.5393839899905,3.2432044216755003,155.52997112368598,0.33409549980316505,15.559785707893782,16.0287595446213,1.8119200356840777,14.216839508937221,1.2948116418456284e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.5,-1158.010646526665,5.77194188500107,155.52997112368598,0.5945908916552407,17.66816248772757,18.200683057441534,2.0724363693111436,16.12824668813039,1.7249307534691459e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.7,-1154.567177818145,9.215410593521028,155.52997112368598,0.9493164191430185,16.028945602045933,16.512059975136207,1.9046004926338584,14.607459482502348,1.2766501971548125e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,0.9,-1151.7634628117817,12.019125599884319,155.52997112368598,1.2381383509633557,11.939459771790155,12.29931654377575,1.4172339984770914,10.88208254529866,1.7464761815245688e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,1.1,-1149.7306185057143,14.051969905951637,155.52997112368598,1.4475497990726642,8.647941145497546,8.908591145114201,0.9987732434532887,7.909817901660912,6.954683353030942e-16
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,1.4,-1147.5856688972258,16.196919514440197,155.52997112368598,1.6685096641712602,5.891644318093271,6.069219195560146,0.6167083115031747,5.452510884056971,2.672034149470445e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,1.8,-1145.812501611239,17.970086800426998,155.52997112368598,1.8511707405706113,3.0791055383741166,3.171910154397053,0.1822123127450031,2.98969784165205,1.4172645090498838e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,2.3,-1144.8509431910304,18.931645220635573,155.52997112368598,1.950224731383673,1.2046643630375555,1.2409730936916044,-0.11745584879384975,1.358428942485454,1.031065223016331e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,3.0,-1144.137883211726,19.644705199940063,155.52997112368598,2.0236799007782356,0.6934350804945717,0.7143352982948729,-0.2010824448710402,0.9154177431659131,1.7492201170882034e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,4.0,-1143.9657837935347,19.8168046181313,155.52997112368598,2.0414085523403007,1.6653345369377348e-16,1.7155279227519312e-16,-0.3300140383316749,0.3300140383316751,1.6312473690896144e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,6.0,-1143.9657837935347,19.8168046181313,155.52997112368598,2.0414085523403007,-2.7755575615628914e-16,-2.859213204586552e-16,-0.31084284138508694,0.31084284138508667,2.9171918131860605e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,8.0,-1143.9657837935347,19.8168046181313,155.52997112368598,2.0414085523403007,1.1102230246251565e-16,1.1436852818346208e-16,-0.2937767437109341,0.2937767437109342,1.6312473690896144e-15
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,10.0,-1143.9657837935347,19.8168046181313,155.52997112368598,2.0414085523403007,5.551115123125783e-17,5.718426409173104e-17,-0.27848706415248975,0.2784870641524898,1.6312473690896144e-15
