       Step     Time          Energy          fmax
LBFGS:    0 04:05:15    -1164.035452        0.299119
LBFGS:    1 04:05:20    -1164.051599        0.249124
LBFGS:    2 04:05:25    -1164.091096        0.124111
LBFGS:    3 04:05:30    -1164.095340        0.119289
LBFGS:    4 04:05:34    -1164.109669        0.064920
LBFGS:    5 04:05:39    -1164.111813        0.056418
LBFGS:    6 04:05:44    -1164.113528        0.049287
LBFGS:    7 04:05:49    -1164.115083        0.044179
LBFGS:    8 04:05:53    -1164.116828        0.046406
LBFGS:    9 04:05:58    -1164.117885        0.040517
LBFGS:   10 04:06:03    -1164.118689        0.035326
LBFGS:   11 04:06:07    -1164.119465        0.031247
LBFGS:   12 04:06:12    -1164.120181        0.035097
LBFGS:   13 04:06:16    -1164.120674        0.028142
LBFGS:   14 04:06:20    -1164.121039        0.026490
LBFGS:   15 04:06:24    -1164.121425        0.030001
LBFGS:   16 04:06:28    -1164.121840        0.023760
LBFGS:   17 04:06:31    -1164.122148        0.017951
LBFGS:   18 04:06:34    -1164.122320        0.015300
LBFGS:   19 04:06:37    -1164.122436        0.013197
LBFGS:   20 04:06:40    -1164.122542        0.011785
LBFGS:   21 04:06:43    -1164.122628        0.009729
LBFGS:   22 04:06:45    -1164.122688        0.009088
LBFGS:   23 04:06:49    -1164.122739        0.009314
LBFGS:   24 04:06:53    -1164.122790        0.007269
LBFGS:   25 04:06:55    -1164.122831        0.006443
LBFGS:   26 04:06:58    -1164.122858        0.005120
LBFGS:   27 04:07:01    -1164.122877        0.005729
LBFGS:   28 04:07:04    -1164.122898        0.004832
LBFGS:   29 04:07:07    -1164.122917        0.003726
LBFGS:   30 04:07:10    -1164.122933        0.004592
LBFGS:   31 04:07:13    -1164.122944        0.004170
LBFGS:   32 04:07:15    -1164.122955        0.004324
LBFGS:   33 04:07:18    -1164.122965        0.002987
LBFGS:   34 04:07:21    -1164.122974        0.002947
LBFGS:   35 04:07:24    -1164.122981        0.003008
LBFGS:   36 04:07:27    -1164.122989        0.003099
LBFGS:   37 04:07:29    -1164.122997        0.002592
LBFGS:   38 04:07:32    -1164.123005        0.002787
LBFGS:   39 04:07:35    -1164.123011        0.002694
LBFGS:   40 04:07:38    -1164.123017        0.002857
LBFGS:   41 04:07:40    -1164.123024        0.002753
LBFGS:   42 04:07:43    -1164.123031        0.002366
LBFGS:   43 04:07:46    -1164.123037        0.002137
LBFGS:   44 04:07:49    -1164.123042        0.002277
LBFGS:   45 04:07:51    -1164.123047        0.002145
LBFGS:   46 04:07:55    -1164.123051        0.001714
LBFGS:   47 04:07:58    -1164.123055        0.001575
LBFGS:   48 04:08:01    -1164.123058        0.001557
LBFGS:   49 04:08:04    -1164.123061        0.001728
LBFGS:   50 04:08:07    -1164.123064        0.001501
LBFGS:   51 04:08:10    -1164.123066        0.001449
LBFGS:   52 04:08:13    -1164.123068        0.001305
LBFGS:   53 04:08:15    -1164.123070        0.001220
LBFGS:   54 04:08:18    -1164.123071        0.001148
LBFGS:   55 04:08:21    -1164.123072        0.000945
LBFGS:   56 04:08:24    -1164.123073        0.000664
LBFGS:   57 04:08:27    -1164.123074        0.000676
LBFGS:   58 04:08:30    -1164.123074        0.000614
LBFGS:   59 04:08:33    -1164.123075        0.000464
LBFGS:   60 04:08:36    -1164.123075        0.000403
LBFGS:   61 04:08:38    -1164.123075        0.000468
LBFGS:   62 04:08:41    -1164.123075        0.000383
LBFGS:   63 04:08:44    -1164.123075        0.000331
LBFGS:   64 04:08:46    -1164.123075        0.000257
LBFGS:   65 04:08:49    -1164.123075        0.000236
LBFGS:   66 04:08:52    -1164.123076        0.000222
LBFGS:   67 04:08:55    -1164.123076        0.000186
