       Step     Time          Energy          fmax
LBFGS:    0 04:41:14    -1166.207604        0.151333
LBFGS:    1 04:41:18    -1166.230093        0.121791
LBFGS:    2 04:41:24    -1166.265584        0.039813
LBFGS:    3 04:41:29    -1166.267075        0.035162
LBFGS:    4 04:41:33    -1166.271590        0.028574
LBFGS:    5 04:41:38    -1166.271937        0.025598
LBFGS:    6 04:41:42    -1166.272693        0.014853
LBFGS:    7 04:41:47    -1166.273047        0.012628
LBFGS:    8 04:41:51    -1166.273275        0.011139
LBFGS:    9 04:41:56    -1166.273403        0.010798
LBFGS:   10 04:42:00    -1166.273553        0.009852
LBFGS:   11 04:42:05    -1166.273662        0.007133
LBFGS:   12 04:42:10    -1166.273723        0.005940
LBFGS:   13 04:42:14    -1166.273760        0.005754
LBFGS:   14 04:42:19    -1166.273804        0.007486
LBFGS:   15 04:42:24    -1166.273858        0.007959
LBFGS:   16 04:42:28    -1166.273910        0.006471
LBFGS:   17 04:42:33    -1166.273950        0.005898
LBFGS:   18 04:42:37    -1166.273982        0.005190
LBFGS:   19 04:42:41    -1166.274008        0.003795
LBFGS:   20 04:42:45    -1166.274024        0.002935
LBFGS:   21 04:42:49    -1166.274033        0.002483
LBFGS:   22 04:42:52    -1166.274040        0.002249
LBFGS:   23 04:42:56    -1166.274047        0.001958
LBFGS:   24 04:43:00    -1166.274051        0.001692
LBFGS:   25 04:43:04    -1166.274053        0.001460
LBFGS:   26 04:43:08    -1166.274054        0.001191
LBFGS:   27 04:43:12    -1166.274055        0.000813
LBFGS:   28 04:43:15    -1166.274056        0.000674
LBFGS:   29 04:43:19    -1166.274057        0.000827
LBFGS:   30 04:43:23    -1166.274057        0.000812
LBFGS:   31 04:43:27    -1166.274057        0.000627
LBFGS:   32 04:43:31    -1166.274058        0.000351
LBFGS:   33 04:43:35    -1166.274058        0.000260
LBFGS:   34 04:43:39    -1166.274058        0.000232
LBFGS:   35 04:43:43    -1166.274058        0.000201
LBFGS:   36 04:43:46    -1166.274058        0.000183
