case,repeats,atoms,opening_A,reference_material_volume_A3,chemical_concentration_cm3,area_A2,energy_eV,reference_eV,separation_work_J_m2
P_08_interface_cluster,1x1x1,216,0.0,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1164.7863525657351,-1164.7863525657351,0.0
P_08_interface_cluster,1x1x1,216,0.7,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1155.3833328640408,-1164.7863525657351,0.9686427860978369
P_08_interface_cluster,1x1x1,216,3.0,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1144.642517371448,-1164.7863525657351,2.0750972840962896
P_08_interface_cluster,1x1x1,216,10.0,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1144.5049869326424,-1164.7863525657351,2.0892648463948142
P_08_interface_cluster,1x1x2,432,0.0,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2329.5727051314716,-2329.5727051314716,0.0
P_08_interface_cluster,1x1x2,432,0.7,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2320.1696854297766,-2329.5727051314716,0.9686427860979073
P_08_interface_cluster,1x1x2,432,3.0,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2309.4288699371855,-2329.5727051314716,2.075097284096196
P_08_interface_cluster,1x1x2,432,10.0,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2309.291339498379,-2329.5727051314716,2.0892648463948142
P_08_interface_cluster,2x1x1,432,0.0,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2329.5727051314716,-2329.5727051314716,0.0
P_08_interface_cluster,2x1x1,432,0.7,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2310.7666657280815,-2329.5727051314716,0.9686427860979073
P_08_interface_cluster,2x1x1,432,3.0,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2289.2850347428966,-2329.5727051314716,2.0750972840963366
P_08_interface_cluster,2x1x1,432,10.0,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2289.0099738652852,-2329.5727051314716,2.0892648463948613
