case,opening_A,energy_eV,energy_derivative_eV_A,tilted_energy_eV,tilted_derivative_eV_A,new_evaluation
B_04_bulk_spread,0.0,-1165.478060583136,1.1839982626083874,-1165.478060583136,1.0869240899964767,False
B_04_bulk_spread,0.03,-1165.4102292136292,3.295802482215924,-1165.4131414388075,3.1987283096040136,False
B_04_bulk_spread,0.1,-1165.030479204516,7.382648711417827,-1165.0401866217771,7.285574538805917,False
B_04_bulk_spread,0.2,-1164.0588336775884,11.837317016925848,-1164.0782485121108,11.740242844313936,False
B_04_bulk_spread,0.35,-1161.9041035593627,16.514755665048174,-1161.938079519777,16.417681492436262,False
B_04_bulk_spread,0.5,-1159.2359529774355,18.556061894734363,-1159.2844900637415,18.45898772212245,False
B_04_bulk_spread,0.7,-1155.6305850064794,16.75953304260753,-1155.6985369273077,16.662458869995618,False
B_04_bulk_spread,0.9,-1152.6939755901847,12.547735881702994,-1152.7813423455354,12.450661709091083,False
B_04_bulk_spread,1.1,-1150.5458738160457,9.200375047660343,-1150.652655405919,9.103300875048433,False
B_04_bulk_spread,1.4,-1148.2465850304209,6.360310060288095,-1148.3824888720776,6.263235887676184,False
B_04_bulk_spread,1.8,-1146.3147838846558,3.4086794368180673,-1146.489517395357,3.3116052642061566,False
B_04_bulk_spread,10.0,-1144.251984847829,2.220446049250313e-16,-1145.222726573948,-0.09707417261191043,False
B_04_bulk_spread,2.3,-1145.2205214109542,1.3842022206879785,-1145.4437920079615,1.2871280480760678,False
B_04_bulk_spread,3.0,-1144.4450374416062,0.7438991561789319,-1144.736259959442,0.6468249835670212,False
B_04_bulk_spread,4.0,-1144.251984847829,-1.1102230246251565e-16,-1144.6402815382764,-0.09707417261191076,False
B_04_bulk_spread,6.0,-1144.2519848478287,-1.1102230246251565e-16,-1144.8344298835002,-0.09707417261191076,False
B_04_bulk_spread,8.0,-1144.251984847829,-4.440892098500626e-16,-1145.0285782287242,-0.09707417261191109,False
B_04_bulk_spread,-0.25,-1162.3220241238184,-32.34665810345227,-1162.2977555806654,-32.44373227606418,True
B_04_bulk_spread,-0.1,-1165.1641865266768,-8.126435735052759,-1165.1544791094157,-8.22350990766467,True
B_04_bulk_spread,-0.03,-1165.4785088827134,-1.2039781634309579,-1165.475596657535,-1.3010523360428685,True
B_04_bulk_spread,-0.013654960050831357,-1165.4871272434093,0.13408233356517807,-1165.4858016994604,0.03700816095326742,True
B_04_bulk_spread,-0.01412296713908632,-1165.4871813279547,0.09703264329956018,-1165.4858103526049,-4.152931235046342e-05,True
B_04_bulk_spread,-0.01412244254596797,-1165.4871812770411,0.09707421313421316,-1165.4858103526158,4.052230251350153e-08,True
B_04_bulk_spread,-0.014122542545975031,-1165.4871812867486,0.09706628893547631,-1165.4858103526158,-7.883676434339293e-06,True
B_04_bulk_spread,-0.014222442545967969,-1165.4871905881978,0.08914836268987014,-1165.485809956355,-0.007925809922040505,True
B_04_bulk_spread,-0.01402244254596797,-1165.4871711734656,0.10499675610754577,-1165.4858099564574,0.007922583495635127,True
B_04_bulk_spread,3.8695062740620165,-1144.251984847829,-3.3306690738754696e-16,-1144.6276139678,-0.09707417261191098,True
B_04_bulk_spread,3.4347531370310085,-1144.2638227933637,0.12643423394506204,-1144.597248612267,0.029360061333151388,True
B_04_bulk_spread,3.535709803352542,-1144.2554743215842,0.04589649275778662,-1144.5987004253404,-0.051177679854124025,True
B_04_bulk_spread,3.4715569245658275,-1144.2598129201028,0.0923112171890077,-1144.5968114362302,-0.004762955422902948,True
B_04_bulk_spread,3.466419782071202,-1144.260298538235,0.09676750762838948,-1144.5967983705052,-0.00030666498352116545,True
B_04_bulk_spread,3.466069917757585,-1144.260332447462,0.09707473408136558,-1144.5967983169433,5.614694549294086e-07,True
B_04_bulk_spread,3.4660705571495503,-1144.260332385394,0.0970741721801972,-1144.5967983169437,-4.3171344277226353e-10,True
B_04_bulk_spread,3.466070457147817,-1144.2603323951012,0.09707426006217246,-1144.5967983169435,8.745026180978499e-08,True
B_04_bulk_spread,3.46597055714955,-1144.2603420972057,0.09716207193129134,-1144.5967983213382,8.789931938069095e-05,True
B_04_bulk_spread,3.4661705571495505,-1144.26032268237,0.09698631108417344,-1144.5967983213372,-8.786152773720968e-05,True
