case,opening_A,energy_eV,energy_derivative_eV_A,tilted_energy_eV,tilted_derivative_eV_A,new_evaluation
B_04_interface_cluster,0.0,-1164.3598788755983,1.1658977002635131,-1164.3598788755983,1.0688235276516025,False
B_04_interface_cluster,0.03,-1164.2907408591468,3.399561712724106,-1164.2936530843251,3.302487540112195,False
B_04_interface_cluster,0.1,-1163.894769365223,7.732831995786196,-1163.9044767824842,7.635757823174285,False
B_04_interface_cluster,0.2,-1162.8745734556508,12.440129492328598,-1162.8939882901732,12.343055319716687,False
B_04_interface_cluster,0.35,-1160.6101950086331,17.356866830701183,-1160.6441709690473,17.25979265808927,False
B_04_interface_cluster,0.5,-1157.801938870016,19.573620004188857,-1157.850475956322,19.476545831576946,False
B_04_interface_cluster,0.7,-1153.9788672679254,17.890383588866648,-1154.0468191887537,17.793309416254736,False
B_04_interface_cluster,0.9,-1150.819129506679,13.622927626747167,-1150.9064962620298,13.525853454135255,False
B_04_interface_cluster,1.1,-1148.4689530430442,10.148792628937054,-1148.5757346329174,10.051718456325144,False
B_04_interface_cluster,1.4,-1145.8961484655601,7.263686191283531,-1146.0320523072169,7.1666120186716205,False
B_04_interface_cluster,1.8,-1143.627381030786,4.13376178471869,-1143.8021145414873,4.036687612106779,False
B_04_interface_cluster,10.0,-1141.3225112277767,1.7763568394002505e-15,-1142.2932529538957,-0.09707417261190887,False
B_04_interface_cluster,2.3,-1142.2980491122391,1.53576894304713,-1142.5213197092464,1.4386947704352193,False
B_04_interface_cluster,3.0,-1141.5422936695745,0.7647822899097305,-1141.8335161874102,0.6677081172978199,False
B_04_interface_cluster,4.0,-1141.3225112277767,1.5543122344752192e-15,-1141.7108079182242,-0.0970741726119091,False
B_04_interface_cluster,6.0,-1141.3225112277767,1.7763568394002505e-15,-1141.9049562634482,-0.09707417261190887,False
B_04_interface_cluster,8.0,-1141.3225112277767,2.3314683517128287e-15,-1142.099104608672,-0.09707417261190832,False
B_04_interface_cluster,-0.25,-1161.053827523416,-33.54357036140363,-1161.029558980263,-33.64064453401554,True
B_04_interface_cluster,-0.1,-1164.0218730766314,-8.601686375623757,-1164.0121656593703,-8.698760548235668,True
B_04_interface_cluster,-0.03,-1164.3578533824693,-1.3520508170071506,-1164.354941157291,-1.4491249896190612,True
B_04_interface_cluster,-0.012734456486943858,-1164.3682142419273,0.13439475315084703,-1164.3669780551002,0.03732058053893639,True
B_04_interface_cluster,-0.013183631062521963,-1164.3682662205474,0.09703452341513075,-1164.36698643047,-3.964919677990064e-05,True
B_04_interface_cluster,-0.013183154368153068,-1164.3682661742819,0.09707420868494598,-1164.366986430479,3.607303533659234e-08,True
B_04_interface_cluster,-0.01318325436815966,-1164.368266183989,0.09706588359363255,-1164.3669864304788,-8.289018278095917e-06,True
B_04_interface_cluster,-0.013283154368153067,-1164.3682754653917,0.08874743136608154,-1164.3669860141717,-0.008326741245829106,True
B_04_interface_cluster,-0.013083154368153068,-1164.3682560506627,0.10539761041411799,-1164.3669860142772,0.008323437802207345,True
B_04_interface_cluster,3.8730695337840952,-1141.3226496351608,0.003542770311344756,-1141.6986246556214,-0.09353140230056589,True
B_04_interface_cluster,3.4365347668920476,-1141.34209116744,0.16354397254792086,-1141.675689936588,0.06646979993601021,True
B_04_interface_cluster,3.617885770602157,-1141.3265372005671,0.032172831252324285,-1141.6777404683528,-0.06490134135958636,True
B_04_interface_cluster,3.5282928563470386,-1141.3312125406592,0.07892423837344564,-1141.6737186504215,-0.018149934238465004,True
B_04_interface_cluster,3.5009712174297336,-1141.333659035996,0.10069148137868178,-1141.6735129202661,0.0036173087667711323,True
B_04_interface_cluster,3.5055115629367117,-1141.333210598488,0.09685708988395514,-1141.6735052330416,-0.00021708272795550876,True
B_04_interface_cluster,3.5052545128702617,-1141.3332355232144,0.09707191794726533,-1141.6735052048455,-2.254664645318094e-06,True
B_04_interface_cluster,3.505251816757506,-1141.333235784934,0.09707417264815577,-1141.673505204842,3.62451180180301e-11,True
B_04_interface_cluster,3.5052519167592586,-1141.3332357752263,0.0970740890183115,-1141.673505204842,-8.359359915388609e-08,True
B_04_interface_cluster,3.5051518167575058,-1141.3332454965332,0.0971578216075426,-1141.6735052090241,8.364899563195749e-05,True
B_04_interface_cluster,3.505351816757506,-1141.3332260816976,0.09699056482173718,-1141.673505209023,-8.360779017346776e-05,True
