case,opening_A,energy_eV,energy_derivative_eV_A,tilted_energy_eV,tilted_derivative_eV_A,new_evaluation
P_01_interface_cluster,0.0,-1163.3270259940728,0.08187220053614212,-1163.3270259940728,-0.015201972075768524,False
P_01_interface_cluster,0.03,-1163.2911145650064,2.267830517183165,-1163.2940267901847,2.1707563445712545,False
P_01_interface_cluster,0.1,-1162.9784076621681,6.487430692504055,-1162.9881150794292,6.390356519892144,False
P_01_interface_cluster,0.2,-1162.0891611125903,11.078382233915491,-1162.1085759471127,10.98130806130358,False
P_01_interface_cluster,0.35,-1160.0345747577276,15.939686640209057,-1160.0685507181418,15.842612467597146,False
P_01_interface_cluster,0.5,-1157.4391526693655,18.154867774203417,-1157.4876897556715,18.057793601591506,False
P_01_interface_cluster,0.7,-1153.8978436977573,16.504168963511788,-1153.9657956185856,16.407094790899876,False
P_01_interface_cluster,0.9,-1151.0033412847158,12.375982313397675,-1151.0907080400666,12.278908140785763,False
P_01_interface_cluster,1.1,-1148.8846447622127,9.072350988833762,-1148.991426352086,8.97527681622185,False
P_01_interface_cluster,1.4,-1146.6195915464887,6.249089932249597,-1146.7554953881454,6.1520157596376865,False
P_01_interface_cluster,1.8,-1144.7376269095514,3.269160922392572,-1144.9123604202528,3.1720867497806613,False
P_01_interface_cluster,10.0,-1142.7993125526334,-3.885780586188048e-16,-1143.7700542787525,-0.09707417261191104,False
P_01_interface_cluster,2.3,-1143.7139073653987,1.2860338202051194,-1143.937177962406,1.1889596475932087,False
P_01_interface_cluster,3.0,-1142.9704673684782,0.6991254137090226,-1143.261689886314,0.6020512410971119,False
P_01_interface_cluster,4.0,-1142.7993125526334,-2.7755575615628914e-16,-1143.187609243081,-0.09707417261191092,False
P_01_interface_cluster,6.0,-1142.7993125526334,1.1102230246251565e-16,-1143.381757588305,-0.09707417261191054,False
P_01_interface_cluster,8.0,-1142.7993125526334,-3.885780586188048e-16,-1143.5759059335287,-0.09707417261191104,False
P_01_interface_cluster,-0.25,-1159.7621153965451,-34.732395831724894,-1159.737846853392,-34.829470004336805,True
P_01_interface_cluster,-0.1,-1162.8866617867898,-9.585421031811814,-1162.8769543695287,-9.682495204423724,True
P_01_interface_cluster,-0.03,-1163.2931304022159,-2.3938931729647073,-1163.2902181770376,-2.490967345576618,True
P_01_interface_cluster,0.0002086312253989323,-1163.327007228286,0.09801978740958953,-1163.3270274809895,0.0009456147976788787,True
P_01_interface_cluster,0.00019641362437029087,-1163.3270084200788,0.09707455816290986,-1163.3270274867689,3.855509992101158e-07,True
P_01_interface_cluster,0.00019631362437019266,-1163.3270084297856,0.09706682134625431,-1163.3270274867682,-7.351265656332928e-06,True
P_01_interface_cluster,9.641362437029086e-05,-1163.3270177406405,0.08933613648988761,-1163.3270270999133,-0.007738036122023034,True
P_01_interface_cluster,0.00029641362437029086,-1163.3269983258356,0.10480976759456323,-1163.3270270999428,0.007735594982652583,True
P_01_interface_cluster,3.861149129028353,-1142.7993125526334,-5.551115123125783e-17,-1143.174130409665,-0.0970741726119107,True
P_01_interface_cluster,3.4305745645141767,-1142.806658363647,0.10363965882231352,-1143.1396785510808,0.006565486210402871,True
P_01_interface_cluster,3.4578511051550014,-1142.8041673863886,0.07945377546858123,-1143.1398354214366,-0.017620397143329414,True
P_01_interface_cluster,3.437979038802985,-1142.8059163690084,0.09681031124408351,-1143.1396553396573,-0.000263861367827134,True
P_01_interface_cluster,3.437692956612629,-1142.805944101938,0.09707058891444026,-1143.139655301395,-3.5836974703884472e-06,True
P_01_interface_cluster,3.437689019768126,-1142.8059444840965,0.09707417267949925,-1143.1396553013876,6.758860138234013e-11,True
P_01_interface_cluster,3.437689119769845,-1142.8059444743888,0.09707408164583403,-1143.1396553013874,-9.096607661573941e-08,True
P_01_interface_cluster,3.437589019768126,-1142.8059541960656,0.09716522249505788,-1143.1396553059394,9.104988314723172e-05,True
P_01_interface_cluster,3.4377890197681262,-1142.8059347812305,0.09698315828434978,-1143.1396553059387,-9.101432756086769e-05,True
