case,opening_A,energy_eV,energy_derivative_eV_A,tilted_energy_eV,tilted_derivative_eV_A,new_evaluation
P_04_interface_spread,0.0,-1164.5273842401746,0.3261087371348495,-1164.5273842401746,0.22903456452293885,False
P_04_interface_spread,0.03,-1164.485701182058,2.407811243858411,-1164.4886134072362,2.3107370712465003,False
P_04_interface_spread,0.1,-1164.1720018821188,6.3729634646205175,-1164.18170929938,6.275889292008607,False
P_04_interface_spread,0.2,-1163.3136206806046,10.5698479243747,-1163.333035515127,10.47277375176279,False
P_04_interface_spread,0.35,-1161.3807547116267,14.843581142762211,-1161.4147306720408,14.7465069701503,False
P_04_interface_spread,0.5,-1158.9790832560452,16.726011654913286,-1159.0276203423512,16.628937482301374,False
P_04_interface_spread,0.7,-1155.7313129804973,15.04398341259454,-1155.7992649013256,14.94690923998263,False
P_04_interface_spread,0.9,-1153.1219359295824,10.979572751894752,-1153.2093026849332,10.882498579282842,False
P_04_interface_spread,1.1,-1151.2798162002555,7.701563555338033,-1151.3865977901287,7.604489382726122,False
P_04_interface_spread,1.4,-1149.4018301298875,5.0996651812093425,-1149.5377339715442,5.002591008597432,False
P_04_interface_spread,1.8,-1147.868055381591,2.6655384629738323,-1148.0427888922923,2.5684642903619217,False
P_04_interface_spread,10.0,-1146.2281199388578,-8.326672684688674e-17,-1147.198861664977,-0.09707417261191073,False
P_04_interface_spread,2.3,-1147.0393746580485,1.0318797284996615,-1147.2626452550558,0.9348055558877508,False
P_04_interface_spread,3.0,-1146.3974849251267,0.6650364792445165,-1146.6887074429624,0.5679623066326058,False
P_04_interface_spread,4.0,-1146.2281199388578,-8.326672684688674e-17,-1146.6164166293054,-0.09707417261191073,False
P_04_interface_spread,6.0,-1146.2281199388578,-3.885780586188048e-16,-1146.8105649745294,-0.09707417261191104,False
P_04_interface_spread,8.0,-1146.2281199388578,0.0,-1147.0047133197531,-0.09707417261191065,False
P_04_interface_spread,-0.25,-1161.0935748996808,-34.19834622356702,-1161.0693063565277,-34.29542039617893,True
P_04_interface_spread,-0.1,-1164.1272148027972,-9.044569340874952,-1164.117507385536,-9.141643513486862,True
P_04_interface_spread,-0.03,-1164.5023266583946,-2.0498923929673833,-1164.4994144332163,-2.146966565579294,True
P_04_interface_spread,-0.002891849186701575,-1164.5280164800236,0.11068894575386246,-1164.5277357561565,0.013614773141951808,True
P_04_interface_spread,-0.0030734656060472662,-1164.5280353462094,0.09706781964377703,-1164.5277369920786,-6.352968133616077e-06,True
P_04_interface_spread,-0.0030733656060457294,-1164.5280353365022,0.09707532259969415,-1164.5277369920789,1.1499877834997285e-06,True
P_04_interface_spread,-0.0031733656060457293,-1164.5280446688316,0.08957070720915017,-1164.527736616991,-0.007503465402760479,True
P_04_interface_spread,-0.0029733656060457296,-1164.5280252538778,0.10457661614548816,-1164.5277366168716,0.007502443533577513,True
P_04_interface_spread,3.8540318078157347,-1146.2281199388578,3.0531133177191805e-16,-1146.6022468878216,-0.09707417261191034,True
P_04_interface_spread,3.4270159039078676,-1146.2368808845447,0.11385599069090105,-1146.5695556179444,0.0167818180789904,True
P_04_interface_spread,3.489955966813053,-1146.231444322199,0.06114144457475654,-1146.5702289101293,-0.03593272803715411,True
P_04_interface_spread,3.447053042864311,-1146.2347842628274,0.09563032100763627,-1146.5694040849128,-0.0014438516042743765,True
P_04_interface_spread,3.445465685267575,-1146.234937169928,0.09702720210500307,-1146.5694029005879,-4.697050690757876e-05,True
P_04_interface_spread,3.445412458911415,-1146.2349423355827,0.09707418426197709,-1146.5694028993382,1.16500664393282e-08,True
P_04_interface_spread,3.4454125589131377,-1146.234942325875,0.09707409598319164,-1146.5694028993382,-7.6628719009042e-08,True
P_04_interface_spread,3.4453124589114146,-1146.2349520474158,0.0971624778607551,-1146.5694029037543,8.830524884445579e-05,True
P_04_interface_spread,3.445512458911415,-1146.2349326325775,0.09698592330063247,-1146.5694029037504,-8.824931127818236e-05,True
