case,opening_A,energy_eV,energy_derivative_eV_A,tilted_energy_eV,tilted_derivative_eV_A,new_evaluation
Si_00_pure,0.0,-1162.8489074129375,7.232437392898965e-08,-1162.8489074129375,-0.09707410028753671,False
Si_00_pure,0.03,-1162.814968199699,2.2186052354362626,-1162.8178804248773,2.121531062824352,False
Si_00_pure,0.1,-1162.5028037621207,6.5232429017525835,-1162.5125111793818,6.426168729140673,False
Si_00_pure,0.2,-1161.6031778631793,11.2526253290246,-1161.6225926977017,11.155551156412688,False
Si_00_pure,0.35,-1159.5068145689768,16.31280389649672,-1159.540790529391,16.21572972388481,False
Si_00_pure,0.5,-1156.8468192248736,18.620725266634462,-1156.8953563111795,18.52365109402255,False
Si_00_pure,0.7,-1153.2129067817255,16.950210352278983,-1153.2808587025538,16.85313617966707,False
Si_00_pure,0.9,-1150.2332737183872,12.786665201234896,-1150.320640473738,12.689591028622985,False
Si_00_pure,1.1,-1148.032926108659,9.481084623101141,-1148.1397076985322,9.384010450489232,False
Si_00_pure,1.4,-1145.650418925131,6.60290181448335,-1145.7863227667876,6.50582764187144,False
Si_00_pure,1.8,-1143.6600890888328,3.4589196034878253,-1143.8348225995342,3.3618454308759147,False
Si_00_pure,10.0,-1141.630267118753,-4.996003610813204e-16,-1142.601008844872,-0.09707417261191115,False
Si_00_pure,2.3,-1142.5740259216009,1.3688155375965563,-1142.7972965186082,1.2717413649846456,False
Si_00_pure,3.0,-1141.8001084984185,0.7037079004440596,-1142.0913310162541,0.606633727832149,False
Si_00_pure,4.0,-1141.630267118753,-4.440892098500626e-16,-1142.0185638092005,-0.09707417261191109,False
Si_00_pure,6.0,-1141.630267118753,5.551115123125783e-17,-1142.2127121544245,-0.09707417261191059,False
Si_00_pure,8.0,-1141.630267118753,-3.885780586188048e-16,-1142.4068604996482,-0.09707417261191104,False
Si_00_pure,-0.25,-1159.2462904386919,-34.851643398922064,-1159.2220218955388,-34.948717571533976,True
Si_00_pure,-0.1,-1162.3957749482772,-9.750417572501913,-1162.3860675310161,-9.847491745113825,True
Si_00_pure,-0.03,-1162.8120986499782,-2.505707554199143,-1162.8091864248,-2.602781726811054,True
Si_00_pure,0.0013126369022513774,-1162.848839922331,0.10274086638760145,-1162.8489673454724,0.005666693775690804,True
Si_00_pure,0.001240238090936445,-1162.8488471560408,0.09708841017879324,-1162.8489675511273,1.4237566882596697e-05,True
Si_00_pure,0.0012400557575011069,-1162.8488471737423,0.0970741726061628,-1162.848967551129,-5.7478466430893604e-12,True
Si_00_pure,0.0011400557575011068,-1162.8488564906804,0.08926405075436723,-1162.8489671606499,-0.0078101218575434145,True
Si_00_pure,0.001340055757501107,-1162.84883707595,0.10488112992885101,-1162.848967160754,0.007806957316940366,True
Si_00_pure,3.862053314236412,-1141.630267118753,0.0,-1142.0051727488155,-0.09707417261191065,True
Si_00_pure,3.431026657118206,-1141.6371684052283,0.09970875795739725,-1141.9702324791774,0.0026345853454866064,True
Si_00_pure,3.4424155916272783,-1141.6360917950637,0.08943170804349765,-1141.9702614404073,-0.007642464568412999,True
Si_00_pure,3.433946280960621,-1141.6368812114963,0.09702968772361009,-1141.9702287055143,-4.4484888300555525e-05,True
Si_00_pure,3.433897801775988,-1141.636885916488,0.09707392410100107,-1141.9702287044292,-2.4851090957289657e-07,True
Si_00_pure,3.433897529455543,-1141.6368859429233,0.09707417261224788,-1141.9702287044292,3.372302437298913e-13,True
Si_00_pure,3.43389762945726,-1141.636885933216,0.0970740813537293,-1141.9702287044297,-9.125818134503305e-08,True
Si_00_pure,3.4337975294555427,-1141.6368956549043,0.09716544747247408,-1141.970228708993,9.127486056342837e-05,True
Si_00_pure,3.433997529455543,-1141.636876240069,0.09698293354996584,-1141.9702287089922,-9.123906194480336e-05,True
