sample_id,species,carrier_average_cm3,temperature_C,c11_GPa,c12_GPa,c44_GPa,E100_GPa,E110_GPa,E111_GPa,H_GPa_inv,J_at_100MPa_halfcrack10um_J_m2,J_contour_4096,J_contour_8192,constant_Wsep_K_ratio_to_B06,H_c0_corner_min,H_c0_corner_max
B3,B,2.96e+19,-40.0,164.816419115,63.921768587500004,78.55337215,129.09004967582095,167.40840081117088,185.79149533608626,0.005738716365364726,1.8028709174465343,1.8028709174465345,1.8028709174465345,0.9938199696106116,,
B3,B,2.96e+19,25.0,164.2,63.5,78.5,128.78278436539304,167.09880870888895,185.49526643224237,0.0057512388419234586,1.8068049694827009,1.806804969482699,1.806804969482699,0.9945422249077296,0.005738386528155635,0.005764163051369443
B3,B,2.96e+19,85.0,163.54109823999997,63.105436399999995,78.3706634,128.40007029920366,166.67179177501959,185.05833709252855,0.0057674271683179935,1.8118906822101992,1.8118906822101988,1.8118906822101988,0.9950820572272521,,
B0.6,B,6e+18,-40.0,166.2106942375,64.06920838500001,79.84025469,130.55961556035035,169.62325077990263,188.41455806853972,0.0056680046598031105,1.7806561799750167,1.7806561799750167,1.7806561799750167,1.0,,
B0.6,B,6e+18,25.0,165.5,63.7,79.6,130.09258289703314,169.03468840459203,187.77052348993294,0.005688632219649437,1.7871365190224873,1.787136519022488,1.7871365190224884,1.0,0.005676086103002838,0.0057012475964013315
B0.6,B,6e+18,85.0,164.7707408,63.348681760000005,79.32986944,129.58692842931734,168.39746098486705,187.07324444493136,0.005710838906721152,1.7941129555189939,1.7941129555189936,1.7941129555189936,1.0,,
As1.7,As,1.66e+19,-40.0,164.44009809999997,64.7861803375,79.80968827500001,127.81908596008968,168.38857120445002,188.31181781742202,0.005702033211982741,1.791346564928999,1.7913465649289997,1.7913465649289997,0.9970116384975899,,
As1.7,As,1.66e+19,25.0,164.0,64.3,79.5,127.78020148926852,167.91067585525832,187.5439398011288,0.0057202222540765416,1.797060821030771,1.797060821030774,1.797060821030774,0.9972349178049118,0.005707482351361961,0.0057330333171194
As1.7,As,1.66e+19,85.0,163.4572256,63.863274399999995,79.1795514,127.5738115032538,167.34735126961624,186.75553727261737,0.005740903021682554,1.8035578757889354,1.803557875788937,1.803557875788937,0.9973781495360281,,
As2.5,As,2.46e+19,-40.0,164.19377929499998,65.43494798500001,79.717530525,126.901124595236,167.97165218931443,188.28383475239843,0.005710989541983234,1.7941602789822664,1.7941602789822664,1.7941602789822668,0.9962295438267577,,
As2.5,As,2.46e+19,25.0,163.8,64.9,79.4,126.96563183209445,167.5280389939922,187.4946916890081,0.005728518008724841,1.7996670092166793,1.799667009216681,1.7996670092166807,0.9965125832121771,0.00571570106753255,0.005741406929245197
As2.5,As,2.46e+19,85.0,163.30014792,64.42275136,79.0741424,126.84978736412693,166.99614150156165,186.69128543282278,0.005748550452598433,1.8059603870673517,1.8059603870673506,1.8059603870673506,0.9967145110268218,,
P4.1,P,4.1e+19,-40.0,163.28632987499998,65.97443763,79.53196878,125.31536373052144,167.08048549448264,187.96179669844275,0.005735435367524071,1.8018401615752695,1.8018401615752717,1.8018401615752717,0.9941041899678165,,
P4.1,P,4.1e+19,25.0,163.0,65.4,79.2,125.54676007005254,166.70071288477573,187.14981233243972,0.00575146866097221,1.8068771692662218,1.8068771692662222,1.8068771692662222,0.9945223545889592,0.0057385041878629545,0.005764506572400524
P4.1,P,4.1e+19,85.0,162.59510799999998,64.88054088,78.86327328000002,125.58468859372785,166.22745956386342,186.32777952424917,0.0057701408829391385,1.812743220801972,1.8127432208019714,1.8127432208019714,0.9948480346656463,,
P4.7,P,4.66e+19,-40.0,162.767759375,66.26784838500001,79.43885055749999,124.42064145280337,166.58408498596847,187.79758812051486,0.005749091928556169,1.8061304967564435,1.806130496756444,1.806130496756444,0.9929227758823825,,
P4.7,P,4.66e+19,25.0,162.5,65.7,79.1,124.66923751095528,166.20981228287667,186.9771313672923,0.005765058656007777,1.8111465921228278,1.8111465921228278,1.811146592122828,0.9933494672744254,0.005752005751143472,0.005778185884415539
P4.7,P,4.66e+19,85.0,162.118775,65.18470176,78.76170512,124.73223429146056,165.75061191597464,186.15656475208718,0.005783394413722016,1.816906940296133,1.8169069402961364,1.8169069402961364,0.9937074578020878,,
P7.5,P,7.47e+19,-40.0,161.66888433,66.67624657999998,78.8565882125,122.73026680590488,165.1610662178197,186.67357864939214,0.005791958322915081,1.8195973717168277,1.819597371716826,1.8195973717168261,0.9892416319487862,,
P7.5,P,7.47e+19,25.0,161.4,66.1,78.5,122.98936263736267,164.77428531347033,185.81779091642036,0.005808722777671163,1.824864080507142,1.8248640805071412,1.8248640805071412,0.9896089246925402,0.005795417173922773,0.005822105108290603
P7.5,P,7.47e+19,85.0,161.05738008,65.56213107999999,78.1525904,123.12249080458975,164.33851967202392,184.97954168805893,0.005826807118813729,1.830545443834992,1.8305454438349913,1.8305454438349913,0.989998721475439,,
