sites,total_electrons,kT,ensemble,step,Hessian_max_abs_FD_error,gradient_max_abs_FD_error
2,1,0.01,exact_total_N,0.001,0.0005049775364458498,1.4537977129636115e-05
2,1,0.01,exact_total_N,0.0001,5.049912009447155e-06,1.454048316751333e-07
2,1,0.01,exact_total_N,1e-05,5.05022343944006e-08,1.4540168513654805e-09
2,1,0.01,fixed_mean_N,0.001,0.00010748023378015503,2.34413260702393e-06
2,1,0.01,fixed_mean_N,0.0001,1.0748457515141752e-06,2.344252597596963e-08
2,1,0.01,fixed_mean_N,1e-05,1.0743611777996875e-08,2.343544802663189e-10
2,1,0.01,fixed_mu_reservoir,0.001,0.0008720065954195277,8.72202418905621e-06
2,1,0.01,fixed_mu_reservoir,0.0001,8.721611282958008e-06,8.723810068778093e-08
2,1,0.01,fixed_mu_reservoir,1e-05,8.722002498018355e-08,8.723857747305885e-10
2,1,0.025,exact_total_N,0.001,5.825739134612817e-05,1.3164147837363416e-06
2,1,0.025,exact_total_N,0.0001,5.825913822476991e-07,1.3164569712120766e-08
2,1,0.025,exact_total_N,1e-05,5.8260800628318066e-09,1.3165840639928206e-10
2,1,0.025,fixed_mean_N,0.001,7.824190259908548e-06,2.694422411853026e-07
2,1,0.025,fixed_mean_N,0.0001,7.82514251174149e-08,2.694447165385583e-09
2,1,0.025,fixed_mean_N,1e-05,7.822829051207236e-10,2.7136348723644232e-11
2,1,0.025,fixed_mu_reservoir,0.001,6.357690469993571e-05,8.08149785036516e-07
2,1,0.025,fixed_mu_reservoir,0.0001,6.357904904774614e-07,8.081804392379155e-09
2,1,0.025,fixed_mu_reservoir,1e-05,6.358150894669734e-09,8.056583178372989e-11
2,1,0.1,exact_total_N,0.001,9.83914757612947e-07,8.463672127034805e-08
2,1,0.1,exact_total_N,0.0001,9.839409453871184e-09,8.463230394273324e-10
2,1,0.1,exact_total_N,1e-05,9.720246829658663e-11,8.486322755629772e-12
2,1,0.1,fixed_mean_N,0.001,1.1736699861986111e-07,3.6010337461922504e-08
2,1,0.1,fixed_mean_N,0.0001,1.1786618903109058e-09,3.6016020721341135e-10
2,1,0.1,fixed_mean_N,1e-05,7.401954049690573e-11,3.5474956305847627e-12
2,1,0.1,fixed_mu_reservoir,0.001,1.0009062275662117e-06,7.62599605408365e-08
2,1,0.1,fixed_mu_reservoir,0.0001,1.0009043815983887e-08,7.624772757619525e-10
2,1,0.1,fixed_mu_reservoir,1e-05,1.0002582095935963e-10,7.664424650499768e-12
4,2,0.01,exact_total_N,0.001,0.0007920202292230893,2.5583339746781952e-05
