       Step     Time          Energy          fmax
LBFGS:    0 21:53:59     -342.038701       30.236198
LBFGS:    1 21:54:01     -354.005769       12.308282
LBFGS:    2 21:54:03     -357.073219        4.421790
LBFGS:    3 21:54:05     -357.830047        1.897265
LBFGS:    4 21:54:07     -358.138065        0.507019
LBFGS:    5 21:54:09     -358.212199        0.360649
LBFGS:    6 21:54:10     -358.239337        0.460776
LBFGS:    7 21:54:12     -358.268997        0.546322
LBFGS:    8 21:54:14     -358.305449        0.522316
LBFGS:    9 21:54:16     -358.336790        0.358647
LBFGS:   10 21:54:18     -358.355320        0.283314
LBFGS:   11 21:54:21     -358.368674        0.405819
LBFGS:   12 21:54:22     -358.385399        0.426586
LBFGS:   13 21:54:25     -358.398733        0.280758
LBFGS:   14 21:54:26     -358.406662        0.154164
LBFGS:   15 21:54:28     -358.411543        0.166469
LBFGS:   16 21:54:30     -358.415895        0.194356
LBFGS:   17 21:54:32     -358.419500        0.150527
LBFGS:   18 21:54:34     -358.421505        0.073420
LBFGS:   19 21:54:36     -358.422581        0.077492
LBFGS:   20 21:54:37     -358.423660        0.100495
LBFGS:   21 21:54:39     -358.424885        0.088840
LBFGS:   22 21:54:41     -358.425883        0.048722
LBFGS:   23 21:54:43     -358.426599        0.040718
LBFGS:   24 21:54:45     -358.427237        0.054298
LBFGS:   25 21:54:47     -358.427876        0.061604
LBFGS:   26 21:54:48     -358.428378        0.044605
LBFGS:   27 21:54:50     -358.428689        0.027982
LBFGS:   28 21:54:52     -358.428920        0.032403
LBFGS:   29 21:54:54     -358.429168        0.041614
LBFGS:   30 21:54:56     -358.429405        0.037613
LBFGS:   31 21:54:57     -358.429577        0.020822
LBFGS:   32 21:54:59     -358.429698        0.020019
LBFGS:   33 21:55:01     -358.429807        0.025384
LBFGS:   34 21:55:03     -358.429908        0.025423
LBFGS:   35 21:55:04     -358.429984        0.015700
LBFGS:   36 21:55:06     -358.430042        0.014580
LBFGS:   37 21:55:08     -358.430100        0.022016
LBFGS:   38 21:55:10     -358.430170        0.026384
LBFGS:   39 21:55:12     -358.430242        0.022277
LBFGS:   40 21:55:14     -358.430300        0.012723
LBFGS:   41 21:55:15     -358.430344        0.011660
LBFGS:   42 21:55:17     -358.430377        0.016158
LBFGS:   43 21:55:19     -358.430401        0.013040
LBFGS:   44 21:55:21     -358.430418        0.006034
LBFGS:   45 21:55:23     -358.430431        0.009082
LBFGS:   46 21:55:25     -358.430444        0.010535
LBFGS:   47 21:55:26     -358.430456        0.008311
LBFGS:   48 21:55:28     -358.430463        0.004293
LBFGS:   49 21:55:30     -358.430468        0.003354
LBFGS:   50 21:55:32     -358.430472        0.005456
LBFGS:   51 21:55:34     -358.430477        0.006373
LBFGS:   52 21:55:35     -358.430481        0.005122
LBFGS:   53 21:55:37     -358.430484        0.002557
LBFGS:   54 21:55:39     -358.430486        0.002489
LBFGS:   55 21:55:41     -358.430488        0.002476
LBFGS:   56 21:55:43     -358.430489        0.002231
LBFGS:   57 21:55:45     -358.430490        0.001679
LBFGS:   58 21:55:46     -358.430490        0.001632
LBFGS:   59 21:55:48     -358.430491        0.002017
LBFGS:   60 21:55:50     -358.430492        0.002034
LBFGS:   61 21:55:52     -358.430492        0.001129
LBFGS:   62 21:55:54     -358.430492        0.001183
LBFGS:   63 21:55:56     -358.430493        0.001237
LBFGS:   64 21:55:58     -358.430493        0.001272
LBFGS:   65 21:55:59     -358.430493        0.000954
LBFGS:   66 21:56:01     -358.430493        0.000924
LBFGS:   67 21:56:03     -358.430494        0.001132
LBFGS:   68 21:56:05     -358.430494        0.001354
LBFGS:   69 21:56:07     -358.430494        0.001114
LBFGS:   70 21:56:08     -358.430494        0.001038
LBFGS:   71 21:56:10     -358.430494        0.001121
LBFGS:   72 21:56:12     -358.430494        0.000838
LBFGS:   73 21:56:14     -358.430495        0.000640
LBFGS:   74 21:56:16     -358.430495        0.000502
LBFGS:   75 21:56:18     -358.430495        0.000487
LBFGS:   76 21:56:20     -358.430495        0.000608
LBFGS:   77 21:56:22     -358.430495        0.000514
LBFGS:   78 21:56:24     -358.430495        0.000391
LBFGS:   79 21:56:26     -358.430495        0.000293
LBFGS:   80 21:56:29     -358.430495        0.000299
LBFGS:   81 21:56:31     -358.430495        0.000234
LBFGS:   82 21:56:33     -358.430495        0.000188
LBFGS:   83 21:56:35     -358.430495        0.000129
LBFGS:   84 21:56:37     -358.430495        0.000194
LBFGS:   85 21:56:38     -358.430495        0.000152
LBFGS:   86 21:56:40     -358.430495        0.000132
LBFGS:   87 21:56:42     -358.430495        0.000087
