       Step     Time          Energy          fmax
LBFGS:    0 21:56:44     -344.043497        1.944652
LBFGS:    1 21:56:46     -344.355109        1.706765
LBFGS:    2 21:56:47     -345.159875        0.833551
LBFGS:    3 21:56:50     -345.495241        0.507138
LBFGS:    4 21:56:52     -345.545613        0.530820
LBFGS:    5 21:56:54     -345.654500        0.486562
LBFGS:    6 21:56:56     -345.718780        0.318498
LBFGS:    7 21:56:58     -345.741470        0.169347
LBFGS:    8 21:57:00     -345.750650        0.099589
LBFGS:    9 21:57:02     -345.757711        0.072751
LBFGS:   10 21:57:04     -345.761633        0.058206
LBFGS:   11 21:57:05     -345.763427        0.036822
LBFGS:   12 21:57:07     -345.764240        0.029680
LBFGS:   13 21:57:09     -345.764900        0.029225
LBFGS:   14 21:57:11     -345.765378        0.019843
LBFGS:   15 21:57:13     -345.765618        0.014145
LBFGS:   16 21:57:14     -345.765746        0.012153
LBFGS:   17 21:57:16     -345.765855        0.008902
LBFGS:   18 21:57:18     -345.765945        0.010984
LBFGS:   19 21:57:19     -345.766010        0.013038
LBFGS:   20 21:57:21     -345.766064        0.011038
LBFGS:   21 21:57:23     -345.766114        0.007584
LBFGS:   22 21:57:24     -345.766150        0.007262
LBFGS:   23 21:57:26     -345.766167        0.005698
LBFGS:   24 21:57:28     -345.766175        0.004144
LBFGS:   25 21:57:30     -345.766181        0.002601
LBFGS:   26 21:57:31     -345.766185        0.001769
LBFGS:   27 21:57:33     -345.766187        0.001154
LBFGS:   28 21:57:35     -345.766188        0.000811
LBFGS:   29 21:57:37     -345.766189        0.000565
LBFGS:   30 21:57:38     -345.766189        0.000499
LBFGS:   31 21:57:40     -345.766189        0.000452
LBFGS:   32 21:57:42     -345.766189        0.000401
LBFGS:   33 21:57:44     -345.766189        0.000338
LBFGS:   34 21:57:45     -345.766189        0.000224
LBFGS:   35 21:57:47     -345.766189        0.000133
LBFGS:   36 21:57:49     -345.766189        0.000089
