       Step     Time          Energy          fmax
LBFGS:    0 21:57:50     -344.464516        1.615185
LBFGS:    1 21:57:52     -344.605985        1.413643
LBFGS:    2 21:57:54     -345.024292        0.593981
LBFGS:    3 21:57:56     -345.156337        0.296411
LBFGS:    4 21:57:58     -345.173313        0.258014
LBFGS:    5 21:57:59     -345.221692        0.116696
LBFGS:    6 21:58:01     -345.228411        0.099220
LBFGS:    7 21:58:03     -345.232400        0.071776
LBFGS:    8 21:58:05     -345.235611        0.047029
LBFGS:    9 21:58:07     -345.237171        0.034078
LBFGS:   10 21:58:09     -345.237687        0.029628
LBFGS:   11 21:58:11     -345.237996        0.020111
LBFGS:   12 21:58:13     -345.238245        0.014627
LBFGS:   13 21:58:14     -345.238363        0.015644
LBFGS:   14 21:58:16     -345.238404        0.013006
LBFGS:   15 21:58:18     -345.238427        0.008526
LBFGS:   16 21:58:20     -345.238442        0.003891
LBFGS:   17 21:58:22     -345.238447        0.001595
LBFGS:   18 21:58:24     -345.238448        0.000578
LBFGS:   19 21:58:25     -345.238448        0.000447
LBFGS:   20 21:58:27     -345.238448        0.000274
LBFGS:   21 21:58:29     -345.238449        0.000151
LBFGS:   22 21:58:31     -345.238449        0.000057
