                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 22:34:57     -359.147143       0.0085
BFGSLineSearch:    1[  2] 22:35:00     -359.147148       0.0083
BFGSLineSearch:    2[  3] 22:35:02     -359.147155       0.0061
BFGSLineSearch:    3[  5] 22:35:06     -359.147179       0.0125
BFGSLineSearch:    4[  7] 22:35:10     -359.147275       0.0398
BFGSLineSearch:    5[ 14] 22:35:23     -359.159225       0.5422
BFGSLineSearch:    6[ 16] 22:35:26     -359.159268       0.5650
BFGSLineSearch:    7[ 19] 22:35:32     -359.180746       0.5973
BFGSLineSearch:    8[ 21] 22:35:36     -359.204829       0.6570
BFGSLineSearch:    9[ 22] 22:35:37     -359.248570       0.4494
BFGSLineSearch:   10[ 24] 22:35:41     -359.310487       0.6298
BFGSLineSearch:   11[ 26] 22:35:45     -359.332982       0.2535
BFGSLineSearch:   12[ 28] 22:35:49     -359.343356       0.3301
BFGSLineSearch:   13[ 29] 22:35:50     -359.361742       0.1887
BFGSLineSearch:   14[ 30] 22:35:52     -359.372027       0.1627
BFGSLineSearch:   15[ 31] 22:35:54     -359.379937       0.0966
BFGSLineSearch:   16[ 32] 22:35:56     -359.385586       0.0923
BFGSLineSearch:   17[ 33] 22:35:58     -359.389814       0.0818
BFGSLineSearch:   18[ 35] 22:36:01     -359.396398       0.1776
BFGSLineSearch:   19[ 40] 22:36:09     -359.442792       0.6246
BFGSLineSearch:   20[ 41] 22:36:11     -359.447615       0.8137
BFGSLineSearch:   21[ 43] 22:36:14     -359.554899       0.8251
BFGSLineSearch:   22[ 44] 22:36:16     -359.726153       0.6031
BFGSLineSearch:   23[ 45] 22:36:17     -359.819262       0.6404
BFGSLineSearch:   24[ 46] 22:36:19     -359.869461       0.5415
BFGSLineSearch:   25[ 47] 22:36:21     -359.926525       0.2222
BFGSLineSearch:   26[ 48] 22:36:23     -359.964778       0.3121
BFGSLineSearch:   27[ 49] 22:36:24     -359.990288       0.2996
BFGSLineSearch:   28[ 50] 22:36:26     -360.001891       0.1400
BFGSLineSearch:   29[ 51] 22:36:28     -360.008472       0.0775
BFGSLineSearch:   30[ 52] 22:36:29     -360.012124       0.0542
BFGSLineSearch:   31[ 53] 22:36:31     -360.013985       0.0466
BFGSLineSearch:   32[ 54] 22:36:33     -360.014927       0.0265
BFGSLineSearch:   33[ 55] 22:36:34     -360.015421       0.0235
BFGSLineSearch:   34[ 56] 22:36:36     -360.015800       0.0173
BFGSLineSearch:   35[ 57] 22:36:38     -360.016167       0.0163
BFGSLineSearch:   36[ 58] 22:36:39     -360.016431       0.0154
BFGSLineSearch:   37[ 59] 22:36:41     -360.016630       0.0100
BFGSLineSearch:   38[ 60] 22:36:43     -360.016756       0.0076
BFGSLineSearch:   39[ 61] 22:36:44     -360.016836       0.0080
BFGSLineSearch:   40[ 62] 22:36:46     -360.016874       0.0038
BFGSLineSearch:   41[ 63] 22:36:48     -360.016889       0.0031
BFGSLineSearch:   42[ 64] 22:36:49     -360.016897       0.0016
BFGSLineSearch:   43[ 65] 22:36:51     -360.016900       0.0009
BFGSLineSearch:   44[ 66] 22:36:53     -360.016901       0.0007
BFGSLineSearch:   45[ 67] 22:36:55     -360.016902       0.0005
BFGSLineSearch:   46[ 68] 22:36:56     -360.016902       0.0003
BFGSLineSearch:   47[ 69] 22:36:58     -360.016902       0.0002
BFGSLineSearch:   48[ 70] 22:37:00     -360.016902       0.0001
BFGSLineSearch:   49[ 71] 22:37:02     -360.016902       0.0001
BFGSLineSearch:   50[ 72] 22:37:03     -360.016902       0.0001
BFGSLineSearch:   51[ 74] 22:37:07     -360.016902       0.0000
BFGSLineSearch:   52[ 76] 22:37:10     -360.016902       0.0000
BFGSLineSearch:   53[ 78] 22:37:13     -360.016902       0.0000
BFGSLineSearch:   54[ 80] 22:37:17     -360.016902       0.0000
BFGSLineSearch:   55[ 82] 22:37:20     -360.016902       0.0000
