strain_step,treatment,method,C11_GPa,C12_GPa,C44_GPa,bulk_modulus_GPa,E100_GPa,cubic_elastic_positive
0.003,affine,energy,127.32834981136473,57.905502210520446,80.45707259950254,81.04645141080188,91.12495448536967,True
0.003,affine,stress,127.32880277754772,57.910534955686096,80.45514102778985,81.0499575629733,91.12018640165292,True
0.003,relaxed,energy,127.32834981136473,57.905502210520446,60.22680123912417,81.04645141080188,91.12495448536967,True
0.003,relaxed,stress,127.32880277754772,57.910534955686096,60.22381316651977,81.0499575629733,91.12018640165292,True
0.001,affine,energy,127.32795125783757,57.901032744049324,80.45878968148637,81.04333891531208,91.12919315426433,True
0.001,affine,stress,127.32800056295116,57.901590915602505,80.45857503425445,81.04372746471873,91.12866325624492,True
0.001,relaxed,energy,127.32795125783757,57.901032744049324,60.22945742744033,81.04333891531208,91.12919315426433,True
0.001,relaxed,stress,127.32800056295116,57.901590915602505,60.22912948795865,81.04372746471873,91.12866325624492,True
0.0003,affine,energy,127.32790645099527,57.900524869372724,80.45898498761059,81.04298539658024,91.12967536679986,True
0.0003,affine,stress,127.32791086169534,57.90057508351739,80.45896570523713,81.04302034291004,91.12962766681315,True
0.0003,relaxed,energy,127.32790645099527,57.900524869372724,60.22975957932967,81.04298539658024,91.12967536679986,True
0.0003,relaxed,stress,127.32791086169534,57.90057508351739,60.229730083654665,81.04302034291004,91.12962766681315,True
