mode,strain_step,treatment,energy_tangent_GPa,stress_tangent_GPa,difference_GPa
hydro,0.003,affine,729.4180626972169,729.4496180667597,-0.03155536954284344
hydro,0.003,relaxed,729.4180626972169,729.4496180667597,-0.03155536954284344
hydro,0.001,affine,729.3900502378086,729.3935471824685,-0.0034969446599006915
hydro,0.001,relaxed,729.3900502378086,729.3935471824685,-0.0034969446599006915
hydro,0.0003,affine,729.3868685692221,729.3871830861904,-0.0003145169682738924
hydro,0.0003,relaxed,729.3868685692221,729.3871830861904,-0.0003145169682738924
tetragonal,0.003,affine,138.84569520168856,138.83653564372327,0.009159557965290333
tetragonal,0.003,relaxed,138.84569520168856,138.83653564372327,0.009159557965290333
tetragonal,0.001,affine,138.85383702757647,138.8528192946973,0.0010177328791769469
tetragonal,0.001,relaxed,138.85383702757647,138.8528192946973,0.0010177328791769469
tetragonal,0.0003,affine,138.8547631632451,138.85467155635595,9.160688915699211e-05
tetragonal,0.0003,relaxed,138.8547631632451,138.85467155635595,9.160688915699211e-05
engineering_xy_shear,0.003,affine,80.45707259950254,80.45514102778985,0.0019315717126886511
engineering_xy_shear,0.003,relaxed,60.22680123912417,60.22381316651977,0.002988072604402703
engineering_xy_shear,0.001,affine,80.45878968148637,80.45857503425445,0.00021464723191400026
engineering_xy_shear,0.001,relaxed,60.22945742744033,60.22912948795865,0.00032793948167864073
engineering_xy_shear,0.0003,affine,80.45898498761059,80.45896570523713,1.9282373457940594e-05
engineering_xy_shear,0.0003,relaxed,60.22975957932967,60.229730083654665,2.9495675001101063e-05
