sectors,charge_rate_model,laplace_real,laplace_imaginary,exact_memory_vs_full_max_abs,dropped_memory_max_abs,memory_matrix_norm
2,0.0,0.4,0.0,7.771561172376096e-16,0.0733926944064085,5.03803262756709
2,0.0,0.4,0.1,6.087272963323594e-16,0.07210308871937286,5.037916069385571
2,0.0,0.4,1.0,2.5589376332604516e-16,0.04199523379917887,5.026438518373203
2,0.0,0.4,10.0,2.8609792490763984e-17,0.00611590789985535,4.190327864733949
2,0.0,0.4,100.0,3.476216610979977e-18,3.064966086153549e-05,0.7957434451312557
2,3.0,0.4,0.0,7.216449660063518e-16,0.036358860524024816,4.189176501610562
2,3.0,0.4,0.1,1.067146839060198e-15,0.03624207094611472,4.1891122420563685
2,3.0,0.4,1.0,1.7554167342883506e-16,0.02907128379041986,4.182766847355698
2,3.0,0.4,10.0,2.8609792490763984e-17,0.0055126920334698905,3.674602993998086
2,3.0,0.4,100.0,3.529906531158615e-18,3.0509019130904047e-05,0.7913450986888414
2,30.0,0.4,0.0,1.8318679906315083e-15,0.009394629474184624,1.7153562291950404
2,30.0,0.4,0.1,2.2041230194153873e-15,0.009375796786259353,1.7153522572485749
2,30.0,0.4,1.0,2.2591401799415137e-16,0.008126861711146585,1.7149591757338662
2,30.0,0.4,10.0,4.0460356557118353e-17,0.002559265188179472,1.6770072100702944
2,30.0,0.4,100.0,5.244670419506027e-18,2.8334294608145913e-05,0.7295608642721322
2,300.0,0.4,0.0,1.1102230246251565e-14,0.0011743768960585932,0.2544216819521899
2,300.0,0.4,0.1,3.8609442319919156e-15,0.0011713605612919324,0.25442166933899063
2,300.0,0.4,1.0,1.9714275608739575e-15,0.001018439419496543,0.25442042064155024
2,300.0,0.4,10.0,1.193812447098184e-16,0.00037110207045507873,0.2542956437534894
2,300.0,0.4,100.0,5.339076512604072e-18,9.460572511054702e-06,0.24267579319968774
2,3000.0,0.4,0.0,7.588374373312945e-14,0.00012124334420393623,0.026783345956719187
2,3000.0,0.4,0.1,5.3325879548145795e-14,0.00012093790846675207,0.02678334594201427
2,3000.0,0.4,1.0,1.807670160898658e-14,0.0001046206790498733,0.02678334448622675
2,3000.0,0.4,10.0,1.1664773918553167e-15,3.876233705716808e-05,0.026783198908674373
2,3000.0,0.4,100.0,2.411344605472732e-17,1.036045338771701e-06,0.02676865313041127
3,0.0,0.4,0.0,4.996003610813204e-16,0.06458730799280626,3.234233116078078
3,0.0,0.4,0.1,6.407872222066844e-16,0.06286712562768373,3.234128110908478
3,0.0,0.4,1.0,2.5589376332604516e-16,0.02885391689470356,3.223801628843463
3,0.0,0.4,10.0,4.3885418357208765e-17,0.004047297779026578,2.5729952562721445
3,0.0,0.4,100.0,3.476216610979977e-18,1.95231944785685e-05,0.48584435152499605
3,3.0,0.4,0.0,5.551115123125783e-16,0.026641416912964733,2.6532785480932084
3,3.0,0.4,0.1,1.067146839060198e-15,0.026422088393210204,2.653226790148867
3,3.0,0.4,1.0,2.1677797545656835e-16,0.01735721171617733,2.648121841854027
3,3.0,0.4,10.0,3.925231146709438e-17,0.0036447650556185192,2.2696218201165093
3,3.0,0.4,100.0,3.484660190605998e-18,1.9432251382951445e-05,0.48323288218187266
3,30.0,0.4,0.0,2.4424906541753444e-15,0.006121568142088418,1.0591801604098516
3,30.0,0.4,0.1,3.2589171020944078e-15,0.006091217563679175,1.0591775853808831
3,30.0,0.4,1.0,5.669547669066992e-16,0.00479771157677845,1.0589227570750375
3,30.0,0.4,10.0,3.1031676915590914e-17,0.0016396087189953833,1.0343920117936065
3,30.0,0.4,100.0,3.496446946337351e-18,1.804166035418811e-05,0.446138996278547
3,300.0,0.4,0.0,4.551914400963142e-15,0.0007542145685169865,0.15585111003240104
3,300.0,0.4,0.1,9.462982547496794e-15,0.0007509589343485301,0.1558511022841739
3,300.0,0.4,1.0,2.805510737231593e-15,0.0006120827407064357,0.15585033521542216
3,300.0,0.4,10.0,1.734723475976807e-16,0.000233273444215992,0.15577368559086646
3,300.0,0.4,100.0,5.232328681443003e-18,6.024752590738038e-06,0.1486374464794134
3,3000.0,0.4,0.0,7.732703366514215e-14,7.743500835138972e-05,0.016390729069112164
3,3000.0,0.4,0.1,1.7168523098526037e-13,7.710661203429907e-05,0.016390729060111044
3,3000.0,0.4,1.0,3.6072948984150803e-14,6.309614300151356e-05,0.016390728169000647
3,3000.0,0.4,10.0,1.3851394913865405e-15,2.4280167486382725e-05,0.01639063905869421
3,3000.0,0.4,100.0,5.343962009278976e-17,6.60233268170615e-07,0.016381735361101657
