frame,atoms,n_Si,n_O,composition,group,dft_energy_eV,mace_energy_eV,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A,source_force_component_RMS_eV_A,source_total_force_norm_eV_A,mace_total_force_norm_eV_A,same_composition_reference_frame,relative_energy_error_eV_atom,Z8_force_component_RMSE_eV_A,Z14_force_component_RMSE_eV_A
0,56,40,16,Si40O16,mixed_other_stoichiometry,-34510.90064964515,-337.37747390278815,0.3056764892766566,0.2234269588002887,1.2870271965670073,1.0308457028270612,4.123105628132714e-06,4.389353640875453e-15,0,0.0,0.23323637005428732,0.3302327676180281
1,56,40,16,Si40O16,mixed_other_stoichiometry,-34508.79791618516,-335.97831764191307,0.4120257459013112,0.29850703450427774,1.640231751767767,1.2900021206957282,4.242640686508575e-06,4.524754764715329e-15,0,-0.012563878555547652,0.36412276845784686,0.4296942461750935
2,56,40,16,Si40O16,mixed_other_stoichiometry,-34511.29052662886,-337.9585978657951,0.27348893469698177,0.21020735464900114,0.8564190648948657,0.9695011503038345,3.3166247903419795e-06,2.054662609310059e-15,0,-0.0034151246302930155,0.22952045916744632,0.2892106842628602
3,56,40,16,Si40O16,mixed_other_stoichiometry,-34508.636595387914,-335.810169074872,0.34392079235964057,0.25906736446501555,1.4281473342559436,1.3508595398673773,1.414213561550211e-06,9.836601059614785e-16,0,-0.01244195409495319,0.2704166311053355,0.3692479576556282
4,56,40,16,Si40O16,mixed_other_stoichiometry,-34512.64774389549,-339.2963966771436,0.285443120547739,0.214491299075879,0.8790514001931196,0.9939191208389722,2.2360679770799953e-06,2.6001508565421648e-15,0,-0.0030683665002340732,0.2581521987935445,0.2956549712054015
5,56,40,16,Si40O16,mixed_other_stoichiometry,-34509.5017733792,-336.3491754532328,0.3764825413954966,0.2635777067852464,1.6033829619654745,1.1722313781265372,3.1622776596624714e-06,3.062686598583602e-15,0,-0.006617461007049233,0.3187171910659722,0.3972436109158499
6,56,40,16,Si40O16,mixed_other_stoichiometry,-34511.861047623206,-338.8430671639747,0.27193441484557684,0.19629304899218386,0.8738877113599297,0.9125152360377691,3.000000000752401e-06,2.5341311739065124e-15,0,-0.009021344341570219,0.22051284959550235,0.2899608415522298
7,56,40,16,Si40O16,mixed_other_stoichiometry,-34508.466012787256,-335.5779936017409,0.334613889384555,0.24927634557406703,1.4066832290949098,1.2794457729665862,1.732050809653819e-06,6.2301994103058045e-15,0,-0.011342081372223081,0.2579321210091188,0.3607512236117541
8,56,40,16,Si40O16,mixed_other_stoichiometry,-34510.251818363526,-336.8600342545919,0.33757442170301194,0.2384277168208668,1.5139899331493833,1.0887694677978919,5.830951894137125e-06,3.0466722764302567e-15,0,-0.0023462791683134094,0.26699347782939725,0.36197358934319696
9,56,40,16,Si40O16,mixed_other_stoichiometry,-34508.44526832318,-335.4307447697631,0.323301819329404,0.24505678128697314,1.3223502057485197,1.290149226478036,3.3166247913503984e-06,3.426099506005528e-15,0,-0.00908307480255591,0.24474316222581222,0.3498199633409556
10,56,40,16,Si40O16,mixed_other_stoichiometry,-34503.52956000983,-331.89763794445213,0.3922406308423715,0.2670323051128521,2.067995264027955,1.354246117780741,3.0000000031255025e-06,1.775988341846582e-15,0,-0.0337723870889103,0.3214598801286065,0.4172040455989742
11,56,40,16,Si40O16,mixed_other_stoichiometry,-34509.0514005863,-336.0722104367749,0.3992951506540614,0.28381118340255035,1.569441376349675,1.2475407855112775,5.099019513347492e-06,1.9891280697202825e-15,0,-0.009714028443458542,0.349929999433679,0.4174097057672804
12,56,40,16,Si40O16,mixed_other_stoichiometry,-34512.44634249537,-339.35788735665875,0.2792839395848992,0.20407889491237383,1.0008134489829072,0.9062788985961161,2.9999999999382374e-06,1.6992216372873033e-15,0,-0.007762867922252781,0.24961009341190357,0.29030543739455966
13,56,40,16,Si40O16,mixed_other_stoichiometry,-34511.58613684065,-338.08929836804845,0.2809771695890268,0.20904859559211272,0.906045735358477,0.958583997563898,3.7416573862435884e-06,1.7696220188429069e-15,0,-0.0004703083885735688,0.2253892023644256,0.3003453358142527
14,56,40,16,Si40O16,mixed_other_stoichiometry,-34510.53981292472,-337.66007067550794,0.28751601680037736,0.21350488201369064,1.0844255505737017,1.2155777310094282,3.60555127602955e-06,2.1413206232596582e-15,0,-0.011489883806224352,0.22918686696061832,0.3077677629131536
15,56,40,16,Si40O16,mixed_other_stoichiometry,-34512.88214195836,-339.6032918318066,0.2933963312006618,0.22140617925817338,0.9355470566768668,1.0396964487363922,3.6055512758140057e-06,2.0162472384637203e-15,0,-0.004362957425071963,0.29399388827644685,0.29315696732168967
