group,frames,atoms,force_component_RMSE_eV_A,force_component_MAE_eV_A
mixed_other_stoichiometry,173,7039,0.3427228086530711,0.21240376352369733
mixed_other_stoichiometry__DFT_RMS_1_to_5,122,5135,0.37517720427696843,0.23156473472773062
mixed_other_stoichiometry__DFT_RMS_0_to_1,51,1904,0.2337147142276754,0.160727509777525
SiO2_stoichiometry,493,5823,0.1582274890688484,0.06366869464177977
SiO2_stoichiometry__DFT_RMS_1_to_5,339,3927,0.13108442702380083,0.08393413069076654
SiO2_stoichiometry__DFT_RMS_5_to_10,3,12,0.6196352384261249,0.4642942787395497
SiO2_stoichiometry__DFT_RMS_0_to_1,150,1875,0.03542068672797305,0.012621235587446922
O_only,22,54,0.972752744624552,0.569150489961184
O_only__DFT_RMS_0_to_1,6,14,0.5208942941764969,0.31879200643577804
Si_only,471,4497,1.2737890366931888,0.19798627730940768
Si_only__DFT_RMS_0_to_1,316,3233,0.16613173568717002,0.09932376200834624
SiO2_stoichiometry__DFT_RMS_10_or_more,1,9,2.81555861898888,1.3219032894562437
Si_only__DFT_RMS_10_or_more,9,80,9.406081323649538,3.598552070636013
Si_only__DFT_RMS_1_to_5,144,1166,0.30129758626468195,0.23200504974109767
Si_only__DFT_RMS_5_to_10,2,18,1.143256851754144,0.6015840465790296
O_only__DFT_RMS_1_to_5,15,38,1.0801374729622537,0.6543480785100703
O_only__DFT_RMS_5_to_10,1,2,1.2174296896849377,0.7029056922101886
