group,frames,atoms,force_component_RMSE_eV_A,force_component_MAE_eV_A
small_O__Z8,58,115,4.1137389584200195,0.6805352696875197
small_O,58,115,4.1137389584200195,0.6805352696875197
small_O__DFT_RMS_0_to_1,34,67,0.17743830720219742,0.075728251180037
small_Si__Z14,98,195,5.96669037599881,1.3738233562468534
small_Si,98,195,5.96669037599881,1.3738233562468534
small_Si__DFT_RMS_0_to_1,44,87,0.41142785017476985,0.13983530376878056
small_H__Z1,1,1,0.0,0.0
small_H,1,1,0.0,0.0
small_H__DFT_RMS_0_to_1,1,1,0.0,0.0
small_Si_H__Z1,52,52,3.116464513016482,0.7963714507100617
small_Si_H__Z14,52,52,3.116465988831987,0.7963718362869848
small_Si_H,52,104,3.116465250924322,0.7963716434985232
small_Si_H__DFT_RMS_10_or_more,5,10,9.777657993627303,4.961525475964506
small_Si_H__DFT_RMS_5_to_10,2,4,1.433795547957003,0.8100166071810468
small_Si_H__DFT_RMS_1_to_5,23,46,0.7065956714935978,0.3609685363241031
small_Si_H__DFT_RMS_0_to_1,22,44,0.7209398724955324,0.3036994787401917
small_Si__DFT_RMS_10_or_more,13,26,16.224051497015427,8.762243437364859
small_Si__DFT_RMS_5_to_10,4,8,2.9691200842155574,1.5905167078166167
small_Si__DFT_RMS_1_to_5,37,74,0.42400414598254965,0.20523540548963856
small_O__DFT_RMS_10_or_more,4,8,15.355982771114068,6.264008141099733
small_Si_O__Z8,23,23,1.6589007054342666,0.4427249924641354
small_Si_O__Z14,23,23,1.6657250174947467,0.4429083311218737
small_Si_O,23,46,1.6623163634516418,0.4428166617930045
small_Si_O__DFT_RMS_1_to_5,17,34,0.2886702680717371,0.14922996660858356
small_Si_O__DFT_RMS_0_to_1,2,4,0.07128114982754033,0.033221771037517465
small_Si_O__DFT_RMS_5_to_10,2,4,1.4910041495921194,0.7716126618555421
small_Si_O__DFT_RMS_10_or_more,2,4,5.370420526614719,3.019102461553532
small_O__DFT_RMS_1_to_5,19,38,1.1945459877196551,0.5679591596880889
small_O__DFT_RMS_5_to_10,1,2,1.2931964389154813,0.7466249940285162
Si_vacuum0__Z14,201,38592,0.1966615592482744,0.15593879411274345
Si_vacuum0,201,38592,0.1966615592482744,0.15593879411274345
Si_vacuum0__DFT_RMS_0_to_1,101,19392,0.19253650857894178,0.15226700387304484
Si_vacuum0__DFT_RMS_1_to_5,100,19200,0.20074183732759387,0.159647302254839
Si_O_vacuum0__Z8,64,9216,0.15127755620603028,0.11042785096252868
Si_O_vacuum0__Z14,64,4608,0.24041859681393446,0.1741337326407546
Si_O_vacuum0,64,13824,0.18580536385989016,0.13166314485527064
Si_O_vacuum0__DFT_RMS_0_to_1,1,216,0.03245785166003798,0.015762300736093842
Si_O_vacuum0__DFT_RMS_1_to_5,63,13608,0.1872295516276028,0.13350284079367028
Si_H_vacuum1__Z1,93,2976,0.10605939704390205,0.08405065195168664
Si_H_vacuum1__Z14,93,17856,0.29330188937935214,0.23049364538481246
Si_H_vacuum1,93,20832,0.2744877269133234,0.20957321775150875
Si_H_vacuum1__DFT_RMS_0_to_1,1,224,0.11982291616881628,0.05201612664554216
Si_H_vacuum1__DFT_RMS_1_to_5,92,20608,0.2756925884454029,0.21128579482874751
Si_O_H_vacuum1__Z1,423,13536,0.11276330002235144,0.08808562943944051
Si_O_H_vacuum1__Z8,423,11396,0.4248493589242835,0.3131680920098093
Si_O_H_vacuum1__Z14,423,81216,0.33651434625006144,0.2532981018756692
Si_O_H_vacuum1,423,106148,0.32809031168179426,0.23865781077901047
Si_O_H_vacuum1__DFT_RMS_0_to_1,31,7294,0.2748802355405171,0.18921307839501578
Si_O_H_vacuum1__DFT_RMS_1_to_5,392,98854,0.33167845465138895,0.24230611917329756
