source_frame,atoms,composition,observed_group,source_energy_eV,mace_energy_eV,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A,source_force_component_RMS_eV_A,source_total_force_norm_eV_A,mace_total_force_norm_eV_A,same_composition_reference_frame,relative_energy_error_eV_atom,Z1_force_RMSE_eV_A,Z8_force_RMSE_eV_A,Z14_force_RMSE_eV_A
0,1,O,small_O,-430.9199907477282,-1.54838784,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,
1,1,Si,small_Si,-102.28152399417358,-0.8263903,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,,0.0
2,1,H,small_H,-13.576572536799944,-1.11734008,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,,
3,2,HSi,small_Si_H,-110.52729644400108,-0.3740906519752014,15.77410515429372,9.107196710385555,27.321556966156663,26.03142450439671,1.0789999997484756e-05,0.0,3,0.0,15.774108269098113,,15.77410203948871
4,2,HSi,small_Si_H,-112.54670542685652,-1.198304751728118,11.711275856834542,6.761511011830272,20.28452609549082,20.78401451198146,2.5800000003073364e-06,0.0,3,0.5975974415512608,11.711275112052672,,11.711276601616365
5,2,HSi,small_Si_H,-114.15545485461736,-1.9691881533770603,7.770464641551663,4.486291679186857,13.458842897560572,16.516499334199736,6.680000002035058e-06,0.0,3,1.0165304546072105,7.770462713201524,,7.7704665699013225
6,2,HSi,small_Si_H,-115.43068566151082,-2.7063857713717336,4.835314055345299,2.791681011407951,8.375059239223855,13.054790036330822,9.925000000166051e-05,0.0,3,1.2855470490566043,4.835285404253306,,4.835342706267524
7,2,HSi,small_Si_H,-116.43550045033466,-3.3834981575982876,2.876842162633135,1.6609469670118973,4.982838591035691,10.248346042986656,3.5999999994373866e-06,0.0,3,1.4493982503552454,2.876843201863432,,2.8768411234024627
8,2,HSi,small_Si_H,-117.22098522857816,-3.9759079097073067,1.6986389647632476,0.9807149768863624,2.942130530659087,7.970468926014332,3.079999999044958e-06,0.0,3,1.5459357634224857,1.6986380756436008,,1.6986398538824292
9,2,HSi,small_Si_H,-117.82830239127625,-4.4650165796775605,1.1073233556963782,0.639318237475731,1.9179467374271937,6.118557855634384,1.2850000000952377e-05,0.0,3,1.6050400097864066,1.1073196462146855,,1.1073270651656448
10,2,HSi,small_Si_H,-118.29069558332294,-4.8446904834652855,0.836773892972928,0.48311300568996346,1.4493377270698904,4.611687027364251,5.660000000240473e-06,0.0,3,1.6463996539158892,0.8367722590700709,,0.8367755268725946
11,2,HSi,small_Si_H,-118.6351725362377,-5.1227157449224885,0.7183724153750852,0.4147550773903203,1.2442600971709608,3.3859090734380195,5.149999999787269e-06,0.0,3,1.679625499644668,0.71837390205049,,0.7183709286966038
12,2,HSi,small_Si_H,-118.88377472639986,-5.309859757182828,0.7204837962111984,0.41597271368784233,1.2479163410635268,2.389888773419661,3.5999999994373866e-06,0.0,3,1.7103545885955782,0.7204848354409333,,0.7204827569799647
13,2,HSi,small_Si_H,-119.05453235905256,-5.414345290043402,0.8231332932497292,0.47523879842927963,1.425712025287839,1.5818930645904778,6.680000000258701e-06,0.0,3,1.7434906384916387,0.8231313648975712,,0.8231352215973695
