occupation,charge_rate,time_model,survival,projected_hard_basin_limit_survival,difference_from_limit,MFPT_model,hard_basin_limit_MFPT_model,boundary_charge_rate,spatial_rate
0.02,0.01,0.0,1.0,1.0,0.0,5107.016226567354,7.5,0.0002,0.4
0.02,0.01,0.2,0.9999408193663509,0.9970429006656347,0.0028979187007162066,5107.016226567354,7.5,0.0002,0.4
0.02,0.01,2.0,0.9968091880895913,0.8415099111074295,0.15529927698216184,5107.016226567354,7.5,0.0002,0.4
0.02,0.01,8.0,0.9865088049031732,0.344831136903223,0.6416776679999502,5107.016226567354,7.5,0.0002,0.4
0.02,0.01,20.0,0.9791920401125429,0.05513208658858152,0.9240599535239614,5107.016226567354,7.5,0.0002,0.4
0.02,0.1,0.0,1.0,1.0,0.0,663.3461538461448,7.5,0.002,0.4
0.02,0.1,0.2,0.9999404715788319,0.9970429006656347,0.0028975709131972005,663.3461538461448,7.5,0.002,0.4
0.02,0.1,2.0,0.9966204249422336,0.8415099111074295,0.15511051383480412,663.3461538461448,7.5,0.002,0.4
0.02,0.1,8.0,0.9831042639406574,0.344831136903223,0.6382731270374344,663.3461538461448,7.5,0.002,0.4
0.02,0.1,20.0,0.9638650320345744,0.05513208658858152,0.9087329454459929,663.3461538461448,7.5,0.002,0.4
0.02,1.0,0.0,1.0,1.0,0.0,120.1363636363641,7.5,0.02,0.4
0.02,1.0,0.2,0.9999369971784179,0.9970429006656347,0.002894096512783162,120.1363636363641,7.5,0.02,0.4
0.02,1.0,2.0,0.9947619567250254,0.8415099111074295,0.15325204561759598,120.1363636363641,7.5,0.02,0.4
0.02,1.0,8.0,0.9534543447194135,0.344831136903223,0.6086232078161905,120.1363636363641,7.5,0.02,0.4
0.02,1.0,20.0,0.8617374551452345,0.05513208658858152,0.806605368556653,120.1363636363641,7.5,0.02,0.4
0.02,10.0,0.0,1.0,1.0,0.0,21.65480769230768,7.5,0.2,0.4
0.02,10.0,0.2,0.9999025971084499,0.9970429006656347,0.0028596964428151406,21.65480769230768,7.5,0.2,0.4
0.02,10.0,2.0,0.9781088767133239,0.8415099111074295,0.13659896560589446,21.65480769230768,7.5,0.2,0.4
0.02,10.0,8.0,0.7571977094327556,0.344831136903223,0.41236657252953257,21.65480769230768,7.5,0.2,0.4
0.02,10.0,20.0,0.4040642687093746,0.05513208658858152,0.3489321821207931,21.65480769230768,7.5,0.2,0.4
0.02,100.0,0.0,1.0,1.0,0.0,8.96416657480749,7.5,2.0,0.4
0.02,100.0,0.2,0.9995902191116453,0.9970429006656347,0.002547318446010527,8.96416657480749,7.5,2.0,0.4
0.02,100.0,2.0,0.9004756356498589,0.8415099111074295,0.05896572454242943,8.96416657480749,7.5,2.0,0.4
0.02,100.0,8.0,0.42286284828654075,0.344831136903223,0.07803171138331777,8.96416657480749,7.5,2.0,0.4
0.02,100.0,20.0,0.08618596604329443,0.05513208658858152,0.031053879454712906,8.96416657480749,7.5,2.0,0.4
0.02,1000.0,0.0,1.0,1.0,0.0,7.646941246993178,7.5,20.0,0.4
