occupation,charge_rate,intervals,diffusion,length,mean_time_numerical,mean_time_discrete_exact,mean_time_continuum_exact,fast_absorbing_mean_time,discrete_formula_relative_error,linear_system_max_residual,continuum_relative_error,excess_over_fast_boundary,continuum_excess,charge_to_grid_rate_ratio,cells_across_charge_boundary_layer
0.02,0.01,8,0.4,1.0,4941.853294010805,4941.853294036332,4942.015439410742,1.25,5.1654280845337265e-12,5.2510107373393566e-11,-3.2809569683623426e-05,4940.603294010805,4940.765439410742,0.00039062499999999997,50.59644256269407
0.02,0.01,16,0.4,1.0,4941.974900698496,4941.974900886738,4942.015439410742,1.25,3.809057505850049e-11,2.2698531942921818e-10,-8.202870416618905e-06,4940.724900698496,4940.765439410742,9.765624999999999e-05,101.19288512538814
0.02,0.01,32,0.4,1.0,4942.00530581074,4942.005304643455,4942.015439410742,1.25,2.361965511106968e-10,6.77982447960801e-10,-2.0504994625688136e-06,4940.75530581074,4940.765439410742,2.4414062499999998e-05,202.3857702507763
0.02,0.01,64,0.4,1.0,4942.012906314851,4942.012905710402,4942.015439410742,1.25,1.223081305818639e-10,4.64637261998746e-09,-5.12563330199548e-07,4940.762906314851,4940.765439410742,6.1035156249999995e-06,404.7715405015526
0.02,0.01,128,0.4,1.0,4942.014792292037,4942.014805985126,4942.015439410742,1.25,2.7707503768181966e-09,1.3610062743474316e-08,-1.309422670178982e-07,4940.764792292037,4940.765439410742,1.5258789062499999e-06,809.5430810031052
0.02,0.01,256,0.4,1.0,4942.015219652328,4942.015281054304,4942.015439410742,1.25,1.2424481287420054e-08,6.923842177375406e-08,-4.446736703960001e-08,4940.765219652328,4940.765439410742,3.8146972656249997e-07,1619.0861620062103
0.02,0.01,512,0.4,1.0,4942.015134496232,4942.01539982163,4942.015439410742,1.25,5.3687691419675e-08,2.5218307264651685e-07,-6.169841303326305e-08,4940.765134496232,4940.765439410742,9.536743164062499e-08,3238.1723240124206
0.02,0.01,1024,0.4,1.0,4942.01509299567,4942.0154295134635,4942.015439410742,1.25,6.809323005653171e-08,1.2406726073166396e-06,-7.009591056910389e-08,4940.76509299567,4940.765439410742,2.3841857910156248e-08,6476.344648024841
0.02,1.0,8,0.4,1.0,85.20251334060166,85.20251334063371,85.5746913195256,1.25,3.7627632073860685e-13,9.094947017729282e-13,-0.004349159467420988,83.95251334060166,84.3246913195256,0.0390625,5.059644256269407
0.02,1.0,16,0.4,1.0,85.48113135365585,85.48113135376427,85.5746913195256,1.25,1.2682870348732453e-12,2.822631017806998e-12,-0.0010933135069152921,84.23113135365585,84.3246913195256,0.009765625,10.119288512538814
0.02,1.0,32,0.4,1.0,85.55126886459473,85.5512688645621,85.5746913195256,1.25,3.8138677379242643e-13,1.4551915228366852e-11,-0.0002737077349588062,84.30126886459473,84.3246913195256,0.00244140625,20.23857702507763
0.02,1.0,64,0.4,1.0,85.56883367279697,85.5688336729292,85.5746913195256,1.25,1.5453290345219223e-12,7.135658730561545e-11,-6.845069071598405e-05,84.31883367279697,84.3246913195256,0.0006103515625,40.47715405015526
0.02,1.0,128,0.4,1.0,85.57322677677216,85.57322678076218,85.5746913195256,1.25,4.6627017129712985e-11,3.219513544649999e-10,-1.711420433841315e-05,84.32322677677216,84.3246913195256,0.000152587890625,80.95430810031051
0.02,1.0,256,0.4,1.0,85.57432519819486,85.57432517688915,85.5746913195256,1.25,2.4897314881366867e-10,1.4943259962763022e-09,-4.278383305823184e-06,84.32432519819486,84.3246913195256,3.814697265625e-05,161.90861620062103
0.02,1.0,512,0.4,1.0,85.574599852762,85.57459978336988,85.5746913195256,1.25,8.108963354969865e-10,5.030747818324244e-09,-1.068852977231097e-06,84.324599852762,84.3246913195256,9.5367431640625e-06,323.81723240124205
0.02,1.0,1024,0.4,1.0,85.57466827315741,85.57466843545564,85.5746913195256,1.25,1.8965685062177493e-09,2.3138670535161054e-08,-2.6931289881557483e-07,84.32466827315741,84.3246913195256,2.384185791015625e-06,647.6344648024841
0.02,100.0,8,0.4,1.0,6.760751259740405,6.760751259740347,8.997580267412815,1.25,8.539228121628213e-15,2.2737367544323206e-13,-0.24860339571225548,5.510751259740405,7.747580267412815,3.90625,0.5059644256269407
0.02,100.0,16,0.4,1.0,8.19594513699645,8.195945136996494,8.997580267412815,1.25,5.418401446410909e-15,7.958078640513122e-13,-0.08909452392658332,6.94594513699645,7.747580267412815,0.9765625,1.0119288512538813
0.02,100.0,32,0.4,1.0,8.77144349757123,8.77144349757188,8.997580267412815,1.25,7.412082212015227e-14,1.8189894035458565e-12,-0.02513306501533534,7.52144349757123,7.747580267412815,0.244140625,2.0238577025077626
