cells,charge_rate_model,initial,time_model,L1_marginal_error,L1_charge_disequilibrium,probability_mass_error,minimum_probability,generator_column_sum_max_abs,stationary_residual,detailed_balance_residual
24,0.0,local_charge_equilibrium,0.03,0.002880811005297035,0.03747010792039516,6.661338147750939e-16,1.3059027406726893e-12,3.552713678800501e-15,6.661338147750939e-16,4.440892098500626e-16
24,0.0,local_charge_equilibrium,0.3,0.04495993238385338,0.1375036781149305,1.3322676295501878e-15,5.36691191498335e-08,3.552713678800501e-15,6.661338147750939e-16,4.440892098500626e-16
24,0.0,local_charge_equilibrium,1.0,0.08589954251950234,0.12614551937061783,2.6645352591003757e-15,2.6487685829684853e-06,3.552713678800501e-15,6.661338147750939e-16,4.440892098500626e-16
24,0.0,all_sector_0,0.03,0.0355049257747199,0.5943347614993254,7.771561172376096e-16,0.0,3.552713678800501e-15,6.661338147750939e-16,4.440892098500626e-16
24,0.0,all_sector_0,0.3,0.1549982523744968,0.5629940733950676,1.6653345369377348e-15,0.0,3.552713678800501e-15,6.661338147750939e-16,4.440892098500626e-16
24,0.0,all_sector_0,1.0,0.29888656748386205,0.4927133345928072,3.552713678800501e-15,0.0,3.552713678800501e-15,6.661338147750939e-16,4.440892098500626e-16
24,3.0,local_charge_equilibrium,0.03,0.0027957869205270753,0.03581098355260006,2.220446049250313e-16,1.4523343257682406e-12,7.105427357601002e-15,6.661338147750939e-16,4.440892098500626e-16
24,3.0,local_charge_equilibrium,0.3,0.033988360207379935,0.08979239718834736,1.7763568394002505e-15,1.9621638557639608e-07,7.105427357601002e-15,6.661338147750939e-16,4.440892098500626e-16
24,3.0,local_charge_equilibrium,1.0,0.039077904592570024,0.038007978100049904,3.9968028886505635e-15,2.517461818572885e-06,7.105427357601002e-15,6.661338147750939e-16,4.440892098500626e-16
24,3.0,all_sector_0,0.03,0.03393405490740464,0.5434592842407188,4.440892098500626e-16,1.995580311981229e-12,7.105427357601002e-15,6.661338147750939e-16,4.440892098500626e-16
24,3.0,all_sector_0,0.3,0.10163441385320758,0.2400367768177225,2.6645352591003757e-15,1.7943708759496853e-07,7.105427357601002e-15,6.661338147750939e-16,4.440892098500626e-16
24,3.0,all_sector_0,1.0,0.09543722287348169,0.049048031673871506,4.884981308350689e-15,2.708768081732397e-06,7.105427357601002e-15,6.661338147750939e-16,4.440892098500626e-16
24,30.0,local_charge_equilibrium,0.03,0.0021769248541322578,0.024553313588038483,0.0,2.2478832049079588e-12,6.217248937900877e-15,6.661338147750939e-16,4.440892098500626e-16
24,30.0,local_charge_equilibrium,0.3,0.008854290523907573,0.014385543857866839,1.7763568394002505e-15,3.620210718878772e-08,6.217248937900877e-15,6.661338147750939e-16,4.440892098500626e-16
24,30.0,local_charge_equilibrium,1.0,0.005623310494615451,0.0037372726861705464,5.995204332975845e-15,2.563691306720486e-06,6.217248937900877e-15,6.661338147750939e-16,4.440892098500626e-16
24,30.0,all_sector_0,0.03,0.023274871246788592,0.24329384592205267,2.220446049250313e-16,1.1276998472266742e-11,6.217248937900877e-15,6.661338147750939e-16,4.440892098500626e-16
24,30.0,all_sector_0,0.3,0.017071349595280665,0.014087170492638308,1.7763568394002505e-15,4.3393321263509895e-08,6.217248937900877e-15,6.661338147750939e-16,4.440892098500626e-16
24,30.0,all_sector_0,1.0,0.010225386829556616,0.003731077289618132,5.995204332975845e-15,2.591410908950539e-06,6.217248937900877e-15,6.661338147750939e-16,4.440892098500626e-16
24,300.0,local_charge_equilibrium,0.03,0.0005641755775325582,0.0040238384986920036,0.0,1.4695803549100085e-13,9.14823772291129e-14,4.440892098500626e-15,2.220446049250313e-15
24,300.0,local_charge_equilibrium,0.3,0.0009859311754120673,0.0014015655985921292,1.7763568394002505e-15,4.49286762366517e-09,9.14823772291129e-14,4.440892098500626e-15,2.220446049250313e-15
24,300.0,local_charge_equilibrium,1.0,0.000583921217691287,0.00036626830744843796,1.3322676295501878e-15,1.8933494720272065e-06,9.14823772291129e-14,4.440892098500626e-15,2.220446049250313e-15
24,300.0,all_sector_0,0.03,0.003826181479893798,0.004035173255790124,0.0,2.450470241541983e-13,9.14823772291129e-14,4.440892098500626e-15,2.220446049250313e-15
24,300.0,all_sector_0,0.3,0.0016950264110828306,0.0013991915583347464,1.9984014443252818e-15,4.690633622442647e-09,9.14823772291129e-14,4.440892098500626e-15,2.220446049250313e-15
24,300.0,all_sector_0,1.0,0.0010192633458837232,0.00036622398622387627,1.3322676295501878e-15,1.8967960120867283e-06,9.14823772291129e-14,4.440892098500626e-15,2.220446049250313e-15
24,3000.0,local_charge_equilibrium,0.03,6.256751730214079e-05,0.0004019517276848837,5.551115123125783e-15,4.6381107199026826e-14,9.094947017729282e-13,2.4868995751603507e-14,2.1316282072803006e-14
