source_frame,atoms,composition,group,baseline_force_RMSE_eV_A,candidate_force_RMSE_eV_A,correction_energy_eV,reference_energy_eV,baseline_energy_eV,candidate_energy_eV
0,56,Si40O16,mixed_other_stoichiometry,0.3056764892766566,0.30733426916499884,5.540999873177021,-34510.90064964515,-337.37747390278815,-331.8364740296111
1,56,Si40O16,mixed_other_stoichiometry,0.4120257459013112,0.40856153916439675,5.610631876824022,-34508.79791618516,-335.97831764191307,-330.36768576508905
2,56,Si40O16,mixed_other_stoichiometry,0.27348893469698177,0.278241968262775,5.5645723290875955,-34511.29052662886,-337.9585978657951,-332.39402553670755
3,56,Si40O16,mixed_other_stoichiometry,0.34392079235964057,0.342841276968185,5.689039561270805,-34508.636595387914,-335.810169074872,-330.1211295136012
4,56,Si40O16,mixed_other_stoichiometry,0.285443120547739,0.28667317662947533,5.699232712632596,-34512.64774389549,-339.2963966771436,-333.597163964511
5,56,Si40O16,mixed_other_stoichiometry,0.3764825413954966,0.3745064503377788,5.576587355800441,-34509.5017733792,-336.3491754532328,-330.7725880974324
6,56,Si40O16,mixed_other_stoichiometry,0.27193441484557684,0.27520119475127097,5.653439295743661,-34511.861047623206,-338.8430671639747,-333.189627868231
7,56,Si40O16,mixed_other_stoichiometry,0.334613889384555,0.33230385291090764,5.709697018485469,-34508.466012787256,-335.5779936017409,-329.8682965832554
8,56,Si40O16,mixed_other_stoichiometry,0.33757442170301194,0.33716630363931477,5.553326384919115,-34510.251818363526,-336.8600342545919,-331.3067078696728
9,56,Si40O16,mixed_other_stoichiometry,0.323301819329404,0.32116358779020815,5.719100920178217,-34508.44526832318,-335.4307447697631,-329.7116438495849
10,56,Si40O16,mixed_other_stoichiometry,0.3922406308423715,0.41327984947507407,5.498027480689854,-34503.52956000983,-331.89763794445213,-326.39961046376226
11,56,Si40O16,mixed_other_stoichiometry,0.3992951506540614,0.39634504338140747,5.594122614500068,-34509.0514005863,-336.0722104367749,-330.47808782227486
12,56,Si40O16,mixed_other_stoichiometry,0.2792839395848992,0.28566176503116286,5.655079937334026,-34512.44634249537,-339.35788735665875,-333.7028074193247
13,56,Si40O16,mixed_other_stoichiometry,0.2809771695890268,0.2856109772781786,5.547389168129974,-34511.58613684065,-338.08929836804845,-332.54190919991845
14,56,Si40O16,mixed_other_stoichiometry,0.28751601680037736,0.29030041616857344,5.635729020942169,-34510.53981292472,-337.66007067550794,-332.0243416545658
15,56,Si40O16,mixed_other_stoichiometry,0.2933963312006618,0.2955312231389743,5.687888725773165,-34512.88214195836,-339.6032918318066,-333.9154031060334
16,56,Si40O16,mixed_other_stoichiometry,0.31705049626658866,0.3243130300067205,5.696323227008991,-34508.879168975654,-335.7391943240834,-330.04287109707445
17,56,Si40O16,mixed_other_stoichiometry,0.2838118210877649,0.2867283048621531,5.5922562772445,-34510.180402080914,-337.16925106256605,-331.5769947853216
18,56,Si40O16,mixed_other_stoichiometry,0.3090993288431026,0.3064624630841083,5.7580083946948175,-34511.82589853982,-338.5511254245582,-332.7931170298634
19,56,Si40O16,mixed_other_stoichiometry,0.2749303780204797,0.2911619655989816,5.635440228447031,-34509.55220192795,-336.4645188357686,-330.8290786073216
20,56,Si40O16,mixed_other_stoichiometry,0.3445632753397749,0.3673268903661708,5.550056864344473,-34506.901951707245,-334.64768710171097,-329.0976302373665
21,56,Si40O16,mixed_other_stoichiometry,0.36830359581471306,0.39047001211978566,5.5251420304433765,-34505.436408089765,-333.4962862174841,-327.97114418704075
22,56,Si40O16,mixed_other_stoichiometry,0.2900030517979226,0.2957877906754758,5.659609741683948,-34512.77944333031,-339.612356959387,-333.95274721770306
23,56,Si40O16,mixed_other_stoichiometry,0.3804437465949811,0.3746623039898009,5.646058061509405,-34509.32134529091,-336.52150297849255,-330.87544491698316
24,56,Si40O16,mixed_other_stoichiometry,0.2958559189907915,0.29814237264799864,5.703970416085223,-34511.61366238212,-338.3387587292845,-332.6347883131993
25,56,Si40O16,mixed_other_stoichiometry,0.2982889298604667,0.299748962212954,5.623395606910032,-34509.981720322765,-337.13534398966397,-331.5119483827539
26,3,Si1O2,SiO2_stoichiometry,0.3066375628735548,0.471114851539679,1.276762532134695,-1769.687189452783,-19.52616839719375,-18.249405865059057
27,3,Si1O2,SiO2_stoichiometry,0.16167065570426778,0.3021039881917423,0.7167709751649591,-1769.584061156946,-19.26298143089715,-18.54621045573219
28,6,Si2O4,SiO2_stoichiometry,0.2718746752453384,0.35808176043751755,2.605115998996266,-3539.657352421802,-39.37932860162168,-36.77421260262541
29,18,Si6O12,SiO2_stoichiometry,0.1110858939060019,0.1481580612801467,4.264987866957962,-10635.216257288595,-133.64463404352995,-129.37964617657198
30,12,Si4O8,SiO2_stoichiometry,0.1651317232390798,0.19140496566677678,2.6656869557190883,-7084.84831516087,-83.86986538987473,-81.20417843415565
31,12,Si4O8,SiO2_stoichiometry,0.1431493386485405,0.13497719946924167,2.755508275231269,-7088.400225133875,-87.24583944144015,-84.49033116620889
32,18,Si6O12,SiO2_stoichiometry,0.07036167049258359,0.11998448388853455,3.945263132773754,-10634.815380374197,-133.25972671661833,-129.31446358384457
33,12,Si4O8,SiO2_stoichiometry,0.2493086973266999,0.2942727946319319,2.651924073679887,-7083.785003176638,-82.67730841235449,-80.0253843386746
34,18,Si6O12,SiO2_stoichiometry,0.08929765538515351,0.1380543040790441,4.231008808060538,-10635.399115761827,-133.771178277581,-129.54016946952044
35,12,Si4O8,SiO2_stoichiometry,0.1024202065850436,0.09827086350587041,2.658619161714864,-7087.79855594623,-86.52074059231416,-83.86212143059929
36,12,Si4O8,SiO2_stoichiometry,0.18198263817740493,0.1854747935994088,2.7662538781001325,-7085.819350613953,-84.80015705624777,-82.03390317814764
37,24,Si8O16,SiO2_stoichiometry,0.10779180251864662,0.13230770631165234,5.208599070314721,-14181.144882334731,-178.71289619769826,-173.50429712738352
38,3,Si1O2,SiO2_stoichiometry,0.3741871679474972,0.4509863373004391,0.9995397006283485,-1767.829740786987,-18.091884715971908,-17.09234501534356
39,12,Si4O8,SiO2_stoichiometry,0.08215807958453472,0.09575722464707184,2.6336627106962642,-7089.711247535251,-88.45240107070761,-85.81873836001134
40,18,Si6O12,SiO2_stoichiometry,0.14779193249062544,0.17128934579591237,4.204346311819117,-10633.761766255831,-132.195619990618,-127.99127367879889
41,6,Si2O4,SiO2_stoichiometry,0.3863608422618784,0.4379906123343371,2.5615446573928153,-3538.069439473481,-37.649556838964976,-35.08801218157216
42,12,Si4O8,SiO2_stoichiometry,0.1634172858347394,0.17446315907020515,2.742400002788058,-7086.802089412054,-85.66849989502398,-82.92609989223592
43,24,Si8O16,SiO2_stoichiometry,0.12204938472780853,0.14564669575410447,5.221160136715062,-14174.822074882748,-172.39268488342142,-167.17152474670635
44,18,Si6O12,SiO2_stoichiometry,0.11491022277016166,0.1636440790008266,4.1266765087371695,-10633.84415852312,-132.22151545202075,-128.09483894328358
45,12,Si4O8,SiO2_stoichiometry,0.10950271144990659,0.10993148014727555,2.691838840762839,-7086.61598992669,-85.53266390837967,-82.84082506761683
46,12,Si4O8,SiO2_stoichiometry,0.07797034015870563,0.10077433397239174,2.570026188394807,-7088.840672301602,-87.67978906346293,-85.10976287506813
47,3,Si1O2,SiO2_stoichiometry,0.3144851665663048,0.463451628811405,1.0023248548606198,-1770.443933064014,-20.419251122264154,-19.416926267403532
48,12,Si4O8,SiO2_stoichiometry,0.08410590804987897,0.10477557485408226,2.772237808934166,-7087.453678703701,-86.1995605388357,-83.42732272990153
49,24,Si8O16,SiO2_stoichiometry,0.22980427703001788,0.2360588944023889,5.152791803562828,-14176.125856470357,-173.89661014618832,-168.7438183426255
50,24,Si8O16,SiO2_stoichiometry,0.07362406126262463,0.10031135936310093,5.113669067368473,-14179.926313066399,-177.45365263111378,-172.3399835637453
51,12,Si4O8,SiO2_stoichiometry,0.14947815303962117,0.1763757548521859,3.162812286166144,-7084.542710887276,-83.5051090004948,-80.34229671432865
52,6,Si2O4,SiO2_stoichiometry,0.6349572973667551,0.7448986400487936,2.4182433468913294,-3535.560247499592,-35.51524203444455,-33.09699868755322
53,12,Si4O8,SiO2_stoichiometry,0.14845144196408447,0.16535252506479153,2.824213276820729,-7085.044986949987,-84.0654037644473,-81.24119048762657
54,24,Si8O16,SiO2_stoichiometry,0.09798149448359515,0.10648425595344276,5.094091470676797,-14180.548146707428,-178.0742870190104,-172.9801955483336
55,3,Si1O2,SiO2_stoichiometry,0.20744733390455047,0.21596193399072616,0.9992184743817656,-1767.646398631371,-17.336362325113967,-16.3371438507322
56,12,Si4O8,SiO2_stoichiometry,0.10850934151520972,0.12620996963484993,2.6379372798456195,-7087.770509306712,-86.59883809164329,-83.96090081179767
57,18,Si6O12,SiO2_stoichiometry,0.18978799793441933,0.2563330697670445,4.114288728596669,-10632.985081596695,-131.49456752674934,-127.38027879815266
58,3,Si1O2,SiO2_stoichiometry,0.2820291601962851,0.4873142012086784,1.1553296687288934,-1770.558809059426,-20.46878803448072,-19.313458365751828
59,12,Si4O8,SiO2_stoichiometry,0.29548697755870573,0.28966992748312975,2.522680291251931,-7085.153260646807,-84.45964076530575,-81.93696047405382
60,12,Si4O8,SiO2_stoichiometry,0.0924699917113963,0.11450995210373226,2.6868361128938103,-7087.074095923379,-85.81674660564815,-83.12991049275433
61,24,Si8O16,SiO2_stoichiometry,0.18984847955859918,0.18353108364476284,5.344575514172198,-14173.636393839794,-171.25191044802574,-165.90733493385355
62,3,Si1O2,SiO2_stoichiometry,0.7940710647346232,0.9958602363720653,1.0672969956447063,-1769.282260354835,-19.30060834923535,-18.233311353590643
63,18,Si6O12,SiO2_stoichiometry,0.1453240095503871,0.16522616243540014,4.351383862824964,-10633.375127427056,-131.85163927526236,-127.5002554124374
64,18,Si6O12,SiO2_stoichiometry,0.11017365301452833,0.14249504598673401,4.416586138270514,-10633.162226767316,-131.69149509627016,-127.27490895799964
65,12,Si4O8,SiO2_stoichiometry,0.1273079923220574,0.184570667175589,2.8212907211116165,-7085.15269192884,-83.93120666716518,-81.10991594605356
66,12,Si4O8,SiO2_stoichiometry,0.13242141607757313,0.13870603364200224,2.7506561648961485,-7087.442831020719,-86.25988422697061,-83.50922806207447
67,12,Si4O8,SiO2_stoichiometry,0.0810810183296724,0.12936990746972457,2.6809478568460214,-7086.760811644251,-85.61238046018701,-82.931432603341
68,24,Si8O16,SiO2_stoichiometry,0.15725451871266394,0.20137115709206302,5.045075147126785,-14173.91742201404,-171.5405297258711,-166.4954545787443
