held_composition,source_frame,atoms,composition,group,baseline_force_RMSE_eV_A,candidate_force_RMSE_eV_A,correction_energy_eV,reference_energy_eV,baseline_energy_eV,candidate_energy_eV
H32O18Si192,771,242,H32O18Si192,Si_O_H_vacuum1,0.1355518331581687,0.13156021849392008,5.47988850025584,-28923.933500735522,-1265.9324130083571,-1260.4525245081013
H32O18Si192,772,242,H32O18Si192,Si_O_H_vacuum1,0.30302660350916827,0.30178898983182856,5.8805500887508355,-28884.352308281086,-1234.8052309449831,-1228.9246808562323
H32O18Si192,773,242,H32O18Si192,Si_O_H_vacuum1,0.30323431605559287,0.30015240709710145,6.061954461140376,-28870.28628306704,-1224.1685319999283,-1218.1065775387879
H32O18Si192,774,242,H32O18Si192,Si_O_H_vacuum1,0.305450402883961,0.30051482584815625,6.008808718706589,-28877.04913286255,-1229.4477535928543,-1223.4389448741476
H32O18Si192,775,242,H32O18Si192,Si_O_H_vacuum1,0.30907718292169506,0.30183786312472305,5.951450561511856,-28874.151235427245,-1226.1757687297004,-1220.2243181681886
H32O18Si192,776,242,H32O18Si192,Si_O_H_vacuum1,0.3385713006251039,0.331501513874738,6.125785685949475,-28870.416293296887,-1224.0298626008187,-1217.9040769148692
H32O18Si192,777,242,H32O18Si192,Si_O_H_vacuum1,0.2984943708413711,0.29337464396855795,6.110717802447459,-28869.775923747322,-1223.159292413921,-1217.0485746114737
H32O18Si192,778,242,H32O18Si192,Si_O_H_vacuum1,0.334521827459102,0.32777782805001526,6.1839394321922,-28867.902568224163,-1221.679408090219,-1215.495468658027
H32O18Si192,779,242,H32O18Si192,Si_O_H_vacuum1,0.3236203526585982,0.31771482411466645,6.111423130026852,-28866.10102638715,-1219.5162352288285,-1213.4048120988016
H32O18Si192,780,242,H32O18Si192,Si_O_H_vacuum1,0.36217380352559386,0.3570013288425667,6.345092596917913,-28863.524288987082,-1218.8743573276051,-1212.5292647306871
H32O18Si192,781,242,H32O18Si192,Si_O_H_vacuum1,0.32197137403680953,0.31668314182163004,6.586653650300749,-28866.747414237278,-1221.4173949922092,-1214.8307413419084
H32O18Si192,782,242,H32O18Si192,Si_O_H_vacuum1,0.32968685416795374,0.3241139635598452,7.055051737291384,-28860.632478142186,-1217.173272757434,-1210.1182210201425
H32O18Si192,783,242,H32O18Si192,Si_O_H_vacuum1,0.3080125141564546,0.3022821832846158,6.322764741430625,-28866.737531769904,-1221.5189420375586,-1215.196177296128
H32O18Si192,784,242,H32O18Si192,Si_O_H_vacuum1,0.31760975460851015,0.31431114856352943,6.433767425908618,-28862.963248096436,-1218.8103641052346,-1212.376596679326
H32O18Si192,785,242,H32O18Si192,Si_O_H_vacuum1,0.32344169341674844,0.31811140251145725,6.79330586949034,-28862.87909262447,-1217.2825882827578,-1210.4892824132676
H32O18Si192,786,242,H32O18Si192,Si_O_H_vacuum1,0.3293298304218876,0.32557261110316876,6.749578742262756,-28862.92093098656,-1218.7068766280443,-1211.9572978857816
H32O18Si192,787,242,H32O18Si192,Si_O_H_vacuum1,0.3596140163484556,0.35207378393283834,6.718793531716882,-28857.2088218281,-1215.452374483264,-1208.733580951547
H32O18Si192,788,242,H32O18Si192,Si_O_H_vacuum1,0.341193472372634,0.33308801241412944,6.499834325733822,-28862.583182445345,-1217.584733095585,-1211.0848987698512
H32O18Si192,789,242,H32O18Si192,Si_O_H_vacuum1,0.3427165325392811,0.3392598481824376,6.726855096608507,-28856.203518671726,-1213.6433618804008,-1206.9165067837923
H32O18Si192,790,242,H32O18Si192,Si_O_H_vacuum1,0.3160462333591548,0.3106261249943362,6.582874703410235,-28861.012636136544,-1216.746840971079,-1210.163966267669
H32O18Si192,791,242,H32O18Si192,Si_O_H_vacuum1,0.319744744118605,0.3155875953566863,6.545412808926563,-28860.652634340993,-1217.1122005557897,-1210.5667877468632
H32O18Si192,792,242,H32O18Si192,Si_O_H_vacuum1,0.31268770581138317,0.3071403324367564,6.076197897307292,-28864.96972847493,-1219.9866408365554,-1213.910442939248
H32O18Si192,793,242,H32O18Si192,Si_O_H_vacuum1,0.3261563886395466,0.3170330127674195,6.638479249983499,-28860.693283303353,-1215.7644915790668,-1209.1260123290833
H32O18Si192,794,242,H32O18Si192,Si_O_H_vacuum1,0.3381709843853019,0.3287533105937253,6.703051291206078,-28861.990618238247,-1216.7982360243507,-1210.0951847331446
H32O18Si192,795,242,H32O18Si192,Si_O_H_vacuum1,0.32686650229882147,0.32129348134781927,6.5194708733927715,-28862.96600057547,-1218.2453630342377,-1211.725892160845
H32O18Si192,796,242,H32O18Si192,Si_O_H_vacuum1,0.3406844125468806,0.33650699275603096,6.6786748768879365,-28863.096391216215,-1218.7681409937252,-1212.0894661168372
H32O18Si192,797,242,H32O18Si192,Si_O_H_vacuum1,0.32652306830004424,0.3219236125906471,7.058414132436294,-28862.26643513736,-1218.2970121370536,-1211.2385980046172
H32O18Si192,798,242,H32O18Si192,Si_O_H_vacuum1,0.3301437524672916,0.32199559996827626,6.349041915673418,-28866.383595247837,-1221.8237113322778,-1215.4746694166042
H32O18Si192,799,242,H32O18Si192,Si_O_H_vacuum1,0.3620363687313434,0.35617519430874706,6.0624802084838585,-28860.780407784576,-1215.8963087632687,-1209.833828554785
H32O18Si192,800,242,H32O18Si192,Si_O_H_vacuum1,0.3180632435159183,0.31485005008931066,6.436995622282118,-28866.286948602126,-1220.8792939092132,-1214.442298286931
H32O18Si192,801,242,H32O18Si192,Si_O_H_vacuum1,0.32657627471978473,0.3173118676441347,6.108588961093369,-28861.833816758823,-1217.8902254073566,-1211.7816364462633
H32O18Si192,802,242,H32O18Si192,Si_O_H_vacuum1,0.30488660809737606,0.30045086539953664,6.096883314341217,-28870.28554449576,-1225.3734164873272,-1219.2765331729859
H32O18Si192,803,242,H32O18Si192,Si_O_H_vacuum1,0.327544447753883,0.3217284205832373,6.29408105568159,-28862.926243542955,-1218.4308073023426,-1212.136726246661
H32O18Si192,804,242,H32O18Si192,Si_O_H_vacuum1,0.3161236222609687,0.3128542326001023,6.5308975365865445,-28865.130760455417,-1219.5525517761155,-1213.021654239529
H32O18Si192,805,242,H32O18Si192,Si_O_H_vacuum1,0.3474785169654942,0.34684761875110576,6.508193076971745,-28864.504480022315,-1220.1190767315793,-1213.6108836546075
H32O18Si192,806,242,H32O18Si192,Si_O_H_vacuum1,0.35291582358478774,0.3417612365906331,7.012316769016078,-28860.07037635638,-1218.118277896564,-1211.105961127548
H32O18Si192,807,242,H32O18Si192,Si_O_H_vacuum1,0.3298198488051816,0.3251825108397963,6.294971299728503,-28864.420261994925,-1220.694932996259,-1214.3999616965305
H32O18Si192,808,242,H32O18Si192,Si_O_H_vacuum1,0.36651510138594107,0.35542634383572336,6.51865272739422,-28866.321954893334,-1222.2130758431813,-1215.694423115787
H32O18Si192,809,242,H32O18Si192,Si_O_H_vacuum1,0.34739730222108783,0.34258895190748867,6.262490220021828,-28866.63347206635,-1221.218020905397,-1214.9555306853752
H32O18Si192,810,242,H32O18Si192,Si_O_H_vacuum1,0.34660575953929235,0.3408847953708105,6.24780397998598,-28866.450802282,-1221.9080428417515,-1215.6602388617655
H32O18Si192,811,242,H32O18Si192,Si_O_H_vacuum1,0.313555956905442,0.30893934489330976,6.385780973950794,-28864.93980833545,-1220.476976660586,-1214.091195686635
H32O18Si192,812,242,H32O18Si192,Si_O_H_vacuum1,0.35269131662895725,0.3456313039055809,6.665340270995739,-28862.33308732228,-1218.2486135079932,-1211.5832732369975
H32O18Si192,813,242,H32O18Si192,Si_O_H_vacuum1,0.3064183403177447,0.305197298720223,6.164636748777851,-28867.335349024474,-1219.5642537635256,-1213.3996170147477
H32O18Si192,814,242,H32O18Si192,Si_O_H_vacuum1,0.33659782832820584,0.3300793959600536,6.451884836219162,-28863.586158192298,-1217.8453118699538,-1211.3934270337347
H32O18Si192,815,242,H32O18Si192,Si_O_H_vacuum1,0.32439371828656655,0.3165503815308058,6.181220810877054,-28864.427624972577,-1218.5773466165247,-1212.3961258056477
H32O18Si192,816,242,H32O18Si192,Si_O_H_vacuum1,0.33466384832684204,0.3237542462331872,7.127178604189132,-28861.48642271503,-1217.6800416289555,-1210.5528630247663
H32O18Si192,817,242,H32O18Si192,Si_O_H_vacuum1,0.32036623696102745,0.3146434672641698,6.890872733034197,-28860.438318362038,-1217.765341476588,-1210.8744687435537
H32O18Si192,818,242,H32O18Si192,Si_O_H_vacuum1,0.3252428641465241,0.3184574924359733,7.07444292711374,-28860.05234391855,-1217.104327063649,-1210.0298841365352
H32O18Si192,819,242,H32O18Si192,Si_O_H_vacuum1,0.3359125485623388,0.33235422350167476,6.914730845415641,-28860.48081557868,-1217.1297879924498,-1210.2150571470343
H32O18Si192,820,242,H32O18Si192,Si_O_H_vacuum1,0.351513678700266,0.34348853054862144,6.500688209416806,-28854.344789822106,-1211.6367539535383,-1205.1360657441217
H32O18Si192,821,242,H32O18Si192,Si_O_H_vacuum1,0.3466713949121688,0.34248000451001015,6.897755032482565,-28860.835959147804,-1218.1434361349081,-1211.2456811024256
H32O18Si192,822,242,H32O18Si192,Si_O_H_vacuum1,0.3278627964404508,0.3213855630072333,6.541142561331418,-28860.28582086637,-1216.5705483922327,-1210.0294058309012
