state,neighborhood_cutoff_A,atom,neighbors,rank,residual_degrees_of_freedom,condition,D2_A2,free,initial_coordination,initial_surface,initial_grip_neighbor,x_A,y_A,z_A,green_min,green_middle,green_max
loading_0pct,2.8,0,1,1,0,,3.944304526105059e-31,False,1,True,False,5.319291676817031,7.522614431572965,18.85930685416947,,,
loading_0pct,2.8,1,2,2,0,,1.1228212604529582e-30,False,2,True,False,5.319291676817031,6.154866353105152,-17.892162912930008,,,
loading_0pct,2.8,2,2,2,0,,3.205884237660394e-31,False,2,True,False,-4.352147735577571,-6.154866353105153,-17.892162912930008,,,
loading_0pct,2.8,3,2,2,0,,8.874685183736383e-31,False,2,True,False,-4.352147735577571,-7.522614431572965,-15.957875030451088,,,
loading_0pct,2.8,4,1,1,0,,2.465190328815662e-31,False,1,True,False,-2.4178598530986504,7.522614431572965,18.85930685416947,,,
loading_0pct,2.8,5,3,3,0,2.000000000000009,2.4764904438705734e-31,False,3,True,False,-2.4178598530986504,6.154866353105152,-17.892162912930008,-3.1875645187003597e-16,0.0,9.671184694500469e-17
loading_0pct,2.8,6,3,3,0,2.0000000000000053,1.7282639158300755e-31,False,3,True,False,-0.4835719706197299,-6.154866353105153,-17.892162912930008,-1.428468574196227e-17,6.404171597337099e-18,2.2992511906965656e-16
loading_0pct,2.8,7,2,2,0,,8.874685183736383e-31,False,2,True,False,-0.4835719706197299,-7.522614431572965,-15.957875030451088,,,
loading_0pct,2.8,8,1,1,0,,3.944304526105059e-31,False,1,True,False,1.4507159118591897,7.522614431572965,18.85930685416947,,,
loading_0pct,2.8,9,3,3,0,2.0000000000000084,1.5565665664563308e-31,False,3,True,False,1.4507159118591897,6.154866353105152,-17.892162912930008,-2.3639106454723194e-16,-1.1517152264826256e-16,2.4054028473297887e-16
loading_0pct,2.8,10,3,3,0,2.0000000000000053,6.085247766240052e-31,False,3,True,False,3.3850037943381093,-6.154866353105153,-17.892162912930008,-4.4334769521899707e-16,-8.81185311828402e-17,8.737701655177461e-17
loading_0pct,2.8,11,2,2,0,,8.874685183736383e-31,False,2,True,False,3.3850037943381093,-7.522614431572965,-15.957875030451088,,,
loading_0pct,2.8,12,2,2,0,,5.3873041048009745e-31,False,2,True,False,5.319291676817031,-3.4193701961695293,18.85930685416947,,,
loading_0pct,2.8,13,2,2,0,,7.097605410321557e-31,False,2,True,False,5.319291676817031,-4.787118274637341,-17.89216291293001,,,
loading_0pct,2.8,14,2,2,0,,1.112597730154562e-31,False,2,True,False,-4.352147735577571,-0.6838740392339062,-17.89216291293001,,,
loading_0pct,2.8,15,3,3,0,2.0000000000000027,2.4580084209812066e-31,False,3,True,False,-4.352147735577571,-2.051622117701717,-15.957875030451088,-1.4562226352763646e-17,1.626162594983115e-16,2.9603517670451474e-16
loading_0pct,2.8,16,3,3,0,1.9999999999999973,1.1398000432564557e-31,False,3,True,False,-2.4178598530986504,-3.4193701961695293,18.85930685416947,-2.7339131641940813e-16,-3.6688086674007896e-17,8.803479816838477e-17
loading_0pct,2.8,17,3,3,0,1.9999999999999938,3.749876629545178e-31,False,3,True,False,-2.4178598530986504,-4.787118274637341,-17.89216291293001,0.0,7.529838907376716e-18,4.365593709426859e-16
loading_0pct,2.8,18,3,3,0,1.9999999999999971,1.5616292756299866e-31,False,3,True,False,-0.4835719706197299,-0.6838740392339062,-17.89216291293001,-2.4876606531261435e-16,-8.180583306962281e-18,3.490204369454519e-17
loading_0pct,2.8,19,4,3,3,1.000000000000001,1.7397189203736777e-31,False,4,False,False,-0.4835719706197299,-2.051622117701717,-15.957875030451088,-3.33377437543332e-17,-9.230725281650247e-18,2.6461307396101464e-16
loading_0pct,2.8,20,3,3,0,1.9999999999999967,3.506277904755652e-31,False,3,True,False,1.4507159118591897,-3.4193701961695293,18.85930685416947,-1.598463653575626e-16,-1.1102230246251568e-16,2.708686678200782e-16
loading_0pct,2.8,21,3,3,0,1.999999999999993,2.713017165468157e-31,False,3,True,False,1.4507159118591897,-4.787118274637341,-17.89216291293001,-2.162375866118543e-16,-9.878326388339594e-17,3.150208504952502e-16
loading_0pct,2.8,22,3,3,0,1.9999999999999973,1.3454638678802889e-30,False,3,True,False,3.3850037943381093,-0.6838740392339062,-17.89216291293001,-2.892423340879906e-16,1.2029660013741545e-16,6.130349438006384e-16
loading_0pct,2.8,23,4,3,3,1.0000000000000009,4.437342591868192e-31,False,4,False,False,3.3850037943381093,-2.051622117701717,-15.957875030451088,-3.6839600389942343e-16,1.1765816375775052e-16,2.5073784014167276e-16
loading_0pct,2.8,24,2,2,0,,1.5413600541877747e-31,False,2,True,False,5.319291676817031,2.0516221177017187,18.85930685416947,,,
loading_0pct,2.8,25,2,2,0,,3.5999384270705886e-31,False,2,True,False,5.319291676817031,0.6838740392339062,-17.89216291293001,,,
loading_0pct,2.8,26,2,2,0,,1.1508230981769292e-32,False,2,True,False,-4.352147735577571,4.7871182746373435,-17.89216291293001,,,
loading_0pct,2.8,27,3,3,0,2.0,5.426897405499474e-31,False,3,True,False,-4.352147735577571,3.419370196169531,-15.95787503045109,-4.3409202301917367e-16,2.4106239058790287e-17,4.0998578396038383e-16
