state,cutoff_A,pairs,edge_disjoint_paths,lost_from_zero,formed_from_zero,lost_core_core,lost_touching_initial_surface,lost_touching_grip
loading_0pct,2.7,616,18,0,0,0,0,0
loading_0pct,2.8,620,18,0,0,0,0,0
loading_0pct,3.1,626,18,0,0,0,0,0
loading_0pct,3.4,646,18,0,0,0,0,0
loading_0pct,3.7,783,26,0,0,0,0,0
loading_2pct,2.7,616,18,0,0,0,0,0
loading_2pct,2.8,620,18,0,0,0,0,0
loading_2pct,3.1,630,18,2,6,0,2,2
loading_2pct,3.4,646,18,0,0,0,0,0
loading_2pct,3.7,788,26,4,9,4,0,0
loading_4pct,2.7,622,18,0,6,0,0,0
loading_4pct,2.8,622,18,0,2,0,0,0
loading_4pct,3.1,630,18,2,6,0,2,2
loading_4pct,3.4,648,18,0,2,0,0,0
loading_4pct,3.7,784,24,12,13,4,8,2
loading_6pct,2.7,622,18,0,6,0,0,0
loading_6pct,2.8,622,18,0,2,0,0,0
loading_6pct,3.1,632,18,2,8,0,2,2
loading_6pct,3.4,648,18,0,2,0,0,0
loading_6pct,3.7,798,24,16,31,4,12,2
loading_8pct,2.7,628,16,2,14,0,2,2
loading_8pct,2.8,630,18,0,10,0,0,0
loading_8pct,3.1,642,18,2,18,0,2,2
loading_8pct,3.4,664,18,2,20,0,2,0
loading_8pct,3.7,850,24,38,105,2,36,2
loading_10pct,2.7,655,14,33,72,17,16,2
loading_10pct,2.8,659,14,33,72,17,16,2
loading_10pct,3.1,675,14,35,84,15,20,4
loading_10pct,3.4,765,18,29,148,9,20,2
loading_10pct,3.7,947,26,74,238,10,64,6
return_8pct,2.7,657,14,37,78,21,16,0
return_8pct,2.8,659,14,37,76,19,18,0
return_8pct,3.1,675,16,41,90,19,22,4
return_8pct,3.4,754,18,27,135,9,18,2
return_8pct,3.7,935,26,76,228,12,64,6
