state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_0pct,topological_min_cut,51,86,True,True,True,2.322392113939579,2.322392113939579,-11.119188358334974
loading_0pct,topological_min_cut,55,90,False,False,True,2.359388782886468,2.359388782886468,-11.13300815560521
loading_0pct,topological_min_cut,59,94,False,False,True,2.3684911212150874,2.3684911212150874,-11.140920658598928
loading_0pct,topological_min_cut,73,108,True,True,False,2.488812832461743,2.488812832461743,-9.630494917571253
loading_0pct,topological_min_cut,74,75,True,True,False,2.4889327011901425,2.4889327011901425,-9.629738321761387
loading_0pct,topological_min_cut,77,112,False,True,False,2.4149728157126087,2.4149728157126087,-9.227150642291218
loading_0pct,topological_min_cut,78,79,False,True,False,2.329433551446925,2.329433551446925,-9.32842155238691
loading_0pct,topological_min_cut,81,116,False,True,False,2.32934462348775,2.32934462348775,-9.328725807293985
loading_0pct,topological_min_cut,82,83,False,True,False,2.4150199664642154,2.4150199664642154,-9.226690432697657
loading_0pct,topological_min_cut,85,120,True,True,False,2.3413233701808465,2.3413233701808465,-9.161037061101307
loading_0pct,topological_min_cut,89,124,False,False,False,2.37329576528131,2.37329576528131,-9.271500920306405
loading_0pct,topological_min_cut,93,128,False,False,False,2.351791228018767,2.351791228018767,-9.204432243146686
loading_0pct,topological_min_cut,96,97,True,True,True,2.3223166646789712,2.3223166646789712,-11.119136143024672
loading_0pct,topological_min_cut,98,99,True,True,False,2.341319304842055,2.341319304842055,-9.16110269604498
loading_0pct,topological_min_cut,100,101,False,False,True,2.3683799976805577,2.3683799976805577,-11.140880345809352
loading_0pct,topological_min_cut,102,103,False,False,False,2.3516337932600155,2.3516337932600155,-9.204572119434275
loading_0pct,topological_min_cut,104,105,False,False,True,2.3592593390077603,2.3592593390077603,-11.13295681894584
loading_0pct,topological_min_cut,106,107,False,False,False,2.3730329315311827,2.3730329315311827,-9.271624275012773
